-----
{
 "description": "This data provides state-wise percentage distribution of households living in various types of houses such as pucca, semi-pucca and kutcha houses. The details are given in three different worksheets for combined, rural and urban households respectively.", 
 "file_name": "PERCENTAGE_DISTRIBUTION_OF_HOUSEHOLDS_LIVING_IN_VARIOUS_TYPES_OF_HOUSES.XLS", 
 "title": "State-wise Percentage Distribution Of Combined/Rural And Urban Households Living In Various Types Of Houses ", 
 "url": "http://data.gov.in/sites/default/files/PERCENTAGE_DISTRIBUTION_OF_HOUSEHOLDS_LIVING_IN_VARIOUS_TYPES_OF_HOUSES.XLS"
}
-----
"All-India/State/U.T","Pucca-1991","Semi-pucca-1991","Kutcha-1991","Pucca-2001","Semi-pucca-2001","Kutcha-2001","Pucca-2011","Semi-pucca-2011","Kutcha-2011"
"All-India (*)",41.61,30.95,27.44,51.62,30.14,18.24,"NA","NA","NA"
"Andhra Pradesh",38.41,22.58,39.01,54.69,21.31,24.0,"NA","NA","NA"
"Arunachal Pradesh",14.94,11.72,73.34,20.68,18.16,61.16,"NA","NA","NA"
"Assam",14.62,15.16,70.22,19.47,31.23,49.13,"NA","NA","NA"
"Bihar",30.18,36.0,33.82,40.21,25.51,34.28,"NA","NA","NA"
"Chattisgarh**","NA","NA","NA",25.43,72.0,25.7,"NA","NA","NA"
"Goa",50.7,44.47,4.82,70.15,27.84,2.01,"NA","NA","NA"
"Gujarat",56.93,39.01,4.06,63.37,31.83,5.45,"NA","NA","NA"
"Haryana",50.14,35.73,14.13,65.75,28.29,5.96,"NA","NA","NA"
"Himachal Pradesh",53.03,40.99,5.99,64.55,32.57,2.87,"NA","NA","NA"
"Jammu and Kashmir","NA","NA","NA",54.14,32.84,13.01,"NA","NA","NA"
"Jharkhand**","NA","NA","NA",31.46,57.57,10.97,"NA","NA","NA"
"Karnataka",42.55,40.9,16.55,54.94,35.52,9.54,"NA","NA","NA"
"Kerala",55.97,19.13,24.9,68.16,21.6,10.24,"NA","NA","NA"
"Madhya Pradesh",30.47,64.87,4.66,41.54,55.78,2.69,"NA","NA","NA"
"Maharashtra",52.2,36.14,11.67,57.85,34.33,7.82,"NA","NA","NA"
"Manipur",5.4,40.65,53.95,8.39,55.13,36.47,"NA","NA","NA"
"Meghalaya",13.3,33.72,52.98,22.14,37.49,40.37,"NA","NA","NA"
"Mizoram",19.1,42.52,38.38,52.84,25.69,21.47,"NA","NA","NA"
"Nagaland",12.62,36.47,50.91,16.19,50.5,33.3,"NA","NA","NA"
"Orissa",18.71,22.06,59.23,27.78,25.02,47.2,"NA","NA","NA"
"Punjab",76.97,11.07,11.96,86.11,8.86,5.02,"NA","NA","NA"
"Rajasthan",56.13,22.94,20.93,64.86,21.03,14.11,"NA","NA","NA"
"Sikkim",26.95,39.11,33.94,37.87,46.26,16.07,"NA","NA","NA"
"Tamil Nadu",45.54,18.03,36.44,58.41,18.19,23.41,"NA","NA","NA"
"Tripura",5.5,20.71,73.79,9.81,45.99,44.19,"NA","NA","NA"
"Uttar Pradesh",41.03,30.34,28.63,53.38,25.56,21.06,"NA","NA","NA"
"Uttarakhand**","NA","NA","NA",86.32,6.6,7.08,"NA","NA","NA"
"West Bengal",32.61,29.38,38.01,40.44,37.27,22.3,"NA","NA","NA"
"A & N. Islands",10.4,47.25,42.35,28.4,38.56,33.05,"NA","NA","NA"
"Chandigarh",82.49,8.42,9.1,89.87,6.94,3.18,"NA","NA","NA"
"Daman and Diu",79.8,17.33,2.87,92.5,6.34,1.16,"NA","NA","NA"
"D. & N. Haveli",20.8,22.54,56.66,45.74,51.65,2.6,"NA","NA","NA"
"Delhi",85.6,4.61,9.79,91.67,4.87,3.5,"NA","NA","NA"
"Lakshadweep",88.84,9.04,2.12,95.29,2.93,1.78,"NA","NA","NA"
"Puducherry",44.48,12.16,42.96,60.43,13.89,25.68,"NA","NA","NA"
