-----
{
 "description": "The table shows state-wise number of ongoing Research and Development projects received by Department of Biotechnology in each financial year from 2009-2010 to 2011-2012. The schemes are implemented institutes/universities through competitive grants system based on scientific merit and techno-...", 
 "file_name": "Statewise_Number_of_Projects_Received_During_2009-2012.xls", 
 "title": "State-wise Number of Projects Received During 2009 to 2012 ", 
 "url": "http://data.gov.in/sites/default/files/Statewise_Number_of_Projects_Received_During_2009-2012.xls"
}
-----
"No of Project Received Statewise","Financial Year[2009-10]","Financial Year[2010-11]","Financial Year[2011-12]"
"Andhra Pradesh",58.0,52.0,88.0
"Arunachal Pradesh",0.0,1.0,2.0
"Assam",7.0,10.0,19.0
"Bihar",2.0,2.0,3.0
"Chandigarh",10.0,14.0,30.0
"Chhattisgarh",1.0,1.0,1.0
"Delhi",104.0,80.0,170.0
"Goa",1.0,0.0,5.0
"Gujarat",7.0,14.0,22.0
"Haryana",17.0,13.0,23.0
"Himachal Pradesh",7.0,8.0,13.0
"Jammu And Kashmir",9.0,4.0,8.0
"Jharkhand",2.0,5.0,2.0
"Karnataka",62.0,59.0,97.0
"Kerala",25.0,17.0,36.0
"Madhya Pradesh",5.0,5.0,13.0
"Maharashtra",57.0,39.0,100.0
"Manipur",7.0,6.0,7.0
"Meghalaya",2.0,5.0,4.0
"Nagaland",2.0,1.0,1.0
"Orissa",15.0,12.0,26.0
"Pondicherry",2.0,5.0,7.0
"Punjab",15.0,6.0,19.0
"Rajasthan",5.0,4.0,7.0
"Sikkim",0.0,0.0,3.0
"Tamilnadu",71.0,79.0,116.0
"Uttar Pradesh",48.0,40.0,89.0
"Uttarakhand",18.0,4.0,14.0
"West Bengal",21.0,30.0,63.0
"Total",580.0,516.0,988.0
