"2 Digit","20-21","22","23","24","25","26","27","28","29","30","31","32","33","34","35-36","37","38","Mining","Manufacturing","Electricity","General"
"1994-95",121.6,103.0,99.1,114.5,95.1,98.5,99.3,108.6,86.6,105.3,107.7,108.3,113.1,105.6,115.8,112.9,108.5,109.8,109.1,108.5,109.1
"1995-96",129.8,116.7,109.5,131.3,102.4,133.7,123.2,125.5,98.5,117.1,116.1,133.9,131.0,100.7,137.4,132.5,136.5,120.5,124.5,117.3,123.3
"1996-97",134.3,132.4,122.7,145.1,97.8,146.3,131.9,136.9,107.8,122.7,118.4,144.5,139.8,110.5,144.3,149.1,170.2,118.2,133.6,122.0,130.8
"1997-98",133.8,158.1,125.6,172.0,114.3,158.7,128.5,146.4,110.2,140.4,124.6,163.9,143.5,119.2,152.7,152.9,168.0,126.4,142.5,130.0,139.5
"1998-99",134.7,178.5,115.9,176.8,106.0,153.1,121.0,169.8,119.1,149.7,138.7,177.5,139.9,139.5,155.0,183.6,169.7,125.4,148.8,138.4,145.2
"1999-00",140.3,192.1,123.7,197.8,105.0,156.1,101.4,180.5,135.5,164.6,137.2,220.8,146.9,137.8,182.5,194.1,142.5,126.7,159.4,148.5,154.9
"2000-01",154.5,200.4,127.3,209.3,105.8,162.4,104.3,164.0,150.0,176.6,153.4,218.2,149.6,158.5,195.8,190.3,159.1,130.3,167.9,154.4,162.6
"2001-02",152.0,224.8,124.5,218.5,99.6,166.3,92.8,169.0,158.0,185.0,170.4,220.7,156.0,142.6,198.3,203.3,173.2,131.9,172.7,159.2,167.0
"2002-03",168.7,287.6,121.2,225.1,107.9,190.3,76.5,180.5,152.9,191.8,179.7,232.0,170.4,151.7,201.4,232.9,173.3,139.6,183.1,164.3,176.6
"2003-04",167.9,312.1,117.4,240.5,103.4,184.3,81.7,208.7,147.0,208.4,187.7,240.6,186.0,157.3,233.3,272.6,186.6,146.9,196.6,172.6,189.0
"2004-05",167.3,345.9,126.3,249.0,107.2,219.6,74.8,230.7,161.5,241.9,192.3,269.0,196.1,203.0,304.6,317.4,218.5,153.4,222.5,181.5,211.1
"2005-06",170.6,400.3,137.0,248.9,107.7,255.5,70.5,228.6,153.4,261.6,200.5,300.0,227.0,196.4,343.1,354.1,256.0,154.9,242.3,190.9,227.9
"2006-07",185.2,444.5,157.3,268.4,90.7,285.0,91.0,248.6,154.0,286.1,226.3,335.2,278.9,222.5,400.1,405.1,278.6,163.2,273.5,204.7,255.0
"2007-08",198.2,498.0,164.0,281.2,120.7,295.5,127.9,255.3,172.0,315.2,246.4,357.9,312.7,206.3,449.7,420.8,330.1,171.6,298.6,217.7,277.1
"2008-09",178.9,578.5,160.9,281.2,108.6,312.5,115.6,260.1,160.1,332.4,242.6,362.6,325.1,207.4,490.1,430.7,341.6,176.0,308.6,223.7,286.1
"2009-10",176.2,577.1,169.7,304.1,82.1,338.9,126.8,270.2,164.1,361.8,279.9,397.2,346.3,231.2,590.9,546.5,373.1,193.4,342.5,237.2,316.2
"2010-11",198.1,566.0,187.2,305.1,101.9,350.9,99.7,292.4,187.6,370.2,314.6,420.1,377.4,259.6,639.5,663.9,465.6,204.9,370.6,250.5,341.0
