-----
{
 "description": "This table consists of month & year-wise average of International crude oil prices (Indian Basket).", 
 "file_name": "Month_and_Year-wise_Average_of_International_Crude_Oil_Prices_2004-12.xls", 
 "title": "Month and Year-wise Average of International Crude Oil Prices (Indian Basket): 2004-12 ", 
 "url": "http://data.gov.in/sites/default/files/Month_and_Year-wise_Average_of_International_Crude_Oil_Prices_2004-12.xls"
}
-----
"Year/Month","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"April",32.37,49.47,67.15,65.52,105.77,50.14,84.13,118.79
"May",36.08,47.02,67.29,65.74,120.91,58.0,76.11,110.7
"June",34.23,52.75,66.8,68.19,129.72,69.12,74.36,109.99
"July",36.35,55.05,71.36,72.69,132.47,64.83,73.54,112.53
"August",40.53,60.05,70.84,69.03,113.05,71.98,75.13,106.94
"September",39.15,59.74,61.04,74.83,96.81,67.7,76.09,108.79
"October",43.88,56.28,57.27,79.33,69.12,73.07,81.11,106.11
"November",38.82,53.14,57.8,89.11,50.91,77.39,84.26,109.62
"December",36.82,55.05,60.35,87.92,40.61,75.02,89.78,107.2
"January",40.96,60.54,52.53,89.52,44.02,76.61,93.87,110.47
"February",42.67,58.95,56.53,92.37,43.22,73.65,101.16,117.67
"March",49.27,60.01,60.25,99.76,46.02,78.02,110.72,123.61
