-----
{
 "description": "This table provides data on global average temperature and atmosphere concentration of carbon dioxide for the period 2000 onwards.", 
 "file_name": "GLOBAL_AVERAGE_TEMPERATURE.xls", 
 "title": "Global Average Temperature and Atmosphere concentration of Carbon Dioxide ", 
 "url": "http://data.gov.in/sites/default/files/GLOBAL_AVERAGE_TEMPERATURE.xls"
}
-----
"Year","Temperature ( Degree C)","Carbon Dioxide (Parts Per Million)","Emissions from Fossil Fuel Burning (Million Tonnes of Carbon)"
2000.0,14.2886,369.4,6750.0
2001.0,14.4173,371.08,6916.0
2002.0,14.4745,373.17,6981.0
2003.0,14.4818,375.8,7397.0
2004.0,14.4416,377.5,7782.0
2005.0,14.5154,379.78,8086.0
2006.0,14.4601,381.86,8350.0
2007.0,14.4479,383.72,8543.0
2008.0,14.3803,385.57,8749.0
2009.0,14.4552,387.36,8627.0
2010.0,14.5171,389.78,9139.0
2011.0,14.41,390.5,"NA"
