-----
{
 "description": "This data provides details of number and amount of cheque clearances by centres from 2003-04 to 2011-12.", 
 "file_name": "CHEQUE_CLEARANCES_BY_CENTRES.XLS", 
 "title": "Cheque Clearances By Centres From 2003-04 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/CHEQUE_CLEARANCES_BY_CENTRES.XLS"
}
-----
"Centre","Number 2003-04","Amount 2003-04","Number 2004-05","Amount 2004-05","Number 2005-06","Amount 2005-06","Number 2006-07","Amount 2006-07","Number 2007-08","Amount 2007-08","Number 2008-09","Amount 2008-09","Number 2009-10","Amount 2009-10","Number 2010-11","Amount 2010-11","Number 2011-12","Amount 2011-12"
"Ahmedabad",47.0,2806.49,53.0,3527.0,60.0,4066.0,59.0,4300.0,65.0,5068.0,57.0,4771.0,59.0,4522.0,62.0,4101.0,59.0,3990.0
"Bangalore",55.0,3758.85,60.0,4778.0,66.0,4983.0,70.0,5587.0,73.0,6323.0,69.0,5460.0,66.0,4580.0,66.0,4741.0,65.0,4909.0
"Bhopal","NA","NA",6.0,472.0,7.0,322.0,7.0,522.0,8.0,627.0,7.0,708.0,7.0,653.0,7.0,635.0,6.0,591.0
"Bhubaneshwar",4.0,371.36,4.0,473.0,5.0,536.0,6.0,648.0,6.0,810.0,6.0,881.0,6.0,627.0,6.0,636.0,6.0,596.0
"Chandigarh","NA","NA",11.0,1111.0,12.0,1270.0,14.0,1982.0,14.0,1612.0,13.0,1455.0,13.0,1410.0,13.0,1546.0,13.0,1427.0
"Chennai",60.0,6121.58,74.0,7599.0,81.0,6553.0,80.0,6922.0,85.0,7789.0,83.0,8020.0,79.0,6311.0,79.0,5499.0,68.0,5032.0
"Guwahati","NA","NA",4.0,327.0,5.0,397.0,6.0,491.0,6.0,552.0,6.0,621.0,6.0,588.0,6.0,557.0,6.0,555.0
"Hyderabad",37.0,2755.03,39.0,3017.0,42.0,3633.0,44.0,3959.0,45.0,4525.0,45.0,4347.0,41.0,3514.0,41.0,3329.0,39.0,3439.0
"Jammu$","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,80.0,3.0,192.0,3.0,194.0
"Jaipur","NA","NA",17.0,891.0,19.0,1135.0,20.0,1378.0,22.0,1620.0,20.0,1509.0,20.0,1312.0,21.0,1385.0,20.0,1396.0
"Kanpur",78.0,413.97,9.0,472.0,9.0,553.0,10.0,644.0,10.0,699.0,9.0,727.0,9.0,680.0,8.0,564.0,8.0,570.0
"Kolkata",47.0,4653.08,60.0,5607.0,64.0,6586.0,68.0,6824.0,73.0,7783.0,69.0,7531.0,68.0,6582.0,67.0,5393.0,63.0,4667.0
"Mumbai",216.0,55112.93,230.0,37537.0,239.0,33428.0,252.0,33191.0,265.0,36854.0,251.0,27998.0,248.0,19393.0,247.0,17069.0,243.0,16283.0
"Nagpur",12.0,563.3,12.0,635.0,13.0,758.0,15.0,925.0,15.0,1064.0,15.0,1062.0,14.0,903.0,14.0,883.0,14.0,853.0
"New Delhi",111.0,13546.77,148.0,17736.0,160.0,16976.0,169.0,17735.0,178.0,18010.0,173.0,16647.0,162.0,12990.0,160.0,14391.0,160.0,13840.0
"Patna",5.0,267.39,7.0,309.0,5.0,368.0,6.0,480.0,6.0,610.0,6.0,680.0,6.0,644.0,6.0,666.0,7.0,628.0
"Thiruvananthapuram","NA","NA",5.0,444.0,238.0,385.0,6.0,407.0,6.0,573.0,5.0,558.0,5.0,433.0,5.0,370.0,5.0,359.0
"Other MICR Centres","NA","NA",203.0,8629.0,255.0,12794.0,313.0,18359.0,345.0,20769.0,329.0,21109.0,337.0,20094.0,341.0,21054.0,330.0,20868.0
"Total Non-MICR Centres","NA","NA",225.0,11026.0,"NA",18548.0,223.0,16070.0,238.0,18674.0,234.0,20609.0,231.0,18784.0,232.0,18329.0,227.0,18805.0
"Total ",1023.0,115959.6,1167.0,104589.0,1287.0,113291.0,1367.0,120424.0,1461.0,133961.0,1397.0,124691.0,1380.0,104099.0,1387.0,101341.0,1342.0,99002.0
