-----
{
 "description": "This data provides details on Net Domestic Product (NDP) by economic activity at constant (2004-05) prices from 2004-05 to 2010-11.", 
 "file_name": "NET_DOMESTIC_PRODUCT_BY_ECONOMIC_ACTIVITY_AT_CONSTANT_PRICES.xls", 
 "title": "Net Domestic Product By Economic Activity At Constant Prices From 2004-05 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/NET_DOMESTIC_PRODUCT_BY_ECONOMIC_ACTIVITY_AT_CONSTANT_PRICES.xls"
}
-----
"Industry","Group Name","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11"
"agriculture","agriculture, forestry  & fishing",442741.0,467199.634751,485542.418727,515642.616865,511172.039411,511664.544373,548572.951655
"forestry & logging","agriculture, forestry  & fishing",60813.0,61859.4861347,63899.0431777,64771.4014405,65970.652317,67873.7609863,69896.3570527
"fishing","agriculture, forestry  & fishing",23735.0,24990.9346669,26488.941598,27780.6899576,28165.9432223,28257.1855325,28918.6685
"mining & quarrying","mining & quarrying",70463.9627938,69436.3611953,73982.2368534,74945.0375354,74298.9145188,75093.5416192,80955.8607213
"registered","manufacturing",205843.584876,231536.000076,271125.913585,294744.225435,308476.882132,344623.553498,365677.739756
"unregistered","manufacturing",140651.266747,149513.946433,167422.792649,187103.079374,187432.36384,196639.844432,211495.402893
"electricity, gas &   water supply","electricity, gas &   water supply",33789.2037239,36012.8354452,39745.9712099,42731.8581841,44763.6424517,46188.1239826,46809.7072756
"construction","construction",218511.09912,246208.397405,270555.571844,298269.514618,312519.956294,333590.880111,359281.181925
"trade","trade, hotels &  restaurants",424593.644447,473589.467257,524236.634394,575242.296606,612478.213325,662596.122842,721540.717499
"hotels & restaurants","trade, hotels &  restaurants",40156.026012,47243.7656632,54129.0192719,61025.0566267,58250.8264609,59455.4361794,63825.4013988
"railways","transport, storage & communication",21695.9870804,23642.7543725,26542.5791398,30019.5190593,32370.4850539,35815.8928088,38318.9408267
"transport by other means","transport, storage & communication",154790.522443,169188.355067,184318.102832,200386.85759,209337.728073,223742.970993,242375.210288
"storage","transport, storage & communication",1872.16320984,1947.41965373,2154.61498132,2213.42272239,2518.57748075,2730.16096673,2936.05836866
"communication","transport, storage & communication",41226.0935363,52347.9591437,67432.3609313,84483.9065212,105843.314933,141071.634726,184541.67734
"banking & insurance","financing, insurance, real estate  &  business services",168111.705804,195002.227705,235405.762723,275003.2384,313829.380177,349592.950259,400436.542314
"real estate, ownership of dwellings & business services","financing, insurance, real estate  &  business services",229766.908725,254507.700105,279334.320783,302697.842476,333794.040283,358387.983222,383537.611542
"public administration & defence","community, social & personal services",149020.0,154883.0,156546.0,168175.0,206521.0,248572.0,250052.0
"other services","community, social & personal services",223791.311441,243069.996857,249801.804522,263772.209561,282028.298859,301420.574204,322319.022311
"Total net domestic product at factor cost ","",2651572.47996,2902180.24193,3178664.08922,3469007.77297,3689772.25883,3987317.16074,4321491.05167
