-----
{
 "description": "This table shows data upto 2006-07 projects sanctioned under drought prone area program and the second table shows state-wise (2009-10 to 2012-13) data on integrated watershed management programme (IWMP).", 
 "file_name": "PROJECTS_SANCTIONED_UNDER_DROUGHT_PRONE_PROGRAMME.xls", 
 "title": "Projects Sanctioned Under Drought Prone Desert Development And Integrated Watershed Management Programme ", 
 "url": "http://data.gov.in/sites/default/files/PROJECTS_SANCTIONED_UNDER_DROUGHT_PRONE_PROGRAMME.xls"
}
-----
"State","Drought Prone Area Programme- DPAP # (In number)","Desert Development Programme - DDP # (In number)"
"Andhra Pradesh",4242.0,1054.0
"Bihar (RWD)",543.0,"NA"
"Chhatisgarh",1160.0,"NA"
"Gujarat",2444.0,3062.0
"Haryana","NA",1189.0
"Himachal Pradesh",412.0,552.0
"J & K",560.0,729.0
"Jharkhand",1595.0,"NA"
"Karnataka",2370.0,1582.0
"Madhya Pradesh",3267.0,"NA"
"Maharashtra",3616.0,"NA"
"Orissa",1319.0,"NA"
"Punjab","NA","NA"
"Rajasthan",1107.0,7578.0
"Tamilnadu",1622.0,"NA"
"Uttar Pradesh",1777.0,"NA"
"Uttarakhand",846.0,"NA"
"West Bengal",559.0,"NA"
"Total",27439.0,15746.0
