State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Assam,Darrang,Kharupetia,Wheat,Dara,10/23/2002,900,1200,1100
Bihar,Begusarai,Begusarai,Wheat,Kalyan,12/13/2002,675,700,690
Bihar,Begusarai,Begusarai,Wheat,Kalyan,12/27/2002,690,710,700
Bihar,Begusarai,Begusarai,Wheat,UP 308,12/20/2002,675,720,700
Bihar,Begusarai,Begusarai,Wheat,UP 308,12/24/2002,690,710,700
Bihar,Begusarai,Begusarai,Wheat,UP 308,12/26/2002,690,710,700
Bihar,Begusarai,Begusarai,Wheat,UP 308,12/28/2002,680,700,690
Bihar,Begusarai,Begusarai,Wheat,UP 308,12/30/2002,675,700,690
Bihar,Bhagalpur,Bhagalpur,Wheat,UP 308,12/03/2002,500,600,550
Bihar,Chhapra,Chhapra,Wheat,UP 308,05/31/2002,550,600,580
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/09/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/11/2002,600,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/12/2002,600,700,670
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/13/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/17/2002,600,700,670
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/18/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/19/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/24/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/26/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,04/27/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/03/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/07/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/08/2002,600,700,650
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/09/2002,575,650,600
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/10/2002,575,650,615
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/11/2002,575,650,625
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/13/2002,575,650,600
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/14/2002,575,650,600
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/15/2002,575,650,600
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/17/2002,575,650,625
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/29/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/30/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,05/31/2002,575,650,600
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/01/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/05/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/06/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/07/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/08/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/10/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/19/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/20/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/21/2002,650,700,675
Bihar,Darbhanga,Darbhanga,Wheat,UP 308,06/22/2002,650,700,675
