"Cars  (Upto 3.5 tons) -Chassis Dynamometer (g/km)  ","BS II*","BS II**","BS III*","BS III**","BS IV (2010)*","BS IV (2010)**"
"Carbon Monoxide(CO)",1.0,"1.0-1.5",0.64,"0.64-0.95",0.5,"0.50-0.74"
"Hydrocarbon(HC)","NA","NA","NA","NA","NA","NA"
"Oxide of Nitrogen (NOX)","NA","NA",0.5,"0.50-0.78",0.25,"0.25-0.39"
"Hydrocarbon and Oxide of Nitrogen(HC+NOX)",0.7,"0.7-1.2",0.56,"0.56-0.86",0.3,"0.30-0.46"
"Particulate Matter (PM)",0.08,"0.08-0.17",0.05,"0.05-0.10",0.025,"0.025-0.06"
