-----
{
 "description": "Index of Industrial Production (Base: 1980-81=100) at use-based industry level indices (NIC-1970) with weights from April 1990 to March 1998, annual average (Apr-Mar) indices and growth over corresponding period of previous year.", 
 "file_name": "Use-based_Indices_And_Growth_1980-81.xls", 
 "title": "Monthly Time Series Use-based Indices And Growth (1980-81 Series)  ", 
 "url": "http://data.gov.in/sites/default/files/Use-based_Indices_And_Growth_1980-81.xls"
}
-----
"Period","Basic Goods","Capital Goods","Intermediate Goods","Total","Consumer Goods Durables","Consumer Goods Non-durables","GENERAL"
"1991-92",6.5,-8.6,-2.2,1.5,-10.7,4.7,0.6
"1992-93",2.6,-0.1,5.4,1.8,-0.7,2.4,2.3
"1993-94",9.4,-4.1,11.7,4.0,16.1,1.3,6.0
"1994-95",5.5,24.8,3.7,8.7,10.2,8.4,9.4
"1995-96",8.3,17.9,11.8,14.3,36.1,8.8,12.1
"1996-97",8.1,5.9,9.8,4.1,5.4,3.7,7.1
"1997-98",7.0,-4.0,6.9,4.6,9.9,2.9,4.2
