-----
{
 "description": "Data provides all India and state-wise details on the number, membership (such as Primary Land Development Banks, Other Banks...", 
 "file_name": "NO._MEMBERSHIP_AND_FINANCIAL_POSITION_OF_STATE_CO-OPERATIVE_AGRI_AND_RURAL_DVP_BANKS.xls", 
 "title": "Number / Membership / Financial Position of State Co-operative Agriculture And Rural Development Banks As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/NO._MEMBERSHIP_AND_FINANCIAL_POSITION_OF_STATE_CO-OPERATIVE_AGRI_AND_RURAL_DVP_BANKS.xls"
}
-----
"State","Primary Land development banks - Membership (no.)","Other banks and societies - Membership (no.)","Individuals - Membership (no.)","Capital","Reserves","Deposits","Borrowings from Debentures"," Govt.","Cooperative banks","Others","Total","Total Working Capital","Loans issued during the year"
"Andhra Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA","NA"
"Assam(2)","NA",6.0,33177.0,57.673,1.06,0.657,53.683,265.768,"NA","NA",319.451,318.709,2.204
"Bihar(3)","NA","NA",783000.0,337.395,60.671,184.929,1688.696,420.0,"NA",8.8,2117.496,3562.968,"NA"
"Chattisgarh",12.0,"NA",13.0,87.0,243.0,278.0,2066.0,5.0,"NA","NA",2071.0,3628.0,829.0
"Gujarat","NA","NA",675560.0,543.0,657.0,725.0,6165.0,"NA",0.0,3.0,6168.0,9618.0,701.0
"Haryana(1)",86.0,"NA",87.0,339.33,800.101,298.584,18904.696,"NA","NA","NA",18904.696,20856.88,4147.4
"Himachal Pradesh(2)",1.0,17.0,75335.0,122.014,253.27,54.632,2030.678,"NA",49.0,"NA",2079.678,2544.531,475.176
"Jammu & Kashmir(3)","NA","NA",60165.0,45.872,15.887,27.001,334.341,"NA","NA",6.9,341.241,459.454,52.029
"Karnataka",177.0,13.0,190.0,474.0,2148.0,423.0,12951.0,174.0,26.0,161.0,13312.0,15698.0,1191.0
"Kerala",46.0,0.0,2.0,551.0,3161.0,187.0,17468.0,"NA","NA",1484.0,18952.0,24636.0,3458.0
"Madhya Pradesh",38.0,"NA",3.0,499.0,987.0,1565.0,13829.0,"NA",148.0,525.0,14502.0,18249.0,3004.0
"Maharashtra",29.0,74.0,723.0,447.085,4408.0,10.0,8996.0,1155.0,262.0,22.0,10435.0,13937.0,"NA"
"Manipur (3) ","NA",64.0,2321.0,3.67,48.0,"NA",2.464,"NA",25.0,"NA",27.464,11.58,"NA"
"Orissa",56.0,"NA",62.0,86.234,44.888,31.751,671.0,395.0,166.0,89.0,1321.0,1983.0,75.0
"Punjab(3)",87.0,1.0,0.0,650.152,1523.465,420.227,15476.143,"NA","NA",1624.4,17100.543,20857.4,3236.585
"Rajasthan",36.0,3.0,4.0,292.0,851.0,433.0,13238.0,"NA","NA","NA",13238.0,16508.0,2176.0
"Tamil Nadu",181.0,1.0,"NA",420.0,5029.0,543.0,10300.0,2.0,1.0,2.0,10305.0,15876.0,120.0
"Tripura","NA",4.0,18368.0,62.0,3.361,"NA",142.0,"NA",20.0,"NA",166.0,226.0,41.0
"Uttar Pradesh ","NA","NA",4533.0,2629.0,1583.097,45.0,33087.0,"NA",20.0,5.0,33112.0,52006.0,6815.0
"West Bengal(3)",24.0,867.0,"NA",181.259,85.178,476.699,3559.83,"NA","NA",131.8,3691.63,5080.272,935.238
"Puducherry ","NA","NA",11133.0,23.0,32.0,56.0,26.0,"NA",25.0,"NA",51.0,174.0,87.0
