-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles apprehended by age group and sex under Indian Penal Code (IPC) and Special & Local Laws (SLL).", 
 "file_name": "JUVENILES_APPREHENDED_BY_AGE_GROUP_AND_SEX_UNDER_IPC_AND_SLL.xls", 
 "title": "All India And State-wise Juveniles Apprehended By Age Group And Sex ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_APPREHENDED_BY_AGE_GROUP_AND_SEX_UNDER_IPC_AND_SLL.xls"
}
-----
"Nature of Crime","Group Name","7-12 Years - Boys","7-12 Years - Girls","12-16 Years - Boys","12-16 Years - Girls","16-18 Years - Boys","16-18 Years - Girls","All age group - Boys","All age group - Girls","All age group - Total"
"Cognizable Crimes Under I.P.C.","Cognizable Crimes Under I.P.C.",875.0,81.0,9023.0,590.0,17303.0,1105.0,27201.0,1776.0,28977.0
"Murder","Cognizable Crimes Under I.P.C.",19.0,3.0,285.0,34.0,611.0,47.0,915.0,84.0,999.0
"Attempt to commit murder","Cognizable Crimes Under I.P.C.",10.0,1.0,199.0,6.0,488.0,24.0,697.0,31.0,728.0
"Culpable homicide not amounting to murder","Cognizable Crimes Under I.P.C.",1.0,0.0,12.0,0.0,20.0,0.0,33.0,0.0,33.0
"Rape","Cognizable Crimes Under I.P.C.",15.0,0.0,276.0,4.0,589.0,3.0,880.0,7.0,887.0
"Kidnapping & abduction","Cognizable Crimes Under I.P.C.",5.0,3.0,95.0,8.0,334.0,15.0,434.0,26.0,460.0
"Dacoity","Cognizable Crimes Under I.P.C.",1.0,0.0,50.0,0.0,150.0,0.0,201.0,0.0,201.0
"Preparation & assembly for dacoity","Cognizable Crimes Under I.P.C.",0.0,0.0,8.0,1.0,65.0,0.0,73.0,1.0,74.0
"Robbery","Cognizable Crimes Under I.P.C.",7.0,1.0,149.0,1.0,421.0,3.0,577.0,5.0,582.0
"Burglary","Cognizable Crimes Under I.P.C.",169.0,6.0,1266.0,20.0,1727.0,22.0,3162.0,48.0,3210.0
"Theft","Cognizable Crimes Under I.P.C.",312.0,25.0,2217.0,99.0,3748.0,139.0,6277.0,263.0,6540.0
"Riots","Cognizable Crimes Under I.P.C.",31.0,1.0,456.0,39.0,1423.0,75.0,1910.0,115.0,2025.0
"Criminal breach of trust","Cognizable Crimes Under I.P.C.",0.0,0.0,2.0,0.0,14.0,1.0,16.0,1.0,17.0
"Cheating","Cognizable Crimes Under I.P.C.",5.0,0.0,23.0,0.0,91.0,8.0,119.0,8.0,127.0
"Counterfeiting","Cognizable Crimes Under I.P.C.",0.0,1.0,4.0,0.0,6.0,1.0,10.0,2.0,12.0
"Other I.P.C crimes","Cognizable Crimes Under I.P.C.",300.0,40.0,3981.0,378.0,7616.0,767.0,11897.0,1185.0,13082.0
"Crime under local and special laws","Crime under local and special laws",140.0,37.0,1056.0,72.0,3153.0,207.0,4349.0,316.0,4665.0
"Arms Act","Crime under local and special laws",0.0,0.0,67.0,0.0,167.0,0.0,234.0,0.0,234.0
"Narcotic Drugs & Psy. substances Act","Crime under local and special laws",0.0,0.0,17.0,1.0,47.0,4.0,64.0,5.0,69.0
