"Year","20-21",22.0,23.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,"Mining","Manf.","Elec.","General"
"1981-82",113.5,104.3,99.7,95.7,96.7,153.2,108.3,128.1,119.2,116.9,106.7,100.0,94.6,111.1,103.9,108.1,149.2,117.7,107.9,110.2,109.3
"1982-83",129.5,107.8,89.4,92.9,99.3,153.0,105.5,100.0,119.0,121.2,103.7,104.2,89.9,112.0,115.9,111.3,155.0,132.3,109.4,116.5,112.8
"1983-84",121.1,104.5,100.2,78.2,92.1,167.5,109.3,116.3,136.1,131.0,122.2,95.1,88.1,119.6,143.1,123.4,104.6,147.8,115.6,125.4,120.4
"1984-85",119.1,111.7,102.2,99.4,95.6,216.5,131.9,139.7,147.2,142.9,138.4,107.3,105.0,127.6,148.8,131.6,122.9,160.9,124.8,140.4,130.7
"1985-86",125.6,112.1,110.4,97.3,112.8,223.2,148.5,169.2,153.0,154.3,157.3,117.0,114.7,130.2,200.6,135.8,152.7,167.5,136.9,152.4,142.1
"1986-87",133.2,98.5,112.5,101.1,87.1,246.1,163.2,177.7,149.6,175.5,160.3,126.8,124.5,141.8,254.7,144.9,235.4,177.9,149.7,168.1,155.1
"1987-88",139.0,84.9,111.2,91.0,91.7,161.7,166.3,185.5,155.1,200.9,158.1,135.6,129.6,139.2,335.2,151.9,272.1,184.6,161.5,181.0,166.4
"1988-89",148.5,92.1,107.8,101.9,134.2,171.7,171.3,177.4,168.3,233.4,184.6,144.9,133.5,161.2,346.0,171.3,306.3,199.1,175.6,198.2,180.9
"1989-90",150.9,103.0,112.3,97.4,151.7,176.0,181.5,188.3,173.5,247.6,189.9,143.7,142.6,171.9,459.2,181.1,333.2,211.6,190.7,219.7,196.4
"1990-91",169.8,104.8,126.6,101.6,103.2,197.2,198.0,194.3,174.0,254.1,193.1,158.8,143.1,186.9,563.6,192.5,321.8,221.2,207.8,236.8,212.6
"1991-92",178.0,107.3,139.0,90.8,97.2,185.0,203.0,181.3,172.0,261.2,205.2,167.8,133.1,183.3,493.7,191.1,269.9,222.5,206.2,257.0,213.9
"1992-93",175.3,113.7,150.1,87.0,75.8,190.5,210.9,187.7,174.6,276.9,209.0,168.5,124.6,181.1,483.6,200.6,281.3,223.7,210.7,269.9,218.9
"1993-94",160.0,137.8,160.5,103.2,73.4,199.3,224.8,204.3,176.4,297.9,218.5,224.2,126.5,189.2,460.1,211.2,267.0,231.5,223.5,290.0,232.0
"1994-95",181.7,134.8,155.8,91.5,78.6,205.5,258.1,211.9,182.1,326.3,236.0,214.5,148.7,206.9,609.9,239.2,269.6,248.8,245.4,314.6,253.7
"1995-96",207.0,160.9,173.1,93.6,89.7,240.8,286.6,227.5,196.8,356.5,264.5,225.7,173.8,250.3,729.0,298.1,300.6,267.3,278.8,340.1,284.5
"1996-97",214.0,184.7,191.6,95.8,95.5,232.8,311.4,232.0,206.0,364.4,286.2,303.5,177.1,250.8,754.0,354.5,283.2,268.4,302.8,353.4,304.6
"1997-98",209.0,193.5,202.3,104.1,88.9,208.9,335.5,229.5,211.4,400.2,320.7,316.1,178.8,246.7,773.4,329.6,299.3,281.5,313.7,377.6,317.3
