"    Item","    Item","Unit","1980-81","1985-86","1986-87","1987-88","1988-89","1989-90","1990-91","1995-96","1996-97","1997-98","1998-99","1999-00","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*","",""
"1. Reserves ! (Balance Recoverable)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Reserves ! (Balance Recoverable)","   (i)  Crude Oil","Mn.Tonne",366.0,558.0,581.0,638.0,726.0,757.0,739.0,732.0,727.0,747.0,716.0,660.0,703.0,732.0,741.0,733.0,739.0,756.06,725.38,770.12,773.29,774.66,757.44,760.0,"",""
"1. Reserves ! (Balance Recoverable)","   (ii) Natural Gas","Bn.Cub.Mtr.",352.0,497.0,541.0,579.0,648.0,686.0,686.0,660.0,640.0,692.0,675.0,648.0,760.0,763.0,751.0,854.0,923.0,1075.41,1054.52,1089.97,1115.26,1148.56,1278.0,1330.0,"",""
"2. Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Consumption","   (i)  Crude Oil (in terms of refinery crude throughput)","Mn.Tonne",25.84,42.91,45.7,47.75,48.8,51.94,51.77,58.74,62.87,65.17,68.54,85.96,103.44,107.27,112.56,121.84,127.42,130.109,146.551,156.103,160.772,192.768,206.003,211.424,"",""
"2. Consumption","   (ii) Petroleum Products (excl. RBF)","Mn.Tonne","30.90",40.87,43.66,46.42,49.76,54.1,55.04,74.67,79.17,84.29,90.56,97.09,100.07,100.43,104.13,107.75,111.63,113.213,120.749,128.946,133.599,137.808,141.04,147.995,"",""
"3. Production :","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Production :","    (i)  Crude Oil","Mn.Tonne",10.51,30.17,30.48,30.36,32.04,34.08,33.02,35.17,32.9,33.86,32.72,31.95,32.43,32.03,33.04,33.37,33.98,32.19,33.988,34.118,33.506,33.689,37.684,38.09,"",""
"3. Production :","   (ii) Petroleum Products","Mn.Tonne",24.12,39.88,42.76,44.73,"45.70",48.69,48.56,55.08,59.01,61.31,64.54,79.41,95.61,100.0,104.14,113.46,118.58,119.75,135.26,144.93,150.516,179.769,190.316,196.707,"",""
"3. Production :","  (iii) LPG from natural gas","Mn.Tonne","","","","","","","","","","","",0.93,2.04,2.21,2.37,2.32,2.24,2.185,2.093,2.06,2.162,2.243,2.168,2.213,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","      "
"","   ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Imports & Exports","(i) Gross Imports: Qty: Crude Oil","Mn.Tonne",16.25,15.14,15.48,17.73,17.81,19.49,20.7,27.34,33.91,34.49,39.81,57.8,74.1,78.71,81.99,90.43,95.86,99.409,111.502,121.672,132.775,159.259,163.5942,172.114,"",""
