"State/UT","Biogas Plants
(Nos.) 2009-10","Biogas Plants
(Nos.) 2010-11","Water Pumping Wind Mills
(Nos.) 2009-10","Water Pumping Wind Mills
(Nos.) 2010-11","SPV Pumps
(Nos.) 2009-10","SPV Pumps
(Nos.) 2010-11","Solar Photovoltaic SLS  (Nos.) 2009-10","Solar Photovoltaic SLS  (Nos.) 2010-11","Solar Photovoltaic HLS
(Nos.) 2009-10","Solar Photovoltaic HLS
(Nos.) 2010-11","Solar Photovoltaic SL
(Nos.) 2009-10","Solar Photovoltaic SL
(Nos.) 2010-11","Solar Photovoltaic PP
(KWP) 2009-10","Solar Photovoltaic PP
(KWP) 2010-11","Aerogen. Hybrid System
(KW) 2009-10","Aerogen. Hybrid System
(KW) 2010-11","Solar Cooker
(Nos.) 2009-10","Solar Cooker
(Nos.) 2010-11","Biomass Gasifiers
(Nos.) 2009-10","Biomass Gasifiers
(Nos.) 2010-11","Waste to Energy
(MW) 2009-10","Waste to Energy
(MW) 2010-11","Remote Villages
(Nos.) 2009-10","Remote Villages
(Nos.) 2010-11","Remote Hamlets
(Nos.) 2009-10","Remote Hamlets
(Nos.) 2010-11"
"1 Andhra Prades h",457938.0,457938.0,6.0,6.0,613.0,613.0,35799.0,4186.0,1957.0,1958.0,3914.0,38215.0,213.3,493.04,16.0,16.0,13395.0,13395.0,16681.0,18411.0,4.95,6.55," NA",297.0," NA","NA"
"2 Arunachal Prades h",2957.0,2957.0," NA","NA",15.0,15.0,13937.0,1071.0,7120.0,10178.0,1071.0,13937.0,17.1,17.1,7.0,6.8,530.0,530.0,180.0,1800.0," NA","NA",246.0,"NA"," NA",13.0
"3 As s am",81592.0,81592.0,3.0,3.0,45.0,45.0,1211.0,98.0,5870.0,5870.0,98.0,1211.0,7.5,10.0,6.0,6.0,80.0,80.0," NA",733.0," NA","NA",866.0,1688.0," NA","NA"
"4 Bihar",125888.0,125888.0,46.0,46.0,139.0,139.0,50117.0,955.0,3170.0,3350.0,690.0,50117.0,"NA",0.0," NA","NA",475.0,475.0,3090.0,7650.0," NA","NA"," NA",568.0," NA","NA"
"5 Chhattis garh",32050.0,32050.0,1.0,1.0,166.0,222.0,3192.0,1923.0,7211.0,7233.0,1889.0,3192.0,100.0,1948.0," NA","NA",37464.0,37464.0,1710.0,1710.0," NA","NA",399.0,"NA"," NA","NA"
"6 Goa",3893.0,3893.0," NA","NA",15.0,15.0,1027.0,619.0,362.0,362.0,463.0,1065.0,1.72,1.72,164.0,164.0,1500.0,1500.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"
"7 Gujarat",411950.0,411950.0,879.0,879.0,85.0,85.0,31603.0,2004.0,9231.0,9231.0,2004.0,31603.0,100.5,336.0,10.0,10.0,170675.0,170675.0,20230.0,20230.0,8.4,10.79,38.0,38.0," NA","NA"
"8 Haryana",54083.0,54083.0," NA","NA",469.0,469.0,71646.0,20074.0,28213.0,49418.0,9878.0,73116.0,434.4,676.05,10.0,10.0,27115.0,27115.0,2263.0,2263.0," NA",4.0," NA","NA",286.0,286.0
"9 Himachal Prades h",45716.0,45716.0," NA","NA",6.0,6.0,22970.0,4072.0,16840.0,16848.0,2994.0,22970.0,1.5,1.5," NA","NA",28837.0,28837.0," NA","NA"," NA","NA",1.0,21.0," NA","NA"
"10 Jammu & Kas hmir",2489.0,2489.0," NA","NA",39.0,39.0,28672.0,5596.0,23083.0,23083.0,5596.0,28672.0,175.6,225.0," NA","NA",868.0,868.0," NA",200.0," NA","NA",167.0,160.0," NA","NA"
"11 Jharkhand",4933.0,4933.0," NA","NA"," NA","NA",16374.0,620.0,4314.0,6876.0,620.0,16374.0," NA",20.0," NA","NA",280.0,280.0,430.0,680.0," NA","NA",449.0,449.0," NA","NA"
"12 Karnataka",418759.0,418759.0,28.0,28.0,551.0,551.0,7334.0,2694.0,28128.0,36134.0,2271.0,7334.0,29.41,225.41,39.15,39.15,253.0,253.0,7454.0,7454.0,3.0,3.0,16.0,16.0,14.0,14.0
"13 Kerala",126463.0,126463.0,79.0,79.0,810.0,810.0,41181.0,1090.0,32326.0,32326.0,1090.0,41181.0,44.7,47.7,8.0,8.0,236.0,236.0," NA","NA"," NA","NA","","NA",558.0,607.0
"14 Madhya Prades h",295580.0,295580.0," NA","NA",87.0,87.0,9444.0,6138.0,2651.0,2651.0,6054.0,9444.0,22.4,45.0," NA","NA",141618.0,141618.0,7748.0,8108.0," NA",0.11,118.0,381.0," NA","NA"
"15 Maharas htra",780527.0,780527.0,26.0,26.0,228.0,228.0,68683.0,8420.0,1972.0,2431.0,5471.0,8683.0,6.44,850.0,607.7,607.7,58044.0,58044.0,6950.0,7150.0,5.0,6.81,347.0,338.0," NA","NA"
"16 Manipur",2128.0,2128.0," NA","NA",12.0,40.0,3883.0,928.0,2850.0,3865.0,370.0,4787.0,28.0,28.0,70.0,70.0,365.0,365.0," NA","NA"," NA","NA",191.0,191.0," NA","NA"
"17 Meghalaya",6661.0,6661.0," NA","NA",19.0,19.0,24875.0,1273.0,7840.0,7840.0,1273.0,24875.0,50.5,50.5,5.0,5.0,1165.0,1165.0,250.0,250.0," NA","NA",97.0,97.0," NA","NA"
"18 Mizoram",3820.0,3820.0," NA","NA",37.0,37.0,5812.0,431.0,3045.0,5395.0,431.0,8331.0,109.0,109.0," NA","NA",110.0,110.0,200.0,200.0," NA","NA",20.0,20.0," NA","NA"
"19 Nagaland",4153.0,4153.0," NA","NA",3.0,3.0,6317.0,271.0,720.0,720.0,271.0,6317.0,6.0,6.0," NA","NA"," NA","NA",1480.0,1480.0," NA","NA",3.0,11.0," NA","NA"
"20 Odis ha",239818.0,239818.0," NA","NA",56.0,56.0,9882.0,5834.0,5156.0,5156.0,5819.0,9882.0,74.52,84.52," NA","NA",3437.0,3437.0,270.0,270.0,"NA",0.02,223.0,602.0," NA","NA"
"21 Punjab",105289.0,105289.0," NA","NA",1850.0,1857.0,17495.0,5354.0,8620.0,8620.0,4337.0,17495.0,121.0,121.0,30.0,30.0,22050.0,22050.0," NA","NA",2.0,1.81,"NA","NA"," NA","NA"
"22 Rajas than",67349.0,67349.0,222.0,222.0,283.0,283.0,4716.0,6852.0,67305.0,91754.0,6632.0,4716.0,25.8,990.0,14.0,14.0,36682.0,36682.0,2104.0,2104.0," NA",3.0,315.0,292.0," NA","NA"
"23 Sikkim",733.0,733.0," NA","NA"," NA","NA",2470.0,212.0,3890.0,4640.0,212.0,5200.0,14.7,17.73,16.0,16.0,20.0,20.0," NA","NA"," NA","NA"," NA","NA",13.0,13.0
"24 Tamil Nadu",216516.0,216516.0,60.0,60.0,829.0,829.0,16818.0,6350.0,1557.0,7536.0,5885.0,16816.0,39.5,67.73,25.0,25.0,1536.0,1536.0,8766.0,10327.0,4.73,6.14,30.0,"NA",101.0,101.0
"25 Tripura",2793.0,2793.0," NA","NA",25.0,151.0,42360.0,1199.0,26066.0,26066.0,773.0,42360.0,24.57,25.57,2.0,2.0,80.0,80.0,1000.0,1000.0," NA","",79.0,60.0,400.0,715.0
"26 Uttar Prades h",422269.0,422269.0," NA","NA",751.0,573.0,51683.0,89160.0,92124.0,"1,32,203",4117.0,16123.0,129.2,1311.0," NA","NA",50494.0,50494.0,18810.0,20340.0,17.31,24.91,472.0,98.0," NA",86.0
"27 Uttaranchal",10508.0,10508.0," NA","NA",26.0,26.0,64023.0,8568.0,91307.0,91307.0,7673.0,64023.0,80.03,180.03," NA","NA",10534.0,10534.0,250.0,350.0,2.0,3.07,1171.0,472.0,34.0,34.0
"28 Wes t Bengal",318510.0,318510.0," NA","NA",48.0,48.0,3662.0,8076.0,111090.0,"1,30,873",27512.0,17662.0,675.0,775.0,38.0,38.0,7959.0,7959.0,17150.0,24743.0," NA","NA","NA",1176.0,2.0,2.0
"29 Andaman & Nicobar",137.0,137.0,2.0,2.0,5.0,5.0,6296.0,358.0,405.0,405.0,358.0,6296.0,167.0,167.0," NA","NA",60.0,60.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"
"30 Chandigarh",97.0,97.0," NA","NA",12.0,12.0,1675.0,229.0,275.0,275.0,"NA",1675.0," NA",0.0," NA","NA",1529.0,1529.0," NA","NA"," NA",0.33," NA","NA"," NA","NA"
"31 Dadar & Nagar Haveli",169.0,169.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA",0.0," NA","NA",80.0,80.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"
"32 Daman & Diu"," NA"," NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA",0.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"
"33 Delhi",679.0,679.0," NA","NA",89.0,89.0,4753.0,301.0," NA","NA",301.0,4807.0,80.0,80.0," NA","NA",27990.0,27990.0," NA","NA"," NA","NA",8.0,"NA"," NA","NA"
"34 Laks hadweep"," NA"," NA"," NA","NA"," NA","NA",0.0,"NA"," NA","NA"," NA",5289.0,85.0,85.0," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"," NA","NA"
"35 Puducherry",578.0,578.0," NA","NA",21.0,21.0,1637.0,417.0,25.0,25.0,417.0,1637.0," NA",0.0,5.0,5.0,90.0,90.0,600.0,"NA"," NA","NA"," NA","NA"," NA","NA"
"36 Others *"," NA"," NA"," NA","NA"," NA","NA",125797.0,9150.0,8584.0,24047.0,9150.0,"1,25,797",58.0,148.0," NA","NA",17950.0,17950.0," NA","NA","NA","NA"," NA","NA"," NA","NA"
"Total",4247025.0,4198233.0,1352.0,1352.0,7334.0,7373.0,797344.0,204523.0,603307.0,748676.0,119634.0,731202.0,2922.39,9142.6,1072.85,1072.65,663501.0,663501.0,117616.0,138053.0,47.39,70.54,5256.0,6975.0,1408.0,1871.0
