"Products","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*"
"Light Distillates",25.7934639292,24.9229492195,26.0005049437,25.6952140574,25.0180379668,26.5586098315,26.7944547516,27.4350095469
"Middle Distillates",49.0589878822,49.5215550039,48.6008283806,49.1015547427,49.9521060881,48.6542123174,48.4317840269,48.9504544177
"Heavy Ends",18.2119984931,17.5937098894,17.6941815477,18.0457774674,18.6506356828,18.0433194306,17.133846596,16.6537450795
"Total Production",93.0644503045,92.0382141128,92.295514872,92.8425462675,93.6207797378,93.2561415795,92.3600853745,93.0392090441
"RBF & Losses / inventories",6.93554969549,7.96178588722,7.70448512804,7.15745373247,6.37922026223,6.74385842048,7.63991462553,6.96079095589
"Crude Throughput",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
