-----
{
 "description": "This Table give State-wise (2008-09 and 2009-10) and All India (2000-01 to 2009-10) data on Gross Irrigated Area like Rice, Wheat, Coarse Cereals, Pulses, Sugar-Cane, Spices, Fruits, Vegetables, Food Crops and Non-Food Crops.", 
 "file_name": "GROSS_IRRIGATED_AREA.xls", 
 "title": "Gross Irrigated Area ", 
 "url": "http://data.gov.in/sites/default/files/GROSS_IRRIGATED_AREA.xls"
}
-----
"Year/State/ Union Territory","Rice 2008-09 ('000 hectare)","Rice 2009-10 ('000 hectare)","Wheat 2008-09 ('000 hectare)","Wheat 2009-10 ('000 hectare)","Coarse Cereals 2008-09 ('000 hectare)","Coarse Cereals 2009-10 ('000 hectare)","Total Cereals and Millets 2008-09 ('000 hectare)","Total Cereals and Millets 2009-10 ('000 hectare)","Total Pulses 2008-09 ('000 hectare)","Total Pulses 2009-10 ('000 hectare)","Sugarcane 2008-09 ('000 hectare)","Sugarcane 2009-10 ('000 hectare)","Spices,Fruits and Vegetables 2008-09 ('000 hectare)","Spices,Fruits and Vegetables 2009-10 ('000 hectare)","Total Food Crops 2008-09 ('000 hectare)","Total Food Crops 2009-10 ('000 hectare)","Total Non-Food Crops 2008-09 ('000 hectare)","Total Non-Food Crops 2009-10 ('000 hectare)","Total irrigated Area 2008-09 ('000 hectare)","Total irrigated Area 2009-10 ('000 hectare)"
" Andhra Pradesh",4249.0,3354.0,12.0,9.0,471.0,471.0,4731.0,3768.0,28.0,49.0,318.0,281.0,748.0,759.0,5824.0,4858.0,916.0,906.0,6741.0,5764.0
" Arunachal Pradesh *",54.0,51.0,"NA",1.0,"NA","NA",54.0,52.0,"NA","NA","NA","NA",1.0,4.0,54.0,56.0,"NA","NA",56.0,56.0
" Assam *",249.0,179.0,"NA","NA","NA","NA",249.0,180.0,"NA",1.0,"NA","NA",4.0,20.0,252.0,200.0,24.0,25.0,291.0,225.0
" Bihar*",1981.0,1821.0,1938.0,2021.0,395.0,395.0,4315.0,4241.0,21.0,21.0,29.0,30.0,255.0,254.0,4619.0,4546.0,74.0,79.0,4692.0,4625.0
" Chhattisgarh",1284.0,1218.0,67.0,74.0,5.0,5.0,1357.0,1298.0,81.0,88.0,15.0,14.0,69.0,71.0,1521.0,1472.0,15.0,15.0,1537.0,1487.0
" Goa",16.0,16.0,"NA","NA","NA","NA",16.0,16.0,9.0,8.0,1.0,1.0,9.0,9.0,34.0,34.0,2.0,4.0,36.0,38.0
" Gujarat *",473.0,430.0,980.0,788.0,242.0,242.0,1695.0,1462.0,89.0,76.0,221.0,154.0,707.0,711.0,2711.0,2404.0,2566.0,2529.0,5278.0,4933.0
" Haryana",1199.0,1205.0,2438.0,2474.0,340.0,340.0,3978.0,4000.0,56.0,40.0,90.0,79.0,71.0,75.0,4194.0,4194.0,1333.0,1350.0,5528.0,5545.0
" Himachal Pradesh *",50.0,50.0,73.0,71.0,30.0,30.0,154.0,153.0,4.0,4.0,1.0,1.0,18.0,21.0,176.0,179.0,9.0,9.0,190.0,188.0
" Jammu & Kashmir*",233.0,237.0,81.0,87.0,35.0,35.0,348.0,358.0,4.0,4.0,"NA","NA",37.0,37.0,388.0,399.0,82.0,81.0,471.0,480.0
" Jharkhand *",26.0,22.0,50.0,44.0,3.0,3.0,80.0,69.0,3.0,5.0,1.0,1.0,78.0,75.0,161.0,150.0,2.0,5.0,164.0,155.0
" Karnataka",1121.0,1112.0,144.0,161.0,664.0,664.0,1929.0,1958.0,175.0,180.0,459.0,497.0,540.0,599.0,3102.0,3234.0,840.0,862.0,3942.0,4096.0
" Kerala",169.0,169.0,"NA","NA","NA","NA",169.0,169.0,"NA","NA",3.0,3.0,128.0,119.0,299.0,291.0,157.0,164.0,458.0,455.0
" Madhya Pradesh",303.0,285.0,3352.0,3776.0,57.0,57.0,3711.0,4117.0,1715.0,1688.0,80.0,75.0,469.0,521.0,5974.0,6401.0,740.0,761.0,6714.0,7162.0
" Maharashtra *",397.0,383.0,755.0,799.0,512.0,512.0,1666.0,1734.0,307.0,340.0,834.0,817.0,1033.0,1058.0,3839.0,3949.0,411.0,403.0,4328.0,4352.0
" Manipur *",52.0,52.0,"NA","NA","NA","NA",52.0,52.0,"NA","NA","NA","NA","NA","NA",51.0,52.0,"NA","NA",52.0,52.0
" Meghalaya ",43.0,50.0,"NA","NA","NA","NA",44.0,50.0,"NA","NA","NA","NA",26.0,21.0,69.0,70.0,3.0,3.0,73.0,74.0
" Mizoram",11.0,10.0,"NA","NA","NA","NA",11.0,10.0,"NA","NA","NA","NA","NA","NA",10.0,10.0,"NA",2.0,11.0,10.0
" Nagaland",77.0,78.0,1.0,1.0,"NA","NA",78.0,79.0,"NA","NA","NA","NA","NA","NA",77.0,79.0,4.0,7.0,82.0,85.0
" Orissa *",2083.0,2083.0,20.0,20.0,66.0,66.0,2169.0,2169.0,154.0,154.0,38.0,38.0,640.0,660.0,3000.0,3021.0,177.0,176.0,3177.0,3197.0
" Punjab *",2722.0,2784.0,3475.0,3474.0,123.0,123.0,6320.0,6380.0,22.0,18.0,77.0,58.0,166.0,161.0,6584.0,6617.0,1139.0,1097.0,7724.0,7714.0
" Rajasthan",78.0,101.0,2282.0,2385.0,569.0,569.0,2929.0,2955.0,561.0,472.0,6.0,6.0,661.0,686.0,4156.0,4120.0,3753.0,3189.0,7910.0,7309.0
" Sikkim *",12.0,11.0,"NA",1.0,"NA","NA",13.0,13.0,"NA","NA","NA","NA",2.0,5.0,14.0,18.0,"NA","NA",17.0,18.0
" Tamil Nadu",1802.0,1712.0,"NA","NA",181.0,181.0,1984.0,1862.0,31.0,33.0,309.0,293.0,383.0,387.0,2706.0,2575.0,687.0,663.0,3393.0,3238.0
" Tripura *",93.0,94.0,"NA","NA","NA","NA",93.0,95.0,1.0,1.0,"NA","NA",4.0,10.0,97.0,106.0,"NA",1.0,101.0,106.0
" Uttarakhand *",195.0,198.0,213.0,214.0,1.0,1.0,409.0,413.0,3.0,4.0,106.0,98.0,21.0,20.0,538.0,536.0,30.0,31.0,570.0,567.0
" Uttar Pradesh *",4732.0,4096.0,9485.0,9484.0,463.0,431.0,14681.0,14011.0,583.0,651.0,1970.0,1841.0,987.0,1011.0,18220.0,17514.0,1390.0,1383.0,19612.0,18896.0
" West Bengal *",2860.0,2713.0,295.0,303.0,31.0,31.0,3185.0,3038.0,43.0,43.0,10.0,8.0,1413.0,1344.0,4650.0,4433.0,1091.0,1092.0,5651.0,5525.0
" A. & N. Islands *","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Chandigarh *","NA","NA","NA","NA","NA","NA",1.0,1.0,"NA","NA","NA","NA","NA","NA",1.0,1.0,1.0,1.0,1.0,1.0
" D. & N. Haveli *",4.0,4.0,"NA","NA","NA","NA",4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,"NA","NA",8.0,7.0
" Daman and Diu *","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",7.0,7.0,19.0,21.0,3.0,3.0,29.0,31.0,"NA","NA","NA","NA",1.0,1.0,30.0,32.0,1.0,2.0,31.0,34.0
" Lakshadweep *","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,1.0
" Pondicherry",21.0,21.0,"NA","NA","NA","NA",21.0,21.0,"NA","NA",2.0,2.0,1.0,1.0,24.0,24.0,3.0,3.0,27.0,27.0
