"Sector","Name of Establishment ","Personal Enganged In R&D Activities","Personal Enganged In Auxiliary Activities","Personal Enganged In Administrative Activities","Total"
"INSTITUTIONAL SECTOR","Major Scientific Agencies",8035.0,6525.0,11093.0,25653.0
"INSTITUTIONAL SECTOR","Central Government Ministries/Departments",1814.0,3492.0,4321.0,9627.0
"INSTITUTIONAL SECTOR","State Governments",2421.0,2551.0,7631.0,12603.0
"INDUSTRIAL SECTOR","Public Sector Including Joint Sector",931.0,345.0,308.0,1584.0
"INDUSTRIAL SECTOR","Private Sector",6506.0,2889.0,2188.0,11583.0
"TOTAL","TOTAL",19707.0,15802.0,25541.0,61050.0
