-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2007-08.This table contains the physical parameters of reported SRTUs in India in term of Average Fleet Held and Average Fleet Operated, Average Age of...", 
 "file_name": "Physical_Performance_of_SRTUs_for_the_Year_2007-08.xls", 
 "title": "Physical Performance of SRTUs for the year 2007-08 ", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_SRTUs_for_the_Year_2007-08.xls"
}
-----
"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overaged vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
1.0,"Ahmedabad MTS",1073.0,884.0,"NA",80.86,724.7,5687.0,3.47,41792.12,23306.29,3088.19,1070.0,33.0
2.0,"Andhra Pradesh SRTC",19663.0,19558.0,"NA","NA",25347.0,113340.0,5.23,1324127.0,925866.0,47878.0,3076.0,1030.0
3.0,"B.E.S.T. Undertaking",3449.0,3090.0,5.61,0.0,2264.3,32643.0,3.1,159987.0,106579.0,15530.0,841.0,40.0
4.0,"Bangalore Metropolitan TC",4849.0,4548.0,4.38,5.86,3766.85,25542.0,4.45,249742.17,158602.83,13816.5,578.0,109.0
5.0,"Bihar SRTC",620.0,353.0,6.0,6.0,301.59,3970.0,3.98,14476.32,9211.28,94.94,16.0,3.0
6.0,"Calcutta STC",1087.0,603.0,7.06,31.78,483.43,6970.0,3.56,20690.0,17938.48,1890.39,95.0,10.0
7.0,"Chandigarh TU",417.0,398.0,4.0,4.56,486.98,2222.0,4.09,24349.0,22401.08,793.8,126.0,9.0
8.0,"Delhi TC",3439.0,2836.0,6.8,8.45,1833.84,28450.0,3.9,123021.58,98912.42,8797.22,207.0,62.0
9.0,"Gujarat SRTC",8069.0,6932.0,6.47,52.34,9970.0,44557.0,5.37,503811.0,318287.0,8502.0,1161.0,241.0
10.0,"Haryana ST",3293.0,3042.0,"NA","NA",3920.71,16689.0,4.97,196035.0,152320.0,3977.86,334.0,122.0
11.0,"Himachal RTC",1941.0,1896.0,"NA",36.62,1576.69,8484.0,3.71,67110.0,"NA","NA",113.0,34.0
12.0,"Kadamba TCL",413.0,314.0,6.2,9.0,306.32,1972.0,4.43,15978.2,8606.16,283.0,93.0,9.0
13.0,"Karnataka SRTC",6275.0,5696.0,3.61,6.9,7598.07,27505.0,5.02,412575.2,297990.81,8918.13,1400.0,270.0
14.0,"Maharashtra SRTC",15445.0,14641.0,4.1,3.27,17884.98,100234.0,4.93,1092186.0,515805.0,22370.45,3450.0,380.0
15.0,"Meghalaya STC",62.0,37.0,7.0,48.0,26.66,363.0,4.32,1061.6,587.24,4.1,2.0,0.0
16.0,"Metro.TC (Chennai) Ltd.",3084.0,2344.0,4.77,21.27,2401.9,21049.0,3.94,175339.0,142324.0,14907.0,1455.0,147.0
17.0,"Mizoram ST",54.0,28.0,7.46,52.5,11.38,680.0,2.92,409.75,301.31,1.05,0.0,0.0
18.0,"Nagaland ST",226.0,145.0,6.75,14.06,59.5,1046.0,3.65,442.0,652.0,6.52,1.0,1.0
19.0,"North Bengal STC",751.0,518.0,3.47,20.87,460.82,4829.0,3.9,23041.5,14477.14,1044.95,15.0,6.0
20.0,"North Eastern Karnataka RTC",2650.0,2489.0,"NA",35.5,3056.48,12262.0,5.41,165049.92,106694.39,3568.5,354.0,85.0
21.0,"North West Karnataka RTC",4715.0,4323.0,4.87,31.5,5457.23,23972.0,5.1,278319.0,175462.0,7320.0,741.0,157.0
22.0,"Orissa SRTC",259.0,231.0,6.5,20.0,266.25,1128.0,4.38,12513.75,8884.76,50.52,33.0,7.0
23.0,"Pepsu RTC",1009.0,967.0,8.99,58.92,1173.69,4658.0,4.66,61031.88,44281.62,"NA",253.0,75.0
24.0,"PUNBUS, Chandigarh",679.0,679.0,"NA","NA",991.81,"NULL",4.41,1012.58,991.81,1234.87,45.0,21.0
25.0,"Pune Mahanagar Parivahan M. Ltd.",1186.0,933.0,6.25,9.0,814.43,8809.0,3.52,48523.0,31212.0,2942.75,276.0,27.0
26.0,"Punjab Roadways",744.0,707.0,"NA",95.0,417.34,7958.0,4.28,772.16,417.34,1445.26,15.0,8.0
27.0,"Rajasthan SRTC",4420.0,4246.0,5.94,21.3,6015.26,20961.0,4.97,300763.0,216549.36,3868.61,662.0,215.0
28.0,"South Bengal STC",458.0,306.0,8.5,9.84,351.05,2445.0,4.05,17552.5,10917.67,860.93,44.0,12.0
29.0,"State Exp.TC TN Ltd.",930.0,849.0,5.02,46.36,1994.46,6964.0,4.94,78242.67,64819.03,300.95,743.0,77.0
30.0,"Thane MT",286.0,225.0,10.5,"NA",40.33,2545.0,3.3,2460.13,1753.08,226.33,24.0,"NA"
31.0,"TN STC(Coimbatore Dvn)Ltd.",2785.0,2692.0,5.26,45.02,4098.36,17212.0,4.88,272242.65,213312.0,10754.32,1188.0,274.0
32.0,"TN STC(Kumbakonam)Ltd.",3206.0,3046.0,4.6,33.91,5306.3,22377.0,5.38,334729.39,254805.1,10761.11,1236.0,293.0
33.0,"TN STC(Madurai)Ltd.",3774.0,3618.0,7.19,61.59,5755.09,23908.0,5.16,384761.19,305115.76,15125.63,1839.0,345.0
34.0,"TN STC(Salem)Ltd.",1854.0,1791.0,3.36,20.88,3142.76,15349.0,5.24,206602.54,148604.12,6219.05,462.0,166.0
35.0,"TN STC(Villupuram)Ltd.",3014.0,2896.0,3.96,31.42,5192.54,20057.0,5.26,338056.0,291856.0,9638.94,1949.0,297.0
36.0,"Uttar Pradesh SRTC",7470.0,7130.0,4.6,37.0,9039.0,35314.0,5.31,460986.0,295031.0,4433.4,966.0,371.0
