-----
{
 "description": "Telecom Service Area Wise Telephone connections", 
 "file_name": "Telephones_as_on_Oct__2012.csv", 
 "title": "Telephone connections at the end of Oct 2012 ", 
 "url": "http://data.gov.in/sites/default/files/Telephones_as_on_Oct__2012.csv"
}
-----
Sl. No.,Service area,Rural telephones Oct.12,Urban telephones Oct.12
1,Andhra Pradesh,25976638,43848199
2,Assam,8024715,6829027
3,Bihar (incl. Jharkhand),30121983,31851321
4,Gujarat,19167703,35606233
5,Haryana,9892908,11342832
6,Himachal Pradesh,4568716,2797932
7,Jammu & Kashmir,3080413,3931205
8,Karnataka,16917755,41832311
9,Kerala,16755210,19727739
10,Madhya Pradesh (incl. Chhattisgarh),21715438,33151354
11,Maharashtra (excl.Mumbai),32136355,39187775
12,North East,4126712,5036507
13,Orissa,13324975,12903464
14,Punjab,11554476,19978613
15,Rajasthan,23752498,26767326
16,Tamil Nadu  (Incl. Chennai),17438710,63141278
17,Uttar Pradesh (East) ,34479134,40331865
18,Uttar Pradesh (West) (incl. Uttarakhand),20613135,31102751
19,W.B. (excl.Kolkata & incl. A&N & Sikkim),27406026,18984275
20,Kolkata ,754117,24505721
21,Delhi ,2686145,41801825
22,Mumbai ,0,36024963
