-----
{
 "description": "The report is prepared on the basis of information collected from reporting State Road Transport Undertakings (SRTUs) for the financial year 2004-05.This table contains the physical parameters of reported SRTUs in India in term of Average Fleet Held and Average Fleet Operated, Average Age of...", 
 "file_name": "Physical_Performance_of_SRTUs_for_the_Year_2004-05.xls", 
 "title": "Physical Performance of SRTUs for the year 2004-05 ", 
 "url": "http://data.gov.in/sites/default/files/Physical_Performance_of_SRTUs_for_the_Year_2004-05.xls"
}
-----
"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overaged vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents"
1.0,"Ahmedabad MTS",551.0,371.0,10.54,68.15,282.55,3986.0,"NA",18862.6,10325.24,1276.23,213.0,15.0
2.0,"Andhra Pradesh SRTC",19208.0,19105.0,"NA","NA",23250.0,117400.0,5.29,1229925.0,762554.0,42749.0,2365.0,734.0
3.0,"B.E.S.T. Undertaking",3387.0,3069.0,9.28,21.2,2396.39,35788.0,3.19,176953.0,106262.0,16357.0,822.0,54.0
4.0,"Bangalore Metropolitan TC",3719.0,3533.0,3.47,1.79,2973.5,17759.0,4.74,161764.38,124821.94,10866.45,456.0,71.0
5.0,"Bihar SRTC",637.0,495.0,"NA",0.0,380.54,4873.0,3.92,18280.32,12613.42,135.77,9.0,0.0
6.0,"Calcutta STC",1115.0,707.0,6.58,38.42,559.76,7741.0,3.7,22450.0,19495.97,2039.82,112.0,8.0
7.0,"Chandigarh TU",417.0,404.0,5.35,24.46,494.81,2350.0,4.12,24740.5,22761.26,798.1,129.0,15.0
8.0,"Delhi TC",3584.0,3010.0,3.2,0.81,2522.16,29200.0,2.88,169598.61,108193.68,10567.87,410.0,91.0
9.0,"Gujarat SRTC",8472.0,7113.0,"NA",68.8,9251.0,52043.0,5.19,473232.0,272587.0,8342.0,1387.0,624.0
10.0,"Haryana ST",3255.0,3141.0,3.4775,9.25,4116.51,18675.0,4.88,205825.0,137286.0,4083.01,318.0,134.0
11.0,"Himachal RTC",1711.0,1664.0,"NA",23.61,1369.88,8711.0,3.64,"NA",64256.0,"NA",146.0,40.0
12.0,"Kadamba TCL",399.0,327.0,5.37,19.4,310.49,1983.0,4.61,18073.05,8970.71,281.0,113.0,4.0
13.0,"Karnataka SRTC",4568.0,4342.0,"NA",12.1,5809.62,24989.0,5.28,324177.0,229193.0,5847.3,933.0,179.0
14.0,"Kerala SRTC",4496.0,3566.0,6.51,18.65,4299.89,33286.0,3.83,236493.95,189195.16,11322.12,346.0,213.0
15.0,"Kolhapur MTU",145.0,128.0,16.3,49.32,111.06,780.0,3.69,5750.49,4567.16,337.42,123.0,5.0
16.0,"Maharashtra SRTC",15953.0,15229.0,5.38,9.4,17976.31,102231.0,4.85,1143518.02,514125.7,21407.08,3229.0,394.0
17.0,"Meghalaya STC",61.0,41.0,9.0,58.0,17.21,379.0,"NA",705.61,433.6,3.57,1.0,0.0
18.0,"Metro.TC (Chennai) Ltd.",2773.0,2187.0,7.62,18.03,2084.93,18523.0,3.65,152200.0,122995.0,13205.0,1083.0,100.0
19.0,"Mizoram ST",56.0,28.0,10.69,68.25,12.93,831.0,2.89,475.9,185.25,1.13,0.0,0.0
20.0,"Nagaland ST",221.0,219.0,6.75,14.0,53.8,1043.0,3.7,19.91,14.34,14.24,1.0,1.0
21.0,"North Bengal STC",800.0,423.0,7.25,71.0,375.86,5576.0,3.79,18793.0,12805.75,729.95,86.0,9.0
22.0,"North Eastern Karnataka RTC",2386.0,2291.0,6.51,37.1,2643.28,10073.0,5.44,142737.12,95974.44,3296.0,240.0,48.0
