-----
{
 "description": "This table provides summer average values(March-June) for water quality on river ganga under ganga action plan during 2010 and 2011.", 
 "file_name": "Summer_Average_Values_March-June_for_Water_Quality.XLS", 
 "title": "Summer Average Values(March-June) for Water Quality on River Ganga under Ganga Action Plan ", 
 "url": "http://data.gov.in/sites/default/files/Summer_Average_Values_March-June_for_Water_Quality.XLS"
}
-----
"Station/Location","Distance (KM)","1986 DO 
MG/I","1986 BOD
(MG/I)","2010 DO (MG/I)","2010 BOD
(mg/I)","2011 DO
(MG/I)","2011 BOD
(mg/I)"
"Rishikesh",0.0,8.1,1.7,7.48,1.48,8.8,1.3
"Hardwar D/s",30.0,8.1,1.8,7.38,1.9,5.8,4.7
"Garhmukteshwar",175.0,7.8,2.2,7.43,2.18,8.3,3.6
"Kannauj U/S",430.0,7.2,5.5,7.32,4.18,8.0,5.1
"Kannauj D/S",433.0,"NA","NA",7.03,4.58,7.9,6.1
"Kanpur U/S",530.0,7.2,7.2,6.35,3.34,9.2,4.3
"Kanpur D/S",548.0,6.7,8.6,6.18,4.16,7.0,9.0
"Allahabad U/S",733.0,6.4,11.4,7.67,5.51,7.1,4.9
"Allahabad D/S",743.0,6.6,15.5,7.98,4.41,7.1,4.7
"Varanasi U/S",908.0,5.6,10.1,8.46,2.26,"NA","NA"
"Varanasi D/S",916.0,5.9,106.0,7.85,3.78,"NA","NA"
"Patna U/S",1188.0,8.4,20.0,6.13,1.79,8.3,2.7
"Patna D/S",1198.0,8.1,2.2,6.0,2.2,7.9,2.9
"Rajmahal",1508.0,7.8,1.8,6.35,1.63,"NA","NA"
"Palta",2050.0,"NA","NA",7.61,2.53,7.4,2.2
"Uleberia",25.0,"NA","NA",6.51,2.69,5.6,2.9
