-----
{
 "description": "This table shows ministry/ department wise , group wise number of sanctioned posts and position of estimated number  of central government employees during 2009-10 to 2010-11.", 
 "file_name": "GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls", 
 "title": "Group-Wise Estimated Number Of Central Government Civilian Regular Employees. ", 
 "url": "http://data.gov.in/sites/default/files/GROUP-WISE_ESTIMATED_NUMBER_OF_CENTRAL_GOVERNMENT_CIVILIAN_REGULAR_EMPLOYEES.xls"
}
-----
"Year/
Ministry/
Department","Number of Sanctioned Posts A(G)*","Number of Sanctioned Posts B(G)","Number of Sanctioned Posts B(NG)","Number of Sanctioned Posts C(NG)$","Number of Sanctioned Posts D","Number of Sanctioned Posts Unclassified","Number of Sanctioned Posts Total","Number in Position A(G)*","Number in Position B(G)","Number in Position B(NG)","Number in Position C(NG)$","Number in Position D","Number in Position Unclassified","Number in Position Total"
"2005-06",91414.0,87038.0,71960.0,2343081.0,932985.0,291.0,3526769.0,79005.0,80150.0,60086.0,2071299.0,818445.0,289.0,3109274.0
"2006-07",91750.0,83147.0,73253.0,2343359.0,955024.0,4.0,3546537.0,78987.0,76093.0,62500.0,2075497.0,816193.0,4.0,3109274.0
"2007-08",93360.0,81701.0,73906.0,2346621.0,966600.0,"NA",3562188.0,79469.0,74177.0,60833.0,2091793.0,810560.0,"NA",3116832.0
"2008-09",93616.0,88890.0,102075.0,2337494.0,942208.0,"NA",3564283.0,80663.0,79446.0,78626.0,2094655.0,773953.0,"NA",3107343.0
"2009-10",96504.0,91307.0,115086.0,3299398.0,"NA","NA",3602295.0,82926.0,80405.0,95483.0,2809545.0,"NA","NA",3068359.0
"2010-11",98977.0,86657.0,142098.0,3335797.0,"NA","NA",3663529.0,84474.0,76479.0,116249.0,2804736.0,"NA","NA",3081938.0
