-----
{
 "description": "Data provide all India (2001, 2002, 2004, 2006, 2008 and 2009) and state-wise (2009) details on the number of elected representatives of Panchayati Raj institutions.", 
 "file_name": "NUMBER_OF_ELECTED_REPRESENTATIVES_OF_PANCHAYATI_RAJ_INSTITUTIONS.xls", 
 "title": "Number of Elected Representatives of Panchayati Raj Institutions ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_ELECTED_REPRESENTATIVES_OF_PANCHAYATI_RAJ_INSTITUTIONS.xls"
}
-----
"Year","Gram Panchayat(GP)- Total","Gram Panchayat(GP)- SC","Gram Panchayat(GP)- ST","Gram Panchayat(GP)- Women","Intermediate Panchayat(IP)- Total","Intermediate Panchayat(IP)- SC","Intermediate Panchayat(IP)- ST","Intermediate Panchayat(IP)- Women","District Panchayat(DP)- Total","District Panchayat(DP)- SC","District Panchayat(DP)- ST","District Panchayat(DP)- Women"
"Andhra Pradesh",208291.0,31243.0,16662.0,68736.0,14617.0,2586.0,1093.0,4919.0,1095.0,196.0,87.0,364.0
"Arunachal Pradesh ",6485.0,0.0,6485.0,2561.0,1639.0,0.0,1639.0,577.0,136.0,0.0,136.0,45.0
"Assam ",22898.0,1254.0,782.0,8977.0,2148.0,80.0,86.0,791.0,390.0,10.0,18.0,135.0
"Bihar",117397.0,16941.0,784.0,64152.0,11537.0,2307.0,91.0,5671.0,1157.0,192.0,9.0,577.0
"Chhattisgarh",157250.0,17200.0,65552.0,53045.0,2977.0,316.0,1257.0,1005.0,321.0,37.0,124.0,109.0
"Goa (b)",1509.0,0.0,181.0,514.0,0.0,0.0,0.0,"NA",50.0,0.0,0.0,20.0
"Gujarat",109209.0,7615.0,21245.0,36400.0,4161.0,297.0,815.0,1394.0,817.0,58.0,175.0,274.0
"Haryana",66588.0,7303.0,0.0,24406.0,2833.0,617.0,0.0,962.0,384.0,82.0,0.0,135.0
"Himachal Pradesh",22654.0,6095.0,1176.0,8864.0,1676.0,416.0,105.0,596.0,251.0,64.0,19.0,92.0
"Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jharkhand (a)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Karnataka",91402.0,16997.0,9880.0,39318.0,3683.0,678.0,347.0,1519.0,1005.0,184.0,84.0,373.0
"Kerala",16139.0,1750.0,203.0,4904.0,2004.0,212.0,20.0,609.0,339.0,35.0,4.0,119.0
"Madhya Pradesh",388829.0,57752.0,104204.0,133508.0,6851.0,1105.0,1913.0,2378.0,836.0,153.0,233.0,310.0
"Maharashtra",223857.0,24624.0,26863.0,74620.0,3922.0,430.0,470.0,1307.0,1961.0,215.0,264.0,654.0
"Manipur (b)",1675.0,37.0,39.0,730.0,0.0,0.0,0.0,0.0,61.0,2.0,2.0,28.0
"Meghalaya (d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mizoram (d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Nagaland (d)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Orissa",85367.0,14805.0,22166.0,31121.0,6233.0,1056.0,1728.0,2208.0,854.0,146.0,220.0,301.0
"Punjab ",88132.0,27440.0,0.0,30875.0,2622.0,840.0,0.0,866.0,209.0,69.0,"..",68.0
"Rajasthan",113710.0,24140.0,20248.0,40043.0,5257.0,1057.0,980.0,2014.0,1008.0,188.0,187.0,377.0
"Sikkim (b)",891.0,52.0,399.0,356.0,0.0,0.0,0.0,0.0,95.0,5.0,47.0,38.0
"Tamil Nadu",109308.0,22156.0,827.0,36824.0,6524.0,1358.0,47.0,2313.0,656.0,139.0,3.0,227.0
"Tripura",5352.0,1408.0,291.0,1852.0,299.0,78.0,15.0,106.0,82.0,23.0,4.0,28.0
"Uttar Pradesh",703294.0,174842.0,673.0,273229.0,65669.0,16453.0,52.0,24674.0,2698.0,655.0,2.0,1122.0
"Uttarakhand",53988.0,10413.0,1858.0,20319.0,3152.0,596.0,105.0,1079.0,360.0,68.0,10.0,119.0
"West Bengal",49545.0,14492.0,3628.0,18150.0,8563.0,2422.0,601.0,2953.0,720.0,198.0,53.0,248.0
"A & N  Islands",759.0,0.0,0.0,261.0,67.0,0.0,0.0,25.0,30.0,0.0,0.0,10.0
"Chandigarh ",162.0,27.0,0.0,53.0,15.0,4.0,0.0,6.0,10.0,3.0,0.0,3.0
"D & N Haveli (b)",114.0,3.0,105.0,45.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,4.0
"Daman & Diu (b)",77.0,1.0,12.0,30.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,7.0
"NCT Delhi ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lakshadweep (b)",85.0,"NA",82.0,32.0,0.0,0.0,0.0,0.0,25.0,"",24.0,9.0
"Puducherry (c)",913.0,218.0,0.0,330.0,108.0,19.0,0.0,40.0,"NA","NA","NA","NA"
