-----
{
 "description": "This table provides All India (2001 onwards) and State-wise (2008-09) statistics of employment in respect of Shops, Commercial Establishments and restaurants and theaters.", 
 "file_name": "EMPLOYMENT_IN_SHOPS_AND_COMMERCIAL_ESTABLISHMENTS.xls", 
 "title": "Employment In Shops And Commercial Establishments ", 
 "url": "http://data.gov.in/sites/default/files/EMPLOYMENT_IN_SHOPS_AND_COMMERCIAL_ESTABLISHMENTS.xls"
}
-----
" Year","Shops No. ('000 number)","Shops Workers ('000 number)","Commercial establishment No. ('000 number)","Commercial establishment Workers ('000 number)","Restaurants,  No. ('000 number)","Restaurants,  Workers ('000 number)","All establishment No. ('000 number)","All establishment Workers ('000 number)"
" 2000","4782","3137","837","2958","217","784","5836","6878"
" 2001",4866.0,3013.0,901.0,3045.0,255.0,871.0,6023.0,6928.0
" 2002",4724.0,3157.0,908.0,3283.0,262.0,923.0,5895.0,7364.0
" 2003",4508.0,3032.0,859.0,3136.0,246.0,828.0,5613.0,6995.0
" 2004",3697.0,2867.0,662.0,2338.0,201.0,689.0,4561.0,5894.0
" 2005",5542.0,4252.0,106.0,4386.0,285.0,108.0,6884.0,9722.0
" 2006",3727.0,2924.0,987.0,4131.0,252.0,932.0,4966.0,7987.0
" 2007",4458.0,3945.0,1130.0,4578.0,297.0,1090.0,5884.0,9618.0
" 2008 ",3857.0,3650.0,1062.0,4973.0,259.0,1003.0,5178.0,9627.0
"2009(P)",2453.0,1864.0,294.0,1681.0,139.0,516.0,2886.0,4061.0
