-----
{
 "description": "The data provide All India (2000-01 to 2010-11) and State-wise (2009-10 and 2010-11) figures for Mining Production of minerals and ores by selected items such as a). Fuels - Coal, Lignite, Natural Gas, Petroleum, Crude; b). Metallic Minerals - Bauxite, Chromite, Copper Concentrate, Gold, Iron Ore,...", 
 "file_name": "PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls", 
 "title": "Production of Minerals and Ores By Selected Items ", 
 "url": "http://data.gov.in/sites/default/files/PRODUCTION_OF_MINERALS_AND_ORES_BY_SELECTED_ITEMS.xls"
}
-----
"   Year","All minerals Value ('000)**","  Fuels Total Value ('000) ***","  Fuels Coal  Quantity (th.tonne)","  Fuels Coal  Value ('000)","  Fuels Lignite Quantity (th.tonne)","Fuels Lignite Value ('000)","  Fuels Natural gas Quantity ","  Fuels Natural gas Value ('000)","Fuels Petroleum (crude) Quantity (th.tonne)","  Fuels Petroleum (crude) Value ('000)","Metallic Minerals Total Value ('000)*","Metallic Minerals Bauxite Quantity (th.tonne)","Metallic Minerals Bauxite Value ('000)","Metallic Minerals Chromite Quantity (tonne)","Metallic Minerals Chromite Value ('000)","Metallic Minerals Copper Conc. Quantity (th.tonne)","Metallic Minerals Copper Conc. Value ('000)","Metallic Minerals Gold Quantity (Kilogram)","Metallic Minerals Gold Value ('000)","Metallic Minerals Iron ore Quantity  (th.tonne)","Metallic Minerals Iron ore Value ('000)","Metallic Minerals Lead concentrate Quantity (tonne)","Metallic Minerals Lead concentrate Value ('000)","Metallic Minerals Manganese ore Quantity (th.tonne)","Metallic Minerals Manganese ore Value ('000)","Metallic Minerals Zinc concetrates Quantity   (Tonne)","Metallic Minerals Zinc concetrates Value ('000)","Non Metallic Minerals Total Value ('000)","Non Metallic Minerals Apatite Quantity    (Tonne)","Non Metallic Minerals Apatite Value ('000)","Non Metallic Minerals Asbestos Quantity (Tonne)","Non Metallic Minerals Asbestos Value ('000)","Non Metallic Minerals Barytes Quantity (Tonne)","Non Metallic Minerals Barytes Value ('000)","Non Metallic Minerals Diamond Quantity (carat)","Non Metallic Minerals Diamond Value ('000)","Non Metallic Minerals Dolomite Quantity (th.tonne)","Non Metallic Minerals Dolomite Value ('000)","Non Metallic Minerals Felspar Quantity   (Tonne)","Non Metallic Minerals Felspar Value ('000)","Non Metallic Minerals Fire-clay Quantity   (Tonne)","Non Metallic Minerals Fire-clay Value ('000)","Non Metallic Minerals Gypsum Quantity (th.tonne)","Non Metallic Minerals Gypsum Value ('000)","Non Metallic Minerals Kaolin(total) Quantity (Tonne)","Non Metallic Minerals Kaolin(total) Value ('000)","Non Metallic Minerals Kyanite Quantity (tonne)","Non Metallic Minerals Kyanite Value ('000)","Non Metallic Minerals Lime-stone Quantity (th.tonne)","Non Metallic Minerals Lime-stone Value ('000)","Non Metallic Minerals Magnesite Quantity (tonne)","Non Metallic Minerals Magnesite Value ('000)","Non Metallic Minerals Mica (crude) Quantity (tonne)","Non Metallic Minerals Mica (crude) Value ('000)","Non Metallic Minerals Phosphorite Quantity (tonne)","Non Metallic Minerals Phosphorite Value ('000)","Non Metallic Minerals Pyrites Quantity (tonne)","Non Metallic Minerals Pyrites Value ('000)","Non Metallic Minerals Salt (Rock) Quantity (tonne)","Non Metallic Minerals Salt (Rock) Value ('000)","Non Metallic Minerals  Sillimanite Quantity (tonne)","Non Metallic Minerals  Sillimanite Value ('000)","Non Metallic Minerals Steatite Quantity (tonne)","Non Metallic Minerals Steatite Value ('000)","Non Metallic Minerals Varmiculite Quantity (tonne)","Non Metallic Minerals Varmiculite Value ('000)","Minor* minerals Value ('000)"
" 2000-01",586356048.0,479010302.0,313696.0,203519700.0,24247.0,14175382.0,27860.0,80702400.0,32426.0,180612820.0,36925338.0,7993.0,1787493.0,1971806.0,3649795.0,164.0,3243259.0,2615.0,1234926.0,80587.0,21179513.0,54487.0,797994.0,1595.0,1977538.0,366095.0,3054820.0,19408186.0,11117.0,17815.0,15397.0,21132.0,845001.0,373251.0,57407.0,300687.0,3032.0,744306.0,179574.0,24004.0,487332.0,55498.0,2667.0,440705.0,872831.0,760116.0,4865.0,3578.0,127338.0,13474522.0,317763.0,380172.0,1154.0,26238.0,1350715.0,2341330.0,"NA","NA",2530.0,3585.0,15498.0,58688.0,595909.0,377485.0,5003.0,5074.0,51012222.0
" 2001-02",607820259.0,493240240.0,327787.0,216479600.0,24813.0,16951200.0,28038.0,81391200.0,32032.0,178418240.0,39364729.0,8689.0,1923096.0,1548900.0,2660411.0,164.0,2789293.0,2810.0,1281082.0,86226.0,24969189.0,52386.0,649855.0,1587.0,2038908.0,398837.0,3052895.0,19409636.0,12138.0,22280.0,11148.0,19525.0,915976.0,353763.0,81436.0,396047.0,3251.0,764384.0,228735.0,30670.0,495752.0,60011.0,2859.0,401457.0,814759.0,805165.0,4225.0,3146.0,130912.0,13848395.0,287985.0,350526.0,2026.0,48864.0,1239414.0,1876562.0,"NA","NA",2679.0,4554.0,14720.0,54319.0,598366.0,362937.0,5097.0,7031.0,55805654.0
" 2002-03",668922779.0,530428948.0,341272.0,241873900.0,26018.0,17426768.0,29964.0,87073200.0,33044.0,184055080.0,46337610.0,9867.0,2175649.0,3068631.0,4672625.0,152.0,2184409.0,3153.0,1658736.0,99072.0,29648653.0,59107.0,515245.0,1678.0,2391045.0,486162.0,3091248.0,21288358.0,11426.0,21051.0,14139.0,17693.0,679628.0,252208.0,84407.0,396307.0,3630.0,900900.0,239093.0,36907.0,513980.0,66187.0,2653.0,289811.0,822751.0,912232.0,5327.0,4643.0,155744.0,15569625.0,278267.0,350404.0,1232.0,32833.0,1201408.0,1990561.0,"NA","NA",1620.0,2009.0,13290.0,44832.0,688135.0,393672.0,5499.0,6483.0,70867863.0
" 2003-04",723028864.0,554806920.0,361156.0,258877700.0,27958.0,20383610.0,30908.0,89658000.0,33373.0,185887610.0,63663870.0,10925.0,2279612.0,2904809.0,4321241.0,143.0,2067351.0,3457.0,1864804.0,122838.0,46497470.0,73069.0,546210.0,1776.0,2793069.0,590276.0,3294113.0,22303278.0,10448.0,18320.0,10107.0,18907.0,723075.0,416153.0,71260.0,318107.0,4051.0,906090.0,332220.0,54058.0,657080.0,87712.0,2774.0,312964.0,896884.0,982208.0,9057.0,8494.0,153390.0,15933681.0,323977.0,411592.0,1076.0,24504.0,1435959.0,2400731.0,"NA","NA",1813.0,2248.0,19729.0,67697.0,726398.0,335126.0,4493.0,4686.0,82254796.0
" 2004-05",813445313.0,605209421.0,382615.0,304335100.0,30475.0,22009571.0,30820.0,89401200.0,34015.0,189463550.0,99316016.0,11964.0,2516727.0,3621394.0,8496091.0,137.0,2130710.0,3526.0,1943016.0,145942.0,74029029.0,81675.0,652733.0,2386.0,5548865.0,666424.0,3998845.0,22374898.0,8596.0,15508.0,6392.0,19022.0,1159031.0,505194.0,78316.0,376241.0,4339.0,915714.0,379055.0,61032.0,662633.0,90734.0,3685.0,502000.0,933654.0,1091332.0,8208.0,6778.0,165753.0,17942008.0,383953.0,363971.0,1276.0,26104.0,"NA","NA","NA","NA",3073.0,3810.0,30711.0,115306.0,684440.0,334961.0,3377.0,5183.0,86544978.0
" 2005-06",903238938.0,630665093.0,407039.0,336752625.0,30066.0,21531368.0,32202.0,93082800.0,32190.0,179298300.0,138668716.0,12596.0,2933230.0,3714284.0,10929529.0,125.0,2508963.0,2880.0,2700033.0,165230.0,108038760.0,95738.0,768073.0,1906.0,5070450.0,889007.0,5719678.0,24500494.0,9053.0,17942.0,2323.0,19296.0,1156227.0,444147.0,44170.0,233710.0,4751.0,1162833.0,426498.0,70740.0,535735.0,62448.0,3291.0,401288.0,1335744.0,2053626.0,8869.0,7141.0,170029.0,19060882.0,340674.0,385770.0,2116.0,34439.0,"NA","NA","NA","NA",1871.0,2954.0,33119.0,174383.0,681534.0,363835.0,6674.0,5060.0,109404635.0
" 2006-07",1040752722.0,661582924.0,430832.0,348367906.0,31285.0,26260258.0,31747.0,97641600.0,33988.0,189313160.0,182302917.0,15733.0,3847802.0,5295551.0,14501689.0,149.0,3117098.0,2361.0,2173412.0,187696.0,142043084.0,107334.0,1331434.0,2116.0,5573734.0,947387.0,9714664.0,29339766.0,9464.0,18359.0,390.0,14921.0,1680695.0,947053.0,2180.0,14683.0,5172.0,1125676.0,479715.0,86044.0,497315.0,65868.0,3006.0,494242.0,1460363.0,1622193.0,8059.0,7584.0,196695.0,24050066.0,238981.0,341740.0,1411.0,37635.0,"NA","NA","NA","NA",1714.0,2706.0,26366.0,101304.0,739849.0,401169.0,11827.0,8523.0,167527115.0
" 2007-08 ",1211966726.0,703973131.0,457082.0,384645565.0,33980.0,29608836.0,32417.0,99687040.0,34118.0,190031690.0,291821622.0,22625.0,5683866.0,4872847.0,21421925.0,217.0,5009648.0,2969.0,3017382.0,213246.0,233790351.0,125755.0,1443876.0,2697.0,12060370.0,1035829.0,9394204.0,28827484.0,6691.0,22115.0,269.0,10598.0,1076290.0,570064.0,586.0,5701.0,5852.0,1461203.0,488458.0,99521.0,544973.0,86855.0,3400.0,719738.0,1466442.0,573568.0,5102.0,5393.0,193089.0,23997880.0,252849.0,334310.0,4578.0,160645.0,"NA","NA","NA","NA",1216.0,2518.0,40537.0,176725.0,922505.0,593311.0,8910.0,7339.0,187344489.0
" 2008-09 ",1736478726.0,1153713070.0,492757.0,455370200.0,32421.0,36877900.0,32849.0,101077120.0,33506.0,560387850.0,348591024.0,15460.0,4703221.0,4073479.0,22633627.0,124.0,4091113.0,2438.0,3152620.0,212960.0,285444020.0,133768.0,1362744.0,2789.0,17737032.0,1224077.0,9466647.0,37935544.0,6415.0,13025.0,315.0,14521.0,1686148.0,966445.0,536.0,4537.0,5504.0,1554124.0,531689.0,97300.0,495781.0,83416.0,3877.0,993465.0,2083731.0,641747.0,4620.0,5184.0,221563.0,29219751.0,252880.0,363514.0,1462.0,42728.0,1803954.0,3087617.0,"NA","NA",2011.0,3630.0,33702.0,236871.0,888470.0,598246.0,12647.0,9423.0,196239088.0
"2009-10 (R)",1702992635.0,1321586900.0,532042.0,498114700.0,34071.0,37756000.0,47510.0,177803600.0,33691.0,607912600.0,317431497.0,14124.0,4887897.0,3425580.0,10453620.0,125.0,3809462.0,2084.0,3425814.0,218553.0,264950052.0,133921.0,1765874.0,2492.0,11905233.0,1279880.0,13058419.0,46700273.0,5992.0,12911.0,243.0,12268.0,2152552.0,2601842.0,16891.0,116279.0,5912.0,1672224.0,496997.0,98648.0,548748.0,89680.0,3370.0,1004631.0,2798340.0,676728.0,5495.0,5812.0,232950.0,32477596.0,301070.0,435118.0,1061.0,39940.0,1605489.0,3103095.0,"NA","NA",1836.0,4908.0,30690.0,254990.0,839627.0,530786.0,11662.0,8388.0,196239088.0
