"As on","Thermal *","Hydro","Nuclear","Total","Non-utilities","Grand Total"
"31.03.2001",73613.0,25153.0,2860.0,101626.0,16157.0,117783.0
"31.03.2002",76057.0,26269.0,2720.0,105046.0,17145.0,122191.0
"31.03.2003",78390.0,26767.0,2720.0,107877.0,18363.0,126240.0
"31.03.2004",80457.0,29507.0,2720.0,112684.0,18740.0,131424.0
"31.03.2005",84714.0,30942.0,2770.0,118426.0,19103.0,137529.0
"31.03.2006",88601.0,32326.0,3360.0,124287.0,21468.0,145755.0
"31.03.2007",93775.0,34654.0,3900.0,132329.0,22335.0,154664.0
"31.03.2008",103032.0,35909.0,4120.0,143061.0,24986.0,168047.0
"31.03.2009",106968.0,36878.0,4120.0,147966.0,26980.0,174946.0
"31.03.2010",100810.0,36863.0,4560.0,157740.0,28474.0,186214.0
"31.03.2011",112820.0,37570.0,4780.0,172920.0,32900.0,205820.0
