-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2007-08 (all figures are in Rs. Lakh)", 
 "file_name": "spoutlay_0708_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2007-08 ", 
 "url": "http://data.gov.in/sites/default/files/spoutlay_0708_ds.xls"
}
-----
"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay","Andhra-Pradesh-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay","Arunachal-Pradesh-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay","Assam-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay","Bihar-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay","Chhatisgarh-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay","Goa-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay","Gujarat-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay","Haryana-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay","Himachal-pradesh-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay","Jammu-Kashmir-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay","Jharkhand-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay","Karnataka-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay","Kerala-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay","MP-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay","Maharashtra-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay","Manipur-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay","Meghalaya-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay","Mizoram-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay","Nagaland-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay","Orissa-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay","Punjab-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay","Rajasthan-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay","Sikkim-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay","TamilNadu-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay","Tripura-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay","UP-Expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay","Uttrakhand-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay","WB-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay","Total-States-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay","AandN-Islands-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay","Chandigarh-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay","DandN-Haveli-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay","DandDiu-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay","Delhi-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay","Lakshadweep-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay","Puducherry-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay","Total-UTs-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay","Total-States-UTs-Expenditure"
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","1. Crop Husbandry",41217.36,41217.36,63669.84,1662.0,1737.0,1736.47,13561.0,13561.0,6076.3,8682.25,8682.25,18515.55,2177.93,2177.93,6365.42,904.4,904.4,980.9,31946.0,31946.0,29070.14,2730.0,2530.0,2419.22,1071.1,1071.1,2157.39,813.0,813.0,709.87,6720.0,6720.0,4324.0,32156.0,32156.0,29772.23,5378.0,5378.0,5676.97,9916.43,9916.43,8507.95,18951.5,18951.5,35455.0,500.0,500.0,500.0,2075.0,2512.0,2482.14,3420.0,3416.0,3428.02,289.0,299.0,255.0,3230.03,7609.0,8173.0,9300.0,9300.0,9568.02,7525.0,12824.33,1024.5,750.0,740.58,723.07,16110.23,19335.18,11009.47,2179.6,2214.35,2144.13,77521.0,47931.0,64468.66,7753.07,9055.09,16911.17,3926.0,12624.71,16610.96,312465.9,306123.21,352735.39,526.65,526.65,444.84,4.0,4.0,0.0,127.0,127.0,108.73,57.0,57.0,58.59,33.5,33.5,8.49,254.0,254.0,0.0,755.5,886.94,883.16,1757.65,1889.09,1503.81,314223.55,308012.3,354239.2
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","2. Horticulture",0.0,0.0,0.0,680.0,823.6,759.44,0.0,"",0.0,2000.0,2000.0,0.0,1033.4,1033.4,1227.45,178.4,178.4,274.08,4983.0,4983.0,4239.35,240.0,2000.0,1677.13,691.43,691.43,0.0,360.0,360.0,326.97,1300.0,1300.0,398.0,8715.0,8715.0,10159.86,0.0,0.0,0.0,4000.0,4000.0,5819.7,4768.85,4768.85,16755.0,64.0,64.0,64.0,1100.0,800.0,859.83,835.0,835.0,235.0,390.0,547.0,547.0,582.0,1400.0,1168.61,0.0,0.0,0.0,1297.0,1336.0,26468.69,1000.0,1272.0,1271.68,0.0,0.0,12058.69,826.3,772.15,746.7,8997.0,9738.0,8225.05,0.0,0.0,0.0,536.0,647.7,558.87,44577.38,48265.53,93841.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.5,130.0,130.0,118.76,0.0,0.0,0.0,317.1,317.1,399.76,447.1,447.1,525.02,45024.48,48712.63,94366.12
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","3. Soil and Water Conservation (including control of shifting cultivation)",0.0,0.0,0.0,1378.0,1812.26,1252.23,22.0,22.0,436.1,0.0,0.0,0.0,0.0,0.0,0.0,234.1,234.1,258.75,17720.0,17720.0,19426.64,440.0,440.0,321.43,1517.0,1517.0,1561.14,1724.45,1724.45,481.9,2300.0,2300.0,1300.0,13465.0,13465.0,16637.64,2542.0,2542.0,1952.47,783.09,783.09,610.36,29845.41,29845.41,52565.0,565.0,815.0,807.14,1700.0,1600.0,1802.4,320.0,323.0,304.84,1030.0,1170.0,1320.0,283.0,383.0,282.95,439.62,439.62,783.04,47.01,42.75,40.0,140.0,149.42,161.16,10467.26,10467.26,9849.17,74.67,59.94,69.26,27194.0,29868.0,41874.97,8414.0,8414.0,6313.0,82.0,102.0,103.71,122727.61,126239.3,160515.3,200.0,200.0,80.34,0.0,0.0,0.0,166.0,166.0,159.31,8.0,8.0,7.99,50.0,50.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,424.0,424.0,251.68,123151.61,126663.3,160766.98
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","4. Animal Husbandry",19923.84,19923.84,15680.75,792.0,900.0,900.0,711.0,1211.0,968.25,439.0,439.0,1566.39,7448.03,7448.03,1822.18,469.5,469.5,226.68,6591.0,6591.0,5778.5,2200.0,3700.0,1991.17,1755.89,1755.89,1828.71,905.42,905.42,940.59,2600.0,2600.0,1847.0,16519.0,16519.0,11008.0,5435.0,5435.0,3490.87,4810.0,4810.0,2740.61,6468.03,6468.03,5137.0,200.0,250.0,266.67,1200.0,1050.0,1088.52,668.0,688.0,664.05,750.0,1000.0,1064.67,560.0,586.15,430.48,1722.25,1722.25,1476.72,1740.78,2454.81,2260.52,850.0,910.0,910.0,2230.16,2230.16,2638.33,1080.52,1157.37,1420.85,11752.0,6252.0,8479.48,2525.47,2525.47,2475.82,1979.0,10946.0,5790.5,104325.89,110947.92,84893.31,514.36,514.36,496.51,44.0,44.0,26.46,41.0,41.0,43.68,37.0,37.0,25.18,581.0,581.0,622.42,330.0,330.0,347.04,1540.0,1410.72,1404.74,3087.36,2958.08,2966.03,107413.25,113906.0,87859.34
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","5. Dairy Development",0.0,0.0,0.0,33.0,60.0,60.0,660.0,660.0,110.0,3207.0,3207.0,3538.08,0.05,0.05,2.97,671.0,671.0,598.22,3000.0,3000.0,2334.38,0.0,0.0,"",85.0,85.0,84.29,0.0,0.0,0.0,5065.0,5065.0,3453.33,0.0,0.0,2650.0,550.0,550.0,579.88,0.0,0.0,1592.41,755.63,755.63,84.0,28.75,28.75,20.5,225.0,175.0,175.37,50.0,48.0,48.0,0.0,0.0,0.0,25.0,25.0,25.0,1719.0,1719.0,538.42,0.01,0.01,0.01,85.0,85.0,85.0,641.0,841.01,591.0,14.48,3.22,1.61,11918.0,11980.0,11702.51,1435.05,1435.05,293.78,339.0,239.0,239.0,30506.97,30632.72,28807.76,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0,400.0,0.0,0.0,0.0,0.0,728.0,728.0,728.0,1138.0,1138.0,729.0,31644.97,31770.72,29536.76
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","6. Fisheries",1034.36,1034.36,1570.7,252.0,278.0,278.0,1895.0,1895.0,985.4,400.0,400.0,629.95,596.65,596.65,573.26,1258.18,1258.18,1264.74,2500.0,2500.0,2310.98,470.0,470.0,446.77,238.75,238.75,228.93,700.0,700.0,857.51,1505.0,1505.0,1509.0,5980.0,5980.0,1898.05,5166.0,5166.0,5243.23,800.0,800.0,666.52,3882.12,3882.12,3729.0,322.0,382.0,382.0,450.0,350.0,348.38,300.0,318.0,313.46,342.0,437.95,422.0,1515.0,1500.25,729.21,327.0,327.0,113.0,85.0,71.89,59.63,70.0,70.0,70.0,10314.36,10314.36,7553.29,1066.08,1066.11,1051.62,1448.0,948.0,335.23,754.38,754.35,348.17,4485.0,6108.0,4700.4,48156.88,49351.97,38618.43,440.0,440.0,337.23,41.0,41.0,51.56,0.0,0.0,0.0,71.0,71.0,82.19,5.5,5.5,1.71,2051.0,2051.0,1757.66,1253.0,1421.77,1421.62,3861.5,4030.27,3651.97,52018.38,53382.24,42270.4
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","7. Plantations",0.0,0.0,0.0,207.5,0.0,307.5,0.0,0.0,0.0,0.0,0.0,"",9495.0,9495.0,0.0,0.0,0.0,0.0,19350.0,19350.0,19911.14,0.0,0.0,"",0.0,0.0,0.0,400.0,400.0,365.86,0.0,0.0,0.0,0.0,0.0,293.9,0.0,0.0,0.0,24100.0,24100.0,27359.75,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.4,138.84,156.53,0.0,0.0,0.0,0.0,0.0,0.0,310.0,205.0,190.89,55014.9,54688.84,48605.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,650.0,580.31,0.0,0.0,0.0,0.0,0.0,0.0,650.0,650.0,580.31,55664.9,55338.84,49185.88
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","8. Food,Storage & Warehousing",0.0,0.0,0.0,0.0,0.0,3246.45,60.0,60.0,60.0,0.0,0.0,0.0,2214.16,2214.16,2123.23,0.0,0.0,0.0,939.0,939.0,720.6,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,161.36,0.0,0.0,0.0,650.0,650.0,967.5,25.0,25.0,25.0,840.0,840.0,840.0,0.0,0.0,12611.0,4.0,4.0,4.0,15.0,15.0,15.0,0.0,0.0,0.0,125.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,270.0,427.17,10.0,30.0,9.47,2.02,2.02,1.96,101.0,93.16,132.36,0.0,8642.0,0.0,0.0,0.0,0.0,100.0,256.42,642.1,5532.18,14342.76,22112.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5532.18,14342.76,22112.2
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","9. Agricultural Research & Education",2910.0,2910.0,3717.6,84.0,84.0,83.15,3000.0,3000.0,3000.0,1700.0,1700.0,2230.17,650.0,650.0,222.5,56.42,56.42,34.21,3600.0,3600.0,3706.09,2000.0,2000.0,1990.86,5383.0,5383.0,4583.02,1203.0,1203.0,1709.86,2870.0,2870.0,2603.0,8000.0,8000.0,13105.0,2000.0,2000.0,2000.0,2891.1,2891.1,2891.1,1500.0,1500.0,2491.0,12.0,12.0,12.0,50.0,50.0,58.17,12.0,12.0,0.0,96.0,96.0,110.0,380.0,380.0,380.0,0.0,0.0,2000.0,861.0,1024.5,0.0,40.0,20.0,34.4,9874.75,11256.18,0.0,594.0,388.78,374.11,8106.0,2547.0,6150.54,1279.62,1279.62,1249.6,1089.0,1116.4,1111.43,60241.89,56030.0,55847.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.83,828.4,828.4,760.38,828.4,828.4,1000.21,61070.29,56858.4,56848.02
"I","2007-08","AGRICULTURE & ALLIED ACTIVITIES","10. Agricultural Financial Institutions",0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",300.0,300.0,832.55,50.0,50.0,143.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.02,650.02,650.0,0.0,0.0,0.0,100.0,100.0,0.0,3.09,2.74,2.16,2547.0,4973.0,2547.0,0.0,0.0,0.0,150.0,2150.0,1838.82,3975.11,8450.76,6270.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3975.11,8450.76,6270.57
