-----
{
 "description": "Data provides all India (from 2000 to 2008) and state-wise (2007 and 2008) details on general funds of registered trade unions (workers' unions, employers' unions, workers' central union and workers' state union).", 
 "file_name": "GENERAL_FUNDS_OF_REGISTERED_TRADE_UNIONS.xls", 
 "title": "General Funds of Registered Trade Unions ", 
 "url": "http://data.gov.in/sites/default/files/GENERAL_FUNDS_OF_REGISTERED_TRADE_UNIONS.xls"
}
-----
"Central/StateUnion","No. of unions submitting returns- 2007","No. of unions submitting returns- 2008","Opening balance- 2007","Opening balance- 2008","Income- 2007","Income- 2008","Expenditure- 2007","Expenditure- 2008","Closing balance- 2007","Closing balance- 2008"
"Central Union",580.0,759.0,149186.0,381667.0,97162.0,447860.0,119780.0,240953.0,126568.0,5888574.0
"Andhra Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chattisgarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Goa",13.0,18.0,961.0,1393.0,183.0,2613.0,749.0,1116.0,395.0,2890.0
"Gujarat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Haryana",25.0,23.0,3749.0,7195.0,2279.0,2421.0,2052.0,2232.0,3976.0,7384.0
"Himachal Pradesh",5.0,"NA",2779.0," NA",3067.0," NA",2937.0," NA",2909.0," NA"
"Jammu and Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Karnataka","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Madhya Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Maharashtra","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mizoram","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Nagaland",1.0,"NA",7.0," NA",94.0," NA",92.0," NA",9.0,"NA"
"Orissa",12.0,"NA",147.0," NA",192.0," NA",176.0," NA",163.0," NA"
"Punjab",5.0,1.0,1125.0," NA",1349.0,519.0,1527.0,374.0,947.0,145.0
"Rajasthan",13.0,33.0,11124.0,34080.0,9779.0,16814.0,9924.0,12301.0,10979.0,38593.0
"Tamil Nadu",501.0,680.0,129167.0,338501.0,79861.0,425364.0,101942.0,224581.0,107086.0,539284.0
"Tripura","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Uttrakhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"West Bengal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A.& N.Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chandigarh",5.0,4.0,127.0,498.0,358.0,129.0,381.0,348.0,104.0,279.0
"D &N Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Puducherry","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
