-----
{
 "description": "This data provides number of combined, rural and urban occupied residential houses and households in the country for the year 2001 and 2011. It also gives details on number of households per 100 occupied residential houses and number of persons per 100 households for the year 1991, 2001 and 2011.", 
 "file_name": "OCCUPIED_RESIDENTIAL_HOUSES_AND_HOUSEHOLDS_IN_THE_COUNTRY.xls", 
 "title": "Combined Rural And Urban Occupied Residential Houses And Households In The Country ", 
 "url": "http://data.gov.in/sites/default/files/OCCUPIED_RESIDENTIAL_HOUSES_AND_HOUSEHOLDS_IN_THE_COUNTRY.xls"
}
-----
"All-India/State/ Union Territory","Number of Occupied Residential Houses-2001","Number of occupied Residential Houses-2011","Number of Households-2001","Number of households-2011","No. of Households per 100 Occupied Residential Houses-1991","No. of Households per 100 Occupied Residential Houses-2001","No. of Households per 100 Occupied Residential Houses-2011","No. of Persons per 100 Households-1991","No. of Persons per 100 Households-2001","No. of Persons per 100 Households-2011"
"All-India (*)",179275605.0,306162799.0,193579954.0,246692667.0,103.0,107.97897126,80.5756505381,551.0,531.0,455.686539722
"Andhra Pradesh",15998974.0,23709431.0,17004305.0,21024534.0,103.0,106.0,88.6758269315,477.0,448.0,402.69873758
"Arunachal Pradesh",198281.0,342993.0,215574.0,261614.0,110.0,109.0,76.2738598164,493.0,509.0,528.492741214
"Assam",4781863.0,8783558.0,4914823.0,6367295.0,101.0,103.0,72.4910679704,583.0,542.0,489.521405872
"Bihar",12739703.0,22836826.0,13744130.0,18940629.0,109.0,108.0,82.9389732181,616.0,604.0,548.052744183
"Chattisgarh",3875275.0,6377862.0,4091551.0,5622850.0,"NA",106.0,88.1619890804,"NA",509.0,454.221542456
"Goa",266271.0,451079.0,294812.0,322813.0,104.0,111.0,71.564626152,499.0,457.0,451.568864947
"Gujarat",7837436.0,15120913.0,9691362.0,12181718.0,102.0,124.0,80.5620533628,551.0,523.0,495.690575008
"Haryana",3161833.0,6468204.0,3712319.0,4717954.0,104.0,117.0,72.9407112082,630.0,570.0,537.374484787
"Himachal Pradesh",1195568.0,2588018.0,1221589.0,1476581.0,101.0,102.0,57.05451044,534.0,498.0,464.350347187
"Jammu and Kashmir",1317925.0,3299219.0,1568519.0,2015088.0,"NA",119.0,61.0777277895,"NA",647.0,622.748286923
"Jharkhand",4461360.0,7342307.0,4799081.0,6181607.0,"NA",108.0,84.1916171579,"NA",561.0,533.29559773
"Karnataka",9551113.0,16200624.0,10401918.0,13179911.0,102.0,109.0,81.3543416599,552.0,508.0,463.817274639
"Kerala",6490580.0,10028709.0,6726356.0,7716370.0,101.0,104.0,76.9428049014,528.0,473.0,432.686314938
"Madhya Pradesh",9939012.0,17477279.0,10912025.0,14967597.0,103.0,110.0,85.6403162071,565.0,553.0,485.031531782
"Maharashtra",18305346.0,29801063.0,19576736.0,23830580.0,103.0,107.0,79.9655367998,514.0,495.0,471.549462917
"Manipur",384199.0,601862.0,375095.0,507152.0,104.0,98.0,84.2638345667,619.0,611.0,536.67460643
"Meghalaya",406357.0,688256.0,418850.0,538299.0,101.0,103.0,78.2120315696,542.0,554.0,550.624652842
"Mizoram",154643.0,257581.0,176134.0,221077.0,100.0,114.0,85.8281472624,570.0,504.0,493.499549931
"Nagaland",320810.0,495551.0,328057.0,399965.0,100.0,102.0,80.7111679726,557.0,607.0,495.19382946
"Odisha",7260631.0,12058231.0,7738065.0,9661085.0,107.0,107.0,80.1202514697,528.0,476.0,434.188892862
"Punjab",3922108.0,7187337.0,4348580.0,5409699.0,103.0,111.0,75.2670843179,592.0,560.0,512.121580147
"Rajasthan",8865634.0,16223970.0,9317675.0,12581303.0,102.0,105.0,77.5476224377,604.0,606.0,545.420549843
"Sikkim",99247.0,152622.0,114223.0,128131.0,100.0,115.0,83.9531653366,533.0,474.0,474.270863413
"Tamil Nadu",13699661.0,21525672.0,14665983.0,18493003.0,101.0,107.0,85.911385252,445.0,426.0,390.087851065
"Tripura",634498.0,1024903.0,664334.0,842781.0,101.0,105.0,82.2303183813,524.0,482.0,435.585519844
"Uttar Pradesh",24156869.0,42765219.0,25757640.0,32924266.0,105.0,107.0,76.9884190234,622.0,645.0,606.183527372
"Uttarakhand",1491605.0,3047001.0,1603242.0,1997068.0,"NA",107.0,65.5420854801,"NA",530.0,506.580246642
"West Bengal",14896583.0,24279288.0,15872083.0,20067299.0,101.0,107.0,82.6519253777,544.0,505.0,455.206931436
"A. & N. Islands",70575.0,122201.0,78242.0,93376.0,101.0,111.0,76.4118133239,475.0,455.0,406.896847156
"Chandigarh",188367.0,278489.0,206465.0,235061.0,101.0,110.0,84.4058472687,438.0,436.0,448.686085739
"D. & N. Haveli",42292.0,89989.0,45586.0,73063.0,107.0,108.0,81.1910344598,528.0,484.0,469.256668902
"Daman and Diu",32913.0,75277.0,35686.0,60381.0,106.0,108.0,80.2117512653,530.0,443.0,402.297080207
"Delhi",2316996.0,4092864.0,2733383.0,3340538.0,104.0,118.0,81.6185927507,502.0,507.0,501.51307963
"Lakshadweep",9076.0,17841.0,9993.0,10703.0,102.0,110.0,59.9910318928,623.0,607.0,601.971409885
"Puducherry",202001.0,350560.0,215538.0,301276.0,110.0,107.0,85.9413509813,497.0,452.0,413.064432613
