-----
{
 "description": "The Central Statistical Organisation (CSO) introduced the quarterly estimates of Gross Domestic Product (GDP), on 30.6.1999, with effect from, the estimates for the fourth quarter-Q4 (January-March) of 1999, both at constant (1993-94) and current prices. The Quarterly Gross Domestic Product (QGDP)...", 
 "file_name": "Quarterly_Estimates_of_GDP_at_Constant_2004-05_Prices.xls", 
 "title": "Quarterly Estimates of GDP at Constant (2004-05) Prices ", 
 "url": "http://data.gov.in/sites/default/files/Quarterly_Estimates_of_GDP_at_Constant_2004-05_Prices.xls"
}
-----
"Indicator (Rupees in Crores)","2004-05 Q1","2004-05 Q2","2004-05 Q3","2004-05 Q4","2005-06 Q1","2005-06 Q2","2005-06 Q3","2005-06Q4","2006-07 Q1","2006-07 Q2","2006-07 Q3","2006-07 Q4","2007-08 Q1","2007-08 Q2","2007-08 Q3","2007-08 Q4","2008-09 Q1","2008-09 Q2","2008-09 Q3","2008-09 Q4","2009-10 Q1","2009-10 Q2","2009-10 Q3","2009-10 Q4","2010-11 Q1","2010-11 Q2","2010-11 Q3","2010-11 Q4","2011-12 Q1","2011-12 Q2","2011-12 Q3","2011-12 Q4"
"1. Agriculture, Forestry & Fishing",135745.285003,108878.891233,172400.855283,148401.165955,139404.326867,113023.227125,185750.113566,156309.196745,144789.486569,116946.985962,193208.754986,164244.495289,151336.040777,122418.414603,211649.110308,169676.65083,155734.38286,123779.553818,203809.604838,172363.916711,156740.368307,126524.233393,201853.064142,177390.432975,161613.865958,132667.801005,224043.827073,190776.975307,167547.515864,136806.301222,230358.545695,193955.094653
"2. Mining & Quarrying",20274.8406471,20067.3196926,21743.7124795,22942.3408808,21110.3863707,19649.5778701,21745.226928,23636.280946,22187.2331786,20901.0500924,23607.7772081,25882.3747247,22390.5731115,21837.2438514,24619.9570389,27149.1402829,23072.253301,22328.8933652,25467.9229645,27185.7512666,24616.2118726,23675.5598844,26582.2403014,29350.9879416,26303.9378218,25397.5063952,28200.1632647,29519.6730554,26250.5849545,24016.1851359,27403.2824516,30798.4969449
"3. Manufacturing",104207.816817,110614.293627,115718.266207,122684.210017,117189.436738,120671.900363,126163.960843,134994.702056,131959.119938,137616.184859,143793.05551,157089.639692,148706.378723,152133.037053,158014.3832,170219.201025,166691.203391,165642.549565,162644.960732,161323.286312,167570.651815,176549.750014,180421.032248,195186.565923,182894.776889,187309.14858,194435.280897,209522.793634,196170.17572,192789.782488,195509.02766,208998.646883
"4. Electricity, Gas & Water Supply",15370.0459414,15738.1151161,15669.3870791,15897.4518634,16774.3528265,16450.4052369,16736.9810226,17161.260914,18054.759644,18076.9522724,18562.2676121,18668.0204715,19839.5926586,19680.4424038,19824.417649,20085.5472886,20613.9657264,20649.2263686,20750.9433954,21035.8645096,21902.3186103,22175.0447099,21655.7742164,22532.8624634,22540.9220584,22240.5619431,22479.6149778,23682.9010207,24333.4248431,24423.6335355,24509.3317932,24838.5935203
"5. Construction",54628.1185204,55319.9296457,57933.8346982,60973.2283438,60666.5841436,60889.3808038,66694.3825954,69878.7983647,67522.3408405,67185.0548604,72818.5304969,77279.5952119,75363.1716317,76547.1751306,80378.9342507,83205.5263632,82341.0759148,81612.0984347,80870.2124317,87505.9847772,86031.6048049,86376.5820357,88339.0856602,94969.8270806,93264.1738551,91556.9870361,95999.8732667,103378.321321,96539.3785986,97316.8592137,102376.149462,108385.055639
"6. Trade, Hotels, Transport & Communication",166533.887111,173257.913195,186954.787748,200973.87775,188804.944782,193771.803493,207862.23762,224966.834762,208195.657927,217246.785027,233528.106766,251113.601774,234407.385018,238927.970021,257642.764427,278541.531418,266149.273565,266043.938729,271619.269296,281313.216794,279248.849485,289021.03285,301003.23725,327939.044758,314545.719224,319798.278087,330117.654945,365994.0216,357882.066098,350262.660069,363100.002849,391526.536175
"7. Fnancing, Insurance, Real Estate and Business Services",105801.790164,106112.679316,110412.299277,114846.770186,117726.694641,119827.14767,123278.74769,131507.817151,133495.670831,136317.222044,141315.143137,149935.097117,150450.178793,153451.315868,158335.471835,165886.557953,167557.507411,170253.137128,177074.172807,188744.488003,187106.454159,189145.271701,192558.441156,201074.106424,205860.936136,208815.121193,214204.667861,221114.443155,225164.861635,229497.576746,233757.549929,243293.600975
"8. Community, Social & Personal Services",92439.0920249,100790.307803,100221.276308,117910.277505,98402.8537393,107993.266958,107907.148407,126122.976168,104671.760628,111542.646736,109403.620948,127205.215072,109109.804332,119533.35724,115353.340105,139920.827723,118787.690597,131290.062898,142756.333899,151662.838072,134423.385007,156837.827778,154069.743278,164765.022587,140384.166454,163940.589712,152857.187226,180493.304035,144849.440748,173868.513172,162709.638549,193275.116271
"9. Gross Domestic Product (GDP) at Factor Cost",695000.87623,690779.449628,781054.41908,804629.322501,760079.580109,752276.70952,856138.798673,884577.867106,830876.029557,825832.881854,936237.256663,971418.039353,911603.125045,904528.95617,1025818.37881,1054684.98288,1000947.35277,981599.460308,1084993.42036,1091135.34645,1057639.84406,1070305.30237,1166482.61825,1213208.85015,1147408.4984,1151725.99395,1262338.26951,1324482.43313,1238737.44846,1228981.51158,1339723.52839,1395071.14106
"10. Net Indirect Taxes",55042.079355,67302.5307372,69332.8783194,79067.5115885,59146.3181795,69815.5548054,70557.4201093,90651.7069059,49022.1639952,80432.1310085,78286.7305352,99383.9744611,63410.0874523,84572.6156895,95709.8416801,110618.455178,52885.3030632,74122.1548852,53746.8951809,76919.6468707,45954.5723702,56147.5853939,63412.5142613,107027.327975,61304.9852709,74725.1500418,90941.0895081,123897.775179,78640.7071801,82161.5006615,97992.8830904,134546.446315
"11. Indirect Taxes",74374.8959347,88521.3311931,91028.7474391,110042.025433,81489.3370725,97870.5121138,100709.443076,125647.707738,88311.6522172,110480.034294,114224.419107,143780.894381,98815.4213077,115580.702715,129834.576781,159116.299196,97435.5939206,114305.204906,121245.505692,141022.695481,86255.0566645,104756.341864,113312.038071,155283.563401,103867.577567,123999.593191,135346.993113,182513.836129,119563.728089,134824.124999,143353.261438,195581.123335
"12. Subsidies",19332.8165797,21218.8004559,21695.8691197,30974.5138447,22343.018893,28054.9573084,30152.0229662,34996.0008323,39289.488222,30047.9032859,35937.6885722,44396.91992,35405.3338554,31008.0870257,34124.7351011,48497.8440179,44550.2908574,40183.050021,67498.6105115,64103.0486101,40300.4842943,48608.7564704,49899.5238093,48256.235426,42562.592296,49274.4431495,44405.9036049,58616.0609496,40923.020909,52662.6243375,45360.3783472,61034.6770199
"13. Gross Domestic Product (GDP) at Market Prices",750042.955585,758081.980365,850387.297399,883696.83409,819225.898288,822092.264325,926696.218782,975229.574012,879898.193552,906265.012862,1014523.9872,1070802.01381,975013.212497,989101.571859,1121528.22049,1165303.43806,1053832.65583,1055721.61519,1138740.31554,1168054.99332,1103594.41643,1126452.88776,1229895.13251,1320236.17813,1208713.48367,1226451.14399,1353279.35902,1448380.20831,1317378.15564,1311143.01224,1437716.41148,1529617.58738
"14. Government Final Capital Expenditure (GFCE)",73582.0170127,80525.012547,82553.083589,117857.886851,75362.1806079,94142.1614031,100130.557354,116372.100635,105841.730202,80921.0496749,95676.4961235,118139.724,105445.772094,90880.9977686,99623.5262829,142968.703854,103501.282567,92465.07094,149885.996871,138606.649621,119456.738368,116307.114936,160995.609945,156949.536752,132684.586945,128464.079757,168575.777384,167429.555913,139179.386815,137671.830203,176417.75826,174351.226414
"15. Private Final Consumption Expenditure (PFCE)",452848.967241,447004.00075,523869.810359,493785.22165,497297.421338,487991.623251,564787.690621,533232.26479,533481.145341,542216.785011,607361.370782,576832.698866,581044.75,587298.943107,668884.312597,634168.75,639466.380548,632933.28206,711280.833063,665929.504329,678548.094183,689128.36529,760988.80177,713009.738758,747741.541777,756223.817544,815755.012918,752394.627761,784112.642991,790738.07452,868135.760031,798492.746809
"16. Gross Fixed Capital Formation (GFCF)",210317.980533,223044.953403,234205.891172,263458.98929,242624.2456,256998.073035,274886.373501,307283.641441,273193.456467,286222.354652,315958.292687,355889.786808,325658.377545,344174.418663,363740.994312,397189.751071,370960.590245,380646.754654,371371.126914,357965.391666,358101.966933,389866.462864,393868.315304,439107.486414,389640.977669,416689.061462,437564.181006,455493.61018,446753.637952,437624.013558,436175.138614,471968.545607
