-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) actual strength of armed police and civil police at the end of year.", 
 "file_name": "ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls", 
 "title": "All India and State-wise Actual Police Strength ", 
 "url": "http://data.gov.in/sites/default/files/ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls"
}
-----
"Year","Armed Police - DG/Addl.DG/IG/DIG","Armed Police - SSP/SP/Addl.SP/ASP/DY.SP","Armed Police - Inspectors/Sub-Inspectors and A.S.I","Armed Police - Officers below A.S.I","Armed Police - Total","Civil Police - DG/Addl.DG/IG/DIG","Civil Police - SSP/SP/Addl.SP/ASP/DY.SP","Civil Police - Inspectors/Sub-Inspectors and A.S.I","Civil Police - Officers below A.S.I","Civil Police - Total"
2001.0,70.0,1681.0,15721.0,268267.0,285739.0,970.0,8237.0,143940.0,912926.0,1030969.0
2002.0,66.0,1643.0,16227.0,275619.0,293555.0,1123.0,8259.0,140252.0,865782.0,1015416.0
2003.0,70.0,1681.0,15721.0,268267.0,285739.0,1027.0,8000.0,142563.0,874187.0,1025777.0
2004.0,59.0,1674.0,16615.0,275991.0,294339.0,996.0,7887.0,147773.0,886188.0,1042844.0
2005.0,66.0,1631.0,17674.0,276912.0,296283.0,1080.0,8514.0,151799.0,885182.0,1046575.0
2006.0,64.0,1687.0,19486.0,292885.0,314122.0,1091.0,8628.0,155170.0,927010.0,1091899.0
2007.0,72.0,1722.0,21686.0,305883.0,329363.0,1165.0,8712.0,151371.0,934570.0,1095818.0
2008.0,86.0,2123.0,21517.0,317667.0,341393.0,1168.0,8999.0,158529.0,963506.0,1132202.0
2009.0,108.0,1891.0,21524.0,318924.0,342447.0,1177.0,9913.0,163128.0,1040832.0,1215050.0
2010.0,77.0,2044.0,22527.0,332344.0,356992.0,1310.0,9753.0,166746.0,1045510.0,1223319.0
2011.0,73.0,2103.0,24605.0,352053.0,378834.0,1298.0,9671.0,177723.0,1092625.0,1281317.0
