" Year","Scheduled banks No. of banks Indian ('000 number)","Scheduled banks No. of banks Foreign ('000 number)","Scheduled banks No. of employees Indian ('000 number)","Scheduled banks No. of employees Foreign ('000 number)","Non-scheduled banks No. of banks  ('000 number)","Non-scheduled banks No. of employees ('000 number)","Regional Rural Banks No. of banks  ('000 number)","Regional Rural Banks No. of employees ('000 number)","Reserve Bank of India No. of employees ('000 number)","Grand Total No. of employees ('000 number)"
" 2000-01","58","42",848.0,13.0,"NA","NA",196.0,65.0,31.0,"NA"
" 2001-02","58","40",824.0,12.0,4.0,"NA",196.0,65.0,30.0,"NA"
" 2002-03","58","36",824.0,12.0,4.0,"NA",196.0,65.0,29.0,"NA"
" 2003-03","57","33",805.0,11.0,5.0,"NA",196.0,66.0,25.0,"NA"
" 2004-05","58","31",822.0,13.0,4.0,"NA",196.0,66.0,23.0,"NA"
" 2005-06","56","29",819.0,17.0,"NA","NA",133.0,64.0,22.0,"NA"
" 2006-07","53","29",817.0,19.0,4.0,"NA",96.0,64.0,22.0,"NA"
" 2007-08","51","28",757.0,18.0,4.0,"NA",90.0,64.0,21.0,"NA"
"2008-09","49","31",788.0,17.0,4.0,"NA",86.0,65.0,21.0,"NA"
"2009-10",49.0,32.0,840.0,21.0,4.0,"NA",82.0,65.0,20.0,"NA"
