"S.No.","Name of State Road Transport Undertaking (SRTU)","Total Revenue          ","Total Cost                     ","Staff Costs  ","Fuel & Lubricant Costs  (Rs.Lakhs)","Cost of Tyres & Tubes ","Cost of Spares","Interest ","Depreciation  ","Taxes","Other Cost"
1.0,"Ahmedabad M T Corpn. ",10890.58,23008.69,12119.92,3205.29,151.26,316.63,524.68,0.0,149.05,6541.86
2.0,"Andhra Pradesh SRTC#",521485.87,548366.97,236927.87,188518.34,13898.52,19886.9,14580.8,25014.79,32691.95,16847.8
3.0,"Assam State Transport Corpn.##",67.21,84.0,33.9,19.8,4.8,"NA",11.5,"NA",0.5,13.5
4.0,"B.E.S.T. Undertaking",111278.17,149416.42,78982.73,33726.12,1831.33,3175.86,7580.29,10031.69,5822.07,8266.33
5.0,"Bangalore Metropolitan TC",132934.51,127899.53,45986.74,50358.42,2757.06,2243.34,968.86,11506.68,6661.79,7416.64
6.0,"Bihar SRTC",2140.56,3865.15,1840.86,1343.63,118.5,104.85,7.85,"NA",82.94,366.52
7.0,"Calcutta STC",6541.41,25142.74,17769.53,4424.78,216.73,271.38,1029.32,800.0,0.0,631.0
8.0,"Chandigarh TU",11148.4,14905.84,6484.96,4046.55,298.22,486.38,72.11,784.23,1041.4,1691.99
9.0,"Delhi TC",98698.86,332379.62,97852.79,30657.47,914.11,3264.45,167888.12,15931.94,431.16,15439.58
10.0,"Gujarat SRTC",196804.31,212854.15,85273.6,71201.0,5280.27,3434.44,242.93,11308.78,27346.28,8766.85
11.0,"Haryana ST",85971.0,113704.0,54297.0,479.0,2360.0,2524.0,2800.0,3280.0,16044.0,31920.0
12.0,"Himachal RTC",48799.49,51106.4,24733.41,17498.14,"NA",4515.6,1148.1,1989.29,1221.86,"NA"
13.0,"J&K SRTC",4030.64,6909.81,3349.18,1825.6,171.38,128.61,270.94,400.54,532.19,231.37
14.0,"Kadamba TC Ltd.",8299.81,9870.88,5378.39,2604.48,243.3,180.95,535.49,394.85,150.26,383.16
15.0,"Karnataka SRTC",207868.28,201663.03,63281.65,78491.92,7706.87,7507.97,1904.17,19094.2,9756.12,13920.13
16.0,"Kerala SRTC",129410.0,167342.0,71536.0,55748.0,3956.0,4158.0,14593.0,6425.0,7780.0,3146.0
17.0,"Kolhapur MTU",3188.43,3423.3,1373.17,1306.67,105.47,65.83,0.0,145.63,30.87,395.66
18.0,"Maharashtra SRTC",497967.0,495038.0,181567.0,161445.0,12048.0,29800.0,1843.0,32918.0,75417.0,"NA"
19.0,"Meghalaya STC",822.04,1162.3,679.97,191.87,22.83,24.68,0.0,61.36,25.11,156.48
20.0,"Metro.TC (Chennai) Ltd.",91324.51,114308.52,51498.82,32090.73,2233.0,1723.5,5527.32,15500.0,973.17,4761.98
21.0,"Mizoram ST",231.12,1502.07,1249.83,125.67,40.27,86.3,"NA","NA","NA","NA"
22.0,"Navi Mumbai  MT",7495.96,8202.79,2952.13,2815.13,82.25,540.98,188.45,585.07,266.24,772.54
23.0,"North Bengal STC",6524.7,20429.72,12451.79,4718.4,150.14,194.82,1184.0,580.0,0.0,1150.57
24.0,"North Eastern Karnataka RTC",86438.15,87643.34,26806.61,35455.9,4239.77,2132.14,1866.88,7157.7,4257.97,5726.37
25.0,"North Western Karnataka RTC",103259.46,106303.86,35714.55,41303.29,4205.75,3845.68,2912.17,7692.38,4461.37,6168.67
26.0,"Pepsu RTC",28940.91,30286.49,10569.8,8115.58,592.88,494.8,1115.59,806.35,2899.37,5692.12
27.0,"Rajasthan SRTC",121742.21,141162.33,55425.53,43293.05,3224.98,1493.44,3964.98,9981.01,8973.28,14806.06
28.0,"South Bengal STC",13453.01,14377.49,6806.27,3772.26,253.56,645.23,1883.1,672.76,76.47,267.84
29.0,"State Exp.TC TN Ltd.",34413.87,47788.0,18743.27,16337.23,1235.81,588.56,3513.31,2420.17,733.3,4216.35
30.0,"Thane MTU",5678.86,6289.22,3232.83,1700.41,58.4,92.89,"NA","NA",378.27,826.42
31.0,"TN STC (Coimbatore)Ltd.",78751.86,105117.96,48287.28,36625.49,2936.38,1368.17,3363.6,5421.73,3353.22,3762.09
32.0,"TN STC (Kumbakonam)Ltd.",97530.55,119678.88,52597.82,44009.96,3945.63,1870.4,3124.42,4954.99,4014.52,5161.14
33.0,"TN STC (Madurai)Ltd.",68967.49,84410.68,36994.89,28285.96,2373.96,1024.41,3478.96,6244.76,2188.22,3819.52
34.0,"TN STC (Salem)Ltd.",56608.3,71366.96,31152.75,26634.71,2096.79,877.79,2177.47,2686.97,2383.58,3356.9
35.0,"TN STC (Villupuram) Ltd.",99953.69,116750.8,50234.94,43549.01,3428.05,2539.47,1965.59,5102.55,3970.47,5960.72
36.0,"Tripura RTC",1870.0,2990.0,1540.0,158.0,40.0,48.0,1050.0,64.0,"NA",90.0
37.0,"Uttar Pradesh SRTC",202806.47,207652.16,68271.0,66216.0,4579.0,5458.0,3185.0,12878.0,24185.17,22879.99
"Total","All India",3184337.69,3774404.1,1503998.78,1142298.86,87801.27,107114.45,256502.0,222835.42,248299.17,205554.15
