"No.","Components","2007-08","2008-09","2009-10","2010-11","2011-12","Average Eleventh Plan","2012-13","2013-14","2014-15","2015-16","2016-17","Average Twelfth Plan"
1.0,"Merchandise Exports",13.2,14.9,13.1,14.7,16.3,14.4,15.7,16.0,16.1,16.0,15.9,16.0
2.0,"Merchandise Imports",20.3,24.4,21.1,21.6,26.1,22.7,26.5,25.8,25.1,24.5,24.0,25.2
3.0,"Merchandise Trade Deficit",-7.1,"–9.5","–8.0","–6.9","–9.9","–8.3","–10.8","–9.7","–9.0","–8.5","–8.1","–9.2"
4.0,"Net Service export",3.1,4.4,2.6,2.6,3.4,3.2,3.5,3.5,3.5,3.4,3.4,3.5
5.0,"Merchandise. Exports (X) + Imports (M)",33.4,39.3,34.1,36.3,42.4,37.1,42.2,41.8,41.2,40.5,39.9,41.1
6.0,"Total of X, M and Net Services Export",36.6,43.8,36.7,38.8,45.8,40.3,45.7,45.3,44.7,43.9,43.3,44.6
7.0,"Private remittances",3.4,3.6,3.8,3.1,3.4,3.5,3.6,3.6,3.5,3.4,3.4,3.4
8.0,"Net Investment Income",-0.4,"–0.5","–0.4","–0.9","–0.9","–0.6","–1.2","–1.1","–1.1","–1.1","–1.0","–1.1"
9.0,"Current Account Balance",-1.3,-2.3,-2.8,-2.8,-4.2,-2.7,-4.8,-3.8,-3.0,-2.8,-2.5,-3.4
10.0,"FDI Net",1.3,2.1,1.4,0.4,1.2,1.3,1.4,1.4,1.3,1.1,1.0,1.3
11.0,"FDI Inward",2.8,4.2,2.4,1.4,1.8,2.5,2.0,1.9,1.8,1.7,1.6,1.8
12.0,"FDI Outward",1.5,2.1,1.0,0.9,0.6,1.2,0.5,0.5,0.5,0.5,0.6,0.5
13.0,"Portfolio equity",2.4,"–1.7",2.4,1.8,0.9,1.2,1.3,1.2,0.9,0.6,0.5,0.9
14.0,"Loans",3.4,0.5,1.0,1.6,1.0,1.5,1.3,1.3,1.1,0.9,0.8,1.1
15.0,"Banking ",0.9,"–0.4",0.1,0.3,0.9,0.4,1.3,1.1,0.9,0.7,0.5,0.9
16.0,"Other",0.7,0.5,"–1.0","–0.6","–0.4","–0.1","–0.3","–0.2","–0.2","–0.1","–0.1","–0.2"
17.0,"Capital Account Balance",8.7,1.0,3.9,3.6,3.7,4.2,4.9,4.8,3.9,3.2,2.7,3.9
