-----
{
 "description": "Data provides details on registration of new non government companies limited by shares during 2011-12 (region / state-wise distribution). This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been...", 
 "file_name": "Registration_of_New_Non-Govt_Companies_Ltd_by_Shares_During_2011-12_Region_State_Wise.xls", 
 "title": "Registration of New Non-Government Companies Limited By Shares During 2011-12 - Region / State-wise Distribution ", 
 "url": "http://data.gov.in/sites/default/files/Registration_of_New_Non-Govt_Companies_Ltd_by_Shares_During_2011-12_Region_State_Wise.xls"
}
-----
"Region","State","No. of Companies - Public","No. of Companies - Private","No. of Companies - Total","Authorised Capital - Public","Authorised Capital - Private","Authorised Capital - Total"
"NORTHERN REGION","HARYANA",52.0,2811.0,2863.0,154.76,1177.55,1332.31
"NORTHERN REGION","HIMACHAL PRADESH",8.0,283.0,291.0,32.46,35.95,68.41
"NORTHERN REGION","JAMMU & KASHMIR",2.0,221.0,223.0,0.02,34.53,34.55
"NORTHERN REGION","PUNJAB",82.0,1091.0,1173.0,43.1,185.73,228.83
"NORTHERN REGION","RAJASTHAN",83.0,3596.0,3679.0,169.78,391.71,561.49
"NORTHERN REGION","UTTAR PRADESH",215.0,5170.0,5385.0,225.88,650.43,876.31
"NORTHERN REGION","UTTRAKHAND",6.0,443.0,449.0,7.16,47.61,54.77
"NORTHERN REGION","CHANDIGARH",28.0,792.0,820.0,8.06,56.81,64.87
"NORTHERN REGION","DELHI",395.0,16311.0,16706.0,1115.05,4259.58,5374.63
"EASTERN REGION","ARUNACHAL PRADESH",0.0,33.0,33.0,0.0,12.88,12.88
"EASTERN REGION","ASSAM",40.0,478.0,518.0,6.88,102.54,109.42
"EASTERN REGION","BIHAR",55.0,1547.0,1602.0,44.04,206.01,250.05
"EASTERN REGION","JHARKHAND",36.0,676.0,712.0,27.82,127.33,155.15
"EASTERN REGION","MANIPUR",0.0,28.0,28.0,0.0,12.33,12.33
"EASTERN REGION","MEGHALAYA",3.0,22.0,25.0,0.04,4.79,4.83
"EASTERN REGION","MIZORAM",2.0,5.0,7.0,25.12,1.55,26.67
"EASTERN REGION","NAGALAND",2.0,26.0,28.0,0.16,7.12,7.28
"EASTERN REGION","ORISSA",202.0,1550.0,1752.0,117.99,333.51,451.5
"EASTERN REGION","TRIPURA",6.0,20.0,26.0,5.66,2.8,8.46
"EASTERN REGION","WEST BENGAL",1115.0,16477.0,17592.0,758.58,1826.21,2584.79
"WESTERN REGION","CHHATISGARH",25.0,590.0,615.0,5.36,112.5,117.86
"WESTERN REGION","GUJARAT",128.0,4672.0,4800.0,126.42,1565.69,1692.11
"WESTERN REGION","MADHYA PRADESH",143.0,2239.0,2382.0,41.27,231.33,272.6
"WESTERN REGION","MAHARASHTRA",404.0,16217.0,16621.0,2083.66,6371.26,8454.92
"WESTERN REGION","DADRA & N HAVELI",2.0,22.0,24.0,2.06,2.74,4.8
"WESTERN REGION","DAMAN & DIU",1.0,7.0,8.0,1.01,18.83,19.84
"WESTERN REGION","GOA",2.0,262.0,264.0,0.18,101.61,101.79
"SOUTHERN REGION","A & N ISLAND",0.0,18.0,18.0,0.0,3.36,3.36
"SOUTHERN REGION","ANDHRA PRADESH",156.0,6208.0,6364.0,161.06,1120.18,1281.24
"SOUTHERN REGION","KARNATAKA",62.0,5247.0,5309.0,327.41,1374.94,1702.35
"SOUTHERN REGION","KERALA",59.0,2755.0,2814.0,64.09,559.87,623.96
"SOUTHERN REGION","TAMIL NADU",125.0,6211.0,6336.0,402.69,2102.3,2504.99
"SOUTHERN REGION","PUDUCHERRY",1.0,119.0,120.0,0.01,69.41,69.42
"SOUTHERN REGION","LAKSHDWEEP",0.0,0.0,0.0,0.0,0.0,0.0
"Grand Total","Grand Total",3440.0,96147.0,99587.0,5957.78,23110.99,29068.77
