-----
{
 "description": "This table consists of Industry-wise and year-wise offtakes of natural gas during 2004-05 to 2011-12 in India.", 
 "file_name": "Industry-wise_Offtakes_of_Natural_Gas_in_India_2004-12.xls", 
 "title": "Industry-wise Offtakes of Natural Gas in India: 2004-12 ", 
 "url": "http://data.gov.in/sites/default/files/Industry-wise_Offtakes_of_Natural_Gas_in_India_2004-12.xls"
}
-----
"Energy/Non-Energy","Industry","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*"
"Energy Purposes","Power Generation",12099.0,11878.0,11963.0,12037.0,12603.0,21365.0,27415.0,20333.0
"Energy Purposes","Industrial Fuel",3569.0,3780.0,3205.0,3323.0,5912.0,2322.0,2317.0,1618.0
"Energy Purposes","Tea Plantation",142.0,151.0,170.0,160.0,154.0,167.0,193.0,175.0
"Energy Purposes","Domestic Fuel",343.0,75.0,443.0,38.0,102.0,246.0,29.0,2845.0
"Energy Purposes","Captive Use / LPG Shrinkages",4944.0,5048.0,5034.0,1804.0,1885.0,5433.0,4543.0,784.0
"Energy Purposes","Others",231.0,1120.0,40.0,1324.0,1535.0,1838.0,1222.0,934.0
"Non-Energy Purposes","Fertilisers",8173.0,7762.0,8497.0,9823.0,9082.0,13168.0,13429.0,11330.0
"Non-Energy Purposes","Petro-Chemicals",1236.0,1175.0,1377.0,1432.0,1105.0,1264.0,1183.0,1299.0
"Non-Energy Purposes","Others",38.0,36.0,639.0,638.0,611.0,703.0,1098.0,6587.0
"Grand Total","Grand Total",30775.0,31025.0,31368.0,30579.0,32989.0,46506.0,51429.0,45905.0
