-----
{
 "description": "This table give All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of various Horticulture Crops such as Fruits, Vegetables, Flowers, Nuts, Aroma & Medi., Plantation Crops, Spices, Mushroom and Honey.", 
 "file_name": "AREA_AND_PRODUCTION_OF_VARIOUS_HORTICULTURE_CROPS.xls", 
 "title": "All India and State Wise Area and Production of various Horticulture Crops ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_VARIOUS_HORTICULTURE_CROPS.xls"
}
-----
"State/Union Territory","Fruits 2009-10 Area (in '000 Hectare)","Fruits 2010-11 Area (in '000 Hectare)","Fruits 2009-10 Production (in '000 Tonne)","Fruits 2010-11 Production (in '000 Tonne)","Vegetables 2009-10 Area (in '000 Hectare)","Vegetables 2010-11 Area (in '000 Hectare)","Vegetables 2009-10 Production (in '000 Tonne)","Vegetables 2010-11 Production (in '000 Tonne)","Flowers 2009-10 Area (in '000 Hectare)","Flowers 2010-11 Area (in '000 Hectare)","Flowers 2009-10 Production (in '000 Tonne)","Flowers 2010-11 Production (in '000 Tonne)","Nuts 2009-10 Area (in '000 Hectare)","Nuts 2010-11 Area (in '000 Hectare)","Nuts 2009-10 Production (in '000 Tonne)","Nuts 2010-11 Production (in '000 Tonne)","Aroma & Medi. 2009-10 Area (in '000 Hectare)","Aroma & Medi. 2010-11 Area (in '000 Hectare)","Aroma & Medi. 2009-10 Production (in '000 Tonne)","Aroma & Medi. 2010-11 Production (in '000 Tonne)","Plantation Crops 2009-10 Area (in '000 Hectare)","Plantation Crops 2010-11 Area (in '000 Hectare)","Plantation Crops 2009-10 Production (in '000 Tonne)","Plantation Crops 2010-11 Production (in '000 Tonne)","Spices 2009-10 Area (in '000 Hectare)","Spices 2010-11 Area (in '000 Hectare)","Spices 2009-10 Production (in '000 Tonne)","Spices 2010-11 Production (in '000 Tonne)","Mushroom 2009-10 Production (in '000 Tonne)","Mushroom 2010-11 Production (in '000 Tonne)","Mushroom 2009-10 Production (in '000 Tonne)","Mushroom 2010-11 Production (in '000 Tonne)","Grand Total 2009-10 Area (in '000 Hectare)","Grand Total 2010-11 Area (in '000 Hectare)","Grand Total 2009-10 Production (in '000 Tonne)","Grand Total 2010-11 Production (in '000 Tonne)"
" Andhra Pradesh",921.1,646.1,12918.3,9417.0,331.3,651.2,5426.2,11847.6,21.4,21.8,130.3,133.7,"NA","NA","NA","NA",20.3,20.3,79.9,79.9,304.3,304.8,768.9,777.2,312.5,289.2,1159.7,1069.2,"NA","NA","NA","NA",1910.9,"NA",20483.3,"NA"
" Arunachal Pradesh",72.0,72.0,107.9,107.9,4.2,4.2,38.5,38.5,1.22,1.2,"NA","NA",4.8,"NA",0.6,"NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,7.6,10.1,43.3,61.6,"NA","NA","NA","NA",89.82,87.5,190.3,208.0
" Assam",117.3,137.5,1575.5,1763.5,255.2,260.1,4569.9,2925.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,88.8,88.8,163.7,163.7,27.4,89.2,18.6,222.1,"NA","NA","NA","NA",488.7,575.6,6327.7,5074.8
" Bihar",293.6,296.4,3464.9,3911.8,836.0,845.0,13906.8,14630.2,0.2,0.2,2.3,2.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,11.3,13.0,12.4,12.5,"NA","NA","NA","NA",1141.1,1154.6,17386.4,18556.8
" Chhattisgarh",125.3,177.0,1185.9,1569.6,315.4,345.8,3601.1,4248.8,4.09,6.9,13.5,27.1,"NA","NA","NA","NA",11.2,11.2,64.5,64.5,33.0,33.7,17.0,25.3,11.6,11.7,7.2,8.3,"NA","NA","NA","NA",500.59,586.3,4889.2,5943.6
" Goa",11.0,11.0,78.4,78.6,5.7,5.7,57.8,57.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",82.5,83.5,116.8,114.8,0.7,0.7,0.2,0.2,"NA","NA","NA","NA",99.9,100.9,253.2,251.4
" Gujarat",352.9,349.9,6985.1,7245.0,406.8,515.9,7255.5,9379.5,12.53,12.5,49.5,49.5,"NA","NA","NA","NA","NA","NA","NA","NA",16.0,23.1,108.0,129.3,266.3,479.4,400.9,792.6,"NA","NA","NA","NA",1054.53,1380.8,14799.0,17595.9
" Haryana",41.5,46.3,303.9,356.6,300.9,346.4,3987.0,4649.3,6.2,6.2,60.3,60.3,"NA","NA","NA","NA",1.0,1.0,2.8,0.6,"NA",0.0,"NA",0.0,5.2,15.1,24.5,77.9,8.1,8.1,"NA","NA",354.8,415.0,4386.6,5152.8
" Himachal Pradesh",208.4,214.8,382.7,1031.1,79.8,80.4,1390.7,1474.9,0.68,0.7,0.6,0.6,11.0,"NA",3.3,"NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,4.4,6.6,18.6,19.6,7.4,7.4,"NA","NA",304.28,302.5,1803.3,2533.6
" Jammu & Kashmir",209.8,325.6,1534.7,2220.5,69.8,69.7,1374.2,1559.1,0.13,0.1,0.2,0.2,106.8,"NA",168.4,"NA","NA","NA","NA","NA","NA",0.0,"NA",0.0,3.9,3.9,0.9,0.9,0.5,0.5,"NA","NA",390.43,399.3,3078.9,3781.2
