"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton#","Jute","Mesta","Tea","Coffee P","Natural Rubber P"," Banana","Sugar cane","Tobacco"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2010-11",42863.2,7382.3,9612.4,8552.6,1286.1,892.7,29069.0,704.8,100363.1,9186.1,4366.7,12853.8,26407.6,126770.7,5856.0,2082.1,6900.7,359.0,879.9,27224.0,11235.0,774.3,99.4,"NA",400.0,477.0,830.0,4885.2,493.0,1863.2,184.16,792.1,148.83,1896.2,195.03
"Andhra Pradesh",4751.0,254.0,67.0,744.0,42.0,30.0,10.0,"NA",5898.0,584.0,639.0,909.0,2132.0,8030.0,1622.0,125.0,7.0,1.0,188.0,2319.0,1879.0,"NA",25.0,"NA","NA","NA",79.0,192.0,157.0,5.0,"NA",182.0,2.0,104.0,72.0
" Arunachal Pradesh",121.5,"NA","NA",45.0,"NA",22.0,4.0,"NA",191.5,"NA",0.6,8.3,8.9,201.4,0.5,1.1,27.0,"NA","NA",32.0,"NA","NA","NA","NA","NA","NA",5.0,1.5,"NA",4.0,"NA",3.0,7.0,"NA",0.5
" Assam#",2570.0,"NA","NA",19.5,"NA",5.0,45.0,"NA",2639.5,1.8,7.0,117.2,126.0,2765.5,"NA",12.0,240.0,7.0,1.2,267.0,"NA",62.0,5.0,"NA","NA","NA",48.0,30.0,1.0,86.6,4.0,18.0,17.0,18.8,15.0
" Bihar",2833.0,3.0,5.0,646.0,9.0,5.0,2104.0,20.0,5624.0,51.0,26.0,535.0,612.0,6236.0,"NA",3.0,87.0,23.0,"NA",130.0,"NA",128.0,16.8,"NA","NA","NA",32.0,248.0,11.0,313.6,"NA",3.0,1.0,"NA",3.0
"Chhattisgarh#",3703.0,6.0,"NA",103.0,9.0,160.0,111.0,3.1,4094.1,252.2,55.0,553.8,861.0,4955.1,28.9,20.4,52.0,38.0,"NA",317.0,"NA","NA",2.0,"NA","NA","NA",15.0,8.0,"NA",36.0,"NA",6.0,1.0,1.0,0.7
" Goa",47.1,"NA","NA","NA","NA",93.0,"NA","NA",140.1,"NA","NA",7.9,7.9,148.0,2.9,"NA","NA","NA","NA",2.9,"NA","NA","NA","NA","NA","NA",2.0,0.9,"NA","NA",0.65,"NA","NA",25.6,"NA"
" Gujarat",808.0,125.0,873.0,501.0,20.0,34.0,1274.0,"NA",3635.0,176.0,277.0,437.0,890.0,4525.0,1806.0,289.0,223.0,"NA",491.0,2893.0,2633.0,"NA","NA","NA","NA","NA",65.0,190.0,148.0,65.0,"NA",39.0,4.0,16.0,2.0
" Haryana",1245.0,72.0,661.0,10.0,"NA","NA",2515.0,37.0,4540.0,112.0,25.0,39.0,176.0,4716.0,2.0,3.0,504.0,"NA",1.0,520.0,492.0,"NA","NA","NA","NA","NA","NA",85.0,"NA",27.0,"NA",0.7,0.7,"NA",2.0
" Himachal Pradesh#",76.7,"NA","NA",297.0,2.0,6.0,357.0,22.0,760.7,0.7,"NA",33.3,34.0,794.7,1.0,2.9,8.7,1.0,"NA",15.0,"NA","NA","NA","NA","NA","NA","NA",2.2,"NA",15.0,"NA",1.0,2.0,"NA","NA"
