-----
{
 "description": "This data provides details on crime statistics on property stolen and recovered cases from 2001 to 2011. Details of property stolen and recovered are provided under different categories of crime such as dacoity, robbery, burglary, theft, criminal breach of trust, and other offenses.", 
 "file_name": "PROPERTY_STOLEN_AND_RECOVERED_CASES_0.xls", 
 "title": "Crime Statistics On Property Stolen And Recovered Cases From 2001 To 2011 ", 
 "url": "http://data.gov.in/sites/default/files/PROPERTY_STOLEN_AND_RECOVERED_CASES_0.xls"
}
-----
"Year","Dacoity - Stolen","Dacoity - Recovered","Robbery - Stolen","Robbery - Recovered","Burglary - Stolen","Burglary - Recovered","Theft - Stolen","Theft - Recovered","Criminal breach of trust - Stolen","Criminal breach of trust - Recovered","Other offences - Stolen","Other offences - Recovered","Total - Stolen","Total - Recovered"
2001.0,5656.0,2159.0,18605.0,8059.0,97191.0,27732.0,246005.0,87406.0,10415.0,3785.0,17546.0,7280.0,395418.0,136421.0
2002.0,5792.0,2270.0,17914.0,8051.0,92880.0,28028.0,241162.0,89859.0,9381.0,3511.0,20022.0,8932.0,387151.0,140651.0
2003.0,5135.0,1894.0,16722.0,7474.0,89730.0,27380.0,238966.0,90366.0,9195.0,3728.0,18030.0,9059.0,394682.0,138143.0
2004.0,5072.0,1869.0,17513.0,7745.0,89206.0,27752.0,266554.0,97798.0,9552.0,3378.0,18299.0,8837.0,406196.0,147379.0
2005.0,5007.0,1921.0,16950.0,8278.0,87412.0,28310.0,263595.0,103049.0,9439.0,3794.0,17386.0,8464.0,399789.0,153816.0
2006.0,4599.0,1876.0,17723.0,8829.0,88317.0,28084.0,268714.0,101023.0,9758.0,4012.0,17536.0,9214.0,406647.0,153038.0
2007.0,4180.0,1886.0,18059.0,9341.0,88366.0,29554.0,278455.0,104039.0,11190.0,4678.0,28300.0,8797.0,428550.0,158295.0
2008.0,4251.0,2080.0,19522.0,10228.0,90707.0,29584.0,308149.0,106480.0,11837.0,4838.0,22029.0,8314.0,456495.0,161524.0
2009.0,4332.0,2033.0,21503.0,11080.0,89368.0,28039.0,307620.0,100774.0,11347.0,4303.0,21772.0,9169.0,455942.0,155398.0
2010.0,4154.0,2109.0,22614.0,12019.0,87595.0,29341.0,323721.0,104948.0,11050.0,4124.0,23994.0,10714.0,473128.0,163255.0
2011.0,4111.0,2154.0,23887.0,12577.0,90122.0,29151.0,335049.0,108130.0,11892.0,3926.0,26101.0,10982.0,491162.0,166920.0
