-----
{
 "description": "Data provides all India (from 2001 to 2011) and state/UT-wise (2010 and 2011) details of companies (public and private) newly created by industrial activity (number and authorised capital) as on 31st March.", 
 "file_name": "COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls", 
 "title": "Companies Newly Registered By Industrial Activity - Number And Authorised Capital As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls"
}
-----
"State/U.T.","Classification","Public - No.","Public - Authorised Capital","Private - No. ","Private - Authorised Capital","Total - No.","Total - Authorised Capital"
"Andhra Pradesh","Agriculture and Allied Activities",13.0,18.5,299.0,82.76,312.0,101.26
"Arunachal Pradesh","Agriculture and Allied Activities","NA","NA",3.0,0.3,3.0,0.3
"Assam","Agriculture and Allied Activities",6.0,0.65,19.0,2.03,25.0,2.68
"Bihar","Agriculture and Allied Activities",3.0,0.25,45.0,7.59,48.0,7.84
"Chhatisgarh","Agriculture and Allied Activities","NA","NA",28.0,1.4,28.0,1.4
"Goa","Agriculture and Allied Activities","NA","NA",4.0,0.41,4.0,0.41
"Gujarat","Agriculture and Allied Activities",5.0,3.4,121.0,9.04,126.0,12.44
"Haryana","Agriculture and Allied Activities",4.0,1.4,65.0,25.98,69.0,27.38
"Himachal Pradesh","Agriculture and Allied Activities","NA","NA",6.0,0.24,6.0,0.24
"Jammu & Kashmir","Agriculture and Allied Activities","NA","NA",2.0,2.02,2.0,2.02
"Jharkhand","Agriculture and Allied Activities",4.0,4.3,10.0,1.46,14.0,5.76
"Karnataka","Agriculture and Allied Activities",2.0,0.6,94.0,55.62,96.0,56.22
"Kerala","Agriculture and Allied Activities",7.0,11.05,67.0,29.88,74.0,40.93
"Madhya Pradesh","Agriculture and Allied Activities",6.0,0.3,73.0,7.89,79.0,8.19
"Maharashtra ","Agriculture and Allied Activities",28.0,15.87,426.0,58.29,454.0,74.16
"Manipur","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Meghalaya","Agriculture and Allied Activities",2.0,5.05,2.0,0.15,4.0,5.2
"Mizoram","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Nagaland","Agriculture and Allied Activities","NA","NA",6.0,2.45,6.0,2.45
"Orissa","Agriculture and Allied Activities",13.0,4.4,50.0,7.05,63.0,11.45
"Punjab","Agriculture and Allied Activities",3.0,1.25,34.0,2.71,37.0,3.96
"Rajasthan","Agriculture and Allied Activities",6.0,2.9,64.0,2.21,70.0,5.11
"Sikkim","Agriculture and Allied Activities","NA","NA","NA",0.0,"NA","NA"
"Tamil Nadu","Agriculture and Allied Activities",22.0,18.7,143.0,15.88,165.0,34.58
"Tripura","Agriculture and Allied Activities","NA","NA",1.0,0.1,1.0,0.1
"Uttar Pradesh","Agriculture and Allied Activities",6.0,2.3,90.0,13.9,96.0,16.2
"Uttrakhand","Agriculture and Allied Activities",2.0,0.1,6.0,0.72,8.0,0.82
"West Bengal","Agriculture and Allied Activities",103.0,72.5,210.0,58.39,313.0,130.89
"A. & N. Islands","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Chandigarh","Agriculture and Allied Activities",1.0,0.05,4.0,0.08,5.0,0.13
"D. & N. Haveli","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
"Delhi","Agriculture and Allied Activities",14.0,7.74,136.0,18.49,150.0,26.23
"Daman & Diu","Agriculture and Allied Activities","NA","NA","NA","NA","NA","NA"
