-----
{
 "description": "This table shows state-wise data on renewable energy systems such as biogas plants, biomass gasifiers, solar photovolatic systems, SVP pumps, water pumping wind mills, solar cookers in rural and industrial areas.", 
 "file_name": "Decentralised_Off-grid_Renewable_Energy_Systems_Devices.xls", 
 "title": "Decentralised / Off-grid Renewable Energy Systems / Devices ", 
 "url": "http://data.gov.in/sites/default/files/Decentralised_Off-grid_Renewable_Energy_Systems_Devices.xls"
}
-----
"STATES / UT","Biogas Plants  31.03.2010 (Nos.)","Biogas Plants  31.03.2011 (Nos.)","Biomass Gasifiers (rural) 31.03.2010 (kW)","Biomass Gasifiers (rural) 31.03.2011 (kW)","Biomass Gasifiers (industrial) 31.03.2010 (kW)","Biomass Gasifiers (industrial) 31.03.2011 (kW)","Waste to Energy  31.03.2010 (MW)","Waste to Energy  31.03.2011 (MW)","Solar Photovoltaic (SPV) Systems   SLS 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   SLS 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   HLS 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   HLS 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   SL 31.03.2010 (Nos.)","Solar Photovoltaic (SPV) Systems   SL 31.03.2011 (Nos.)","Solar Photovoltaic (SPV) Systems   PP 31.03.2010 (kWp)","Solar Photovoltaic (SPV) Systems   PP 31.03.2011 (kWp)","SPV Pumps  31.03.2010 (Nos)","SPV Pumps  31.03.2011 (Nos)","Waterpumping Windmills  31.03.2010 (Nos)","Waterpumping Windmills  31.03.2011 (Nos)","Aerogen/hybrid systems  31.03.2010 (kW)","Aerogen/hybrid systems  31.03.2011 (kW)","Solar Cooker  31.03.2010 (Nos)","Solar Cooker  31.03.2011 (Nos)","Remote Village Electrificatgion Village 31.03.2010 (Nos)","Remote Village Electrificatgion Village 31.03.2011 (Nos)","Remote Village Electrificatgion Hamlet 31.03.2010 (Nos)","Remote Village Electrificatgion Hamlet 31.03.2011 (Nos)"
"Andhra Pradesh",457938.0,474213.0,"NULL","NULL",16681.0,18114.0,4.95,6.55,35799.0,4186.0,1957.0,1958.0,3914.0,38215.0,213.3,493.04,613.0,613.0,6.0,6.0,16.0,16.0,13395.0,13395.0,"NULL",297.0,"NULL","NULL"
"Arunachal Pradesh",2957.0,3132.0,1800.0,1800.0,"NULL","NULL","NULL","NULL",13937.0,1071.0,7120.0,10178.0,1071.0,13937.0,17.1,17.1,15.0,15.0,"NULL","NULL",6.8,6.8,530.0,530.0,246.0,"NULL","NULL",13.0
"Assam",81592.0,88324.0,"NULL","NULL","NULL",733.0,"NULL","NULL",1211.0,98.0,5870.0,5870.0,98.0,1211.0,7.5,10.0,45.0,45.0,3.0,3.0,6.0,6.0,80.0,80.0,866.0,1688.0,"NULL","NULL"
"Bihar ",125888.0,126238.0,1650.0,3186.0,3440.0,4464.0,"NULL","NULL",50117.0,955.0,3170.0,3350.0,690.0,50117.0,"NULL",0.0,139.0,139.0,46.0,46.0,"NULL","NULL",475.0,475.0,"NULL",568.0,"NULL","NULL"
"Chhatisgarh",32050.0,36737.0,500.0,500.0,1210.0,1210.0,"NULL","NULL",3192.0,1923.0,7211.0,7233.0,1889.0,3192.0,99.72,1948.0,166.0,222.0,1.0,1.0,"NULL","NULL",37464.0,37464.0,399.0,"NULL","NULL","NULL"
"Goa",3893.0,3911.0,"NULL","NULL","NULL","NULL","NULL","NULL",1027.0,619.0,362.0,362.0,463.0,1065.0,1.72,1.72,15.0,15.0,"NULL","NULL",164.0,164.0,1500.0,1500.0,"NULL","NULL","NULL","NULL"
"Gujarat",411950.0,418055.0,810.0,810.0,19420.0,19420.0,8.4,10.79,31603.0,2004.0,9231.0,9231.0,2004.0,31603.0,100.5,336.0,85.0,85.0,879.0,879.0,10.0,10.0,170675.0,170675.0,38.0,38.0,"NULL","NULL"
"Haryana",54083.0,55462.0,300.0,300.0,1963.0,1963.0,"NULL",4.0,71646.0,20074.0,28213.0,49418.0,9878.0,73116.0,434.4,676.05,469.0,469.0,"NULL","NULL",10.0,10.0,27115.0,27115.0,"NULL","NULL",286.0,286.0
"Himachal Pradesh",45716.0,46161.0,"NULL","NULL","NULL","NULL","NULL","NULL",22970.0,4072.0,16840.0,16848.0,2994.0,22970.0,1.5,1.5,6.0,6.0,"NULL","NULL","NULL","NULL",28837.0,28837.0,1.0,21.0,"NULL","NULL"
"Jammu & Kashmir",2489.0,2603.0,"NULL","NULL","NULL",200.0,"NULL","NULL",28672.0,5596.0,23083.0,23083.0,5596.0,28672.0,175.6,225.0,39.0,39.0,"NULL","NULL","NULL","NULL",868.0,868.0,167.0,160.0,"NULL","NULL"
"Jharkhand",4933.0,5846.0,180.0,180.0,250.0,500.0,"NULL","NULL",16374.0,620.0,4314.0,6876.0,620.0,16374.0,"NULL",20.0,"NULL","NULL","NULL","NULL","NULL","NULL",280.0,280.0,449.0,449.0,"NULL","NULL"
"Karnataka",418759.0,433223.0,1157.0,1157.0,6297.0,6297.0,3.0,3.0,7334.0,2694.0,28128.0,36134.0,2271.0,7334.0,29.41,225.41,551.0,551.0,28.0,28.0,39.15,39.15,253.0,253.0,16.0,16.0,14.0,14.0
"Kerala",126463.0,130404.0,"NULL","NULL","NULL","NULL","NULL","NULL",41181.0,1090.0,32326.0,32326.0,1090.0,41181.0,44.7,47.7,810.0,810.0,79.0,79.0,8.0,8.0,236.0,236.0,"NULL","NULL",558.0,607.0
"Madhya Pradesh ",295580.0,31946.0,211.0,211.0,7537.0,7897.0,0.1,0.11,9444.0,6138.0,2651.0,2651.0,6054.0,9444.0,22.4,45.0,87.0,87.0,"NULL","NULL","NULL","NULL",141618.0,141618.0,188.0,381.0,"NULL","NULL"
"Maharashtra",780527.0,802189.0,"NULL","NULL",6950.0,7150.0,5.11,6.81,68683.0,8420.0,1972.0,2431.0,5471.0,8683.0,6.44,850.0,228.0,228.0,26.0,26.0,607.7,607.7,58044.0,58044.0,347.0,338.0,"NULL","NULL"
"Manipur",2128.0,2128.0,"NULL","NULL","NULL","NULL","NULL","NULL",3883.0,928.0,2850.0,3865.0,370.0,4787.0,28.0,28.0,12.0,40.0,"NULL","NULL",70.0,70.0,365.0,365.0,191.0,191.0,"NULL","NULL"
"Meghalaya",6661.0,79236.0,"NULL","NULL",250.0,250.0,"NULL","NULL",24875.0,1273.0,7840.0,7840.0,1273.0,24875.0,50.5,50.5,19.0,19.0,"NULL","NULL",5.0,5.0,1165.0,1165.0,97.0,97.0,"NULL","NULL"
"Mizoram",3820.0,3920.0,200.0,200.0,"NULL","NULL","NULL","NULL",5812.0,431.0,3045.0,5395.0,431.0,8331.0,109.0,109.0,37.0,37.0,"NULL","NULL","NULL","NULL",110.0,110.0,20.0,20.0,"NULL","NULL"
"Nagaland",4153.0,5407.0,1480.0,1480.0,"NULL","NULL","NULL","NULL",6317.0,271.0,720.0,720.0,271.0,6317.0,6.0,6.0,3.0,3.0,"NULL","NULL","NULL","NULL","NULL","NULL",3.0,11.0,"NULL","NULL"
"Orissa",239818.0,246086.0,"NULL","NULL",270.0,270.0,0.02,0.02,9882.0,5834.0,5156.0,5156.0,5819.0,9882.0,74.515,84.515,56.0,56.0,"NULL","NULL","NULL","NULL",3437.0,3437.0,223.0,602.0,"NULL","NULL"
"Punjab",105289.0,128989.0,"NULL","NULL","NULL","NULL",1.58,1.81,17495.0,5354.0,8620.0,8620.0,4337.0,17495.0,121.0,121.0,1850.0,1857.0,"NULL","NULL",30.0,30.0,22050.0,22050.0,"NULL","NULL","NULL","NULL"
"Rajasthan",67348.0,67623.0,33.0,33.0,2071.0,2071.0,"NULL",3.0,4716.0,6852.0,67305.0,91754.0,6632.0,4716.0,25.8,990.0,283.0,283.0,222.0,222.0,14.0,14.0,36682.0,36682.0,315.0,292.0,"NULL","NULL"
"Sikkim",7333.0,7691.0,"NULL","NULL","NULL","NULL","NULL","NULL",2470.0,212.0,3890.0,4640.0,212.0,5200.0,14.7,17.73,"NULL","NULL","NULL","NULL",16.0,16.0,20.0,20.0,"NULL","NULL",13.0,13.0
"Tamil Nadu",216516.0,218009.0,2586.0,2597.0,6180.0,7730.0,4.73,6.14,16818.0,6350.0,1557.0,7536.0,5885.0,16816.0,39.5,67.73,829.0,829.0,60.0,60.0,25.0,25.0,1536.0,1536.0,"NULL","NULL",101.0,101.0
"Tripura",2793.0,2882.0,1000.0,1000.0,"NULL","NULL","NULL","NULL",42360.0,1199.0,26066.0,26066.0,773.0,42360.0,24.57,25.57,25.0,151.0,"NULL","NULL",2.0,2.0,80.0,80.0,60.0,60.0,400.0,715.0
"Uttar Pradesh",422269.0,427018.0,80.0,80.0,18730.0,20260.0,17.31,24.91,51683.0,89160.0,92124.0,132203.0,4117.0,16123.0,129.2,1311.0,751.0,573.0,"NULL","NULL","NULL","NULL",50494.0,50494.0,79.0,98.0,"NULL",86.0
