-----
{
 "description": "The table shows details of number of new species identified from different surveys of different states.", 
 "file_name": "TABLE_6.xls", 
 "title": "State-wise Status of new Specifies identified from new different surveys. ", 
 "url": "http://data.gov.in/sites/default/files/TABLE_6.xls"
}
-----
"States/UT's","Protozoa","Rotifera","Nematoda","Mollusca","Annelida","Crustacea","Cladocera","Decapoda","Insecta","Odonata","Orthoptera","Hemiptera","Homoptera","Coleoptera","Lepidoptera","Arachnida","Echinodermata","Fishes","Amphibia","Reptilia","Mammalia"
"Andhra Pradesh","NA","NA",3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",28.0,"NA","NA","NA"
"Assam",7.0,"NA",2.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,"NA","NA","NA"
"Bihar","NA","NA","NA",10.0,"NA","NA","NA","NA",43.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Haryana","NA","NA",18.0,"NA","NA","NA","NA","NA","NA",5.0,"NA","NA","NA","NA",27.0,"NA","NA",3.0,2.0,"NA","NA"
"Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA",16.0,"NA","NA","NA",18.0,6.0,26.0,"NA","NA","NA","NA","NA","NA"
"Jharkhand","NA","NA","NA","NA",5.0,"NA","NA","NA",9.0,216.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Karnataka","NA","NA","NA","NA","NA",5.0,"NA","NA",28.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Kerala","NA","NA","NA","NA","NA","NA","NA","NA",5.0,13.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Madhya Pradesh","NA","NA","NA","NA","NA","NA","NA","NA",9.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Maharashtra","NA","NA","NA",35.0,"NA",75.0,"NA","NA",56.0,12.0,"NA","NA","NA","NA",13.0,"NA","NA",10.0,15.0,"NA","NA"
"Manipur","NA","NA","NA","NA","NA","NA","NA","NA",2.0,"NA","NA","NA","NA",2.0,"NA","NA","NA",9.0,"NA","NA","NA"
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,"NA","NA","NA","NA","NA",8.0,8.0,"NA","NA"
"Orissa","NA","NA","NA","NA","NA",3.0,"NA",3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",3.0,"NA","NA","NA"
"Rajasthan","NA",7.0,4.0,10.0,"NA","NA","NA","NA","NA",5.0,5.0,17.0,"NA",9.0,9.0,"NA","NA","NA","NA","NA","NA"
"Tamil Nadu",13.0,9.0,"NA","NA",9.0,"NA",6.0,"NA",2.0,4.0,5.0,"NA","NA","NA","NA","NA",13.0,40.0,"NA","NA","NA"
"Uttarakhand","NA","NA","NA","NA","NA",8.0,"NA","NA",63.0,30.0,"NA","NA","NA","NA",41.0,"NA","NA","NA","NA","NA","NA"
"Uttar Pradesh","NA",160.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",4.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"West Bengal","NA","NA","NA","NA",3.0,3.0,"NA","NA","NA","NA","NA","NA","NA",4.0,"NA","NA","NA",95.0,7.0,"NA",4.0
