-----
{
 "description": "This table consists of product wise, group wise and year wise production of major chemicals products during 2006-07 to 2012-13 (upto September 2012) in India. Production figures have been aggregated based on Monthly Production returns received directly by the Department of Chemicals and...", 
 "file_name": "Production_of_Major_Chemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls", 
 "title": "Production of Major Chemicals - Product-wise / Group-wise from 2006-07 to 2012-13 (upto September 2012) ", 
 "url": "http://data.gov.in/sites/default/files/Production_of_Major_Chemicals_ProductWise_or_GroupWise_2006-07_to_2012-13_upto_Sep12.xls"
}
-----
"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13 (April to Sep.)"
"ALKALI CHEMICALS","SODA ASH",2078.06,2005.51,1989.05,2058.34,2298.75,2410.82,1184.54
"ALKALI CHEMICALS","CAUSTIC SODA",1914.22,2050.69,2050.03,2103.75,2178.45,2215.66,1058.65
"ALKALI CHEMICALS","LIQUID CHLORINE",1276.71,1387.13,1402.84,1439.92,1503.99,1486.1,729.6
"INORGANIC CHEMICALS","ALUMINIUM FLOURIDE",20.3,19.43,15.07,11.55,9.8,7.3,4.58
"INORGANIC CHEMICALS","CALCIUM CARBIDE",91.95,97.41,66.55,22.02,44.7,66.39,31.65
"INORGANIC CHEMICALS","CARBON BLACK",422.47,426.96,371.4,419.43,452.44,447.67,207.57
"INORGANIC CHEMICALS","POTASSIUM CHLORATE",4.13,5.36,5.79,2.6,0.61,0.34,0.26
"INORGANIC CHEMICALS","TITANIUM DIOXIDE",62.92,59.15,53.24,61.32,64.01,52.14,22.92
"INORGANIC CHEMICALS","RED PHOSPHORUS",0.54,0.54,0.46,0.58,0.48,0.56,0.35
"ORGANIC CHEMICALS","ACETIC ACID",287.85,316.01,203.34,146.09,156.48,160.73,74.57
"ORGANIC CHEMICALS","ACETIC ANHYDRIDE",30.6,29.32,36.14,43.42,43.9,43.84,30.76
"ORGANIC CHEMICALS","ACETONE",44.22,47.19,46.83,44.25,50.5,42.8,18.69
"ORGANIC CHEMICALS","PHENOL",71.27,74.94,75.75,71.59,79.81,65.92,30.33
"ORGANIC CHEMICALS","METHANOL",396.23,351.73,237.66,330.83,370.02,359.93,144.12
"ORGANIC CHEMICALS","FORMALDEHYDE",234.82,242.76,231.84,259.67,266.6,263.8,134.38
"ORGANIC CHEMICALS","NITROBENZENE",14.73,13.11,13.93,12.34,9.94,13.98,12.05
"ORGANIC CHEMICALS","MALEIC ANHYDRIDE",12.95,4.25,2.97,2.55,2.8,2.63,1.25
"ORGANIC CHEMICALS","PENTA-ERITHRITOL",13.73,14.95,13.82,11.21,11.72,11.4,5.95
"ORGANIC CHEMICALS","ANILINE",47.37,44.98,29.67,39.38,30.76,40.09,24.36
"ORGANIC CHEMICALS","CHLORO METHANES",92.19,85.86,96.22,91.12,110.78,98.57,46.98
"ORGANIC CHEMICALS","ISOBUTYLE",2.52,3.33,3.34,4.07,2.26,1.94," 0"
"ORGANIC CHEMICALS","ONCB",12.82,13.81,15.71,15.44,16.69,13.74,7.62
"ORGANIC CHEMICALS","PNCB",18.46,20.92,25.25,23.57,24.86,22.14,10.85
"ORGANIC CHEMICALS","MEK",0.1,0.0,0.0,0.0,0.0,2.19,1.15
"ORGANIC CHEMICALS","ACETALDEHYDE",163.87,182.48,108.07,59.25,32.25,65.39,35.86
"ORGANIC CHEMICALS","ETHANOLAMINES",7.27,9.86,12.31,7.0,3.45,8.73,3.34
"ORGANIC CHEMICALS","ETHYL ACETATE",87.67,90.84,93.22,103.96,114.74,167.01,70.22
"ORGANIC CHEMICALS","ORTHO NITRO TOLUENE",6.8,5.72,8.1,13.8,14.2,11.14,3.88
"PESTICIDES AND INSECTICIDES","D.D.T.",4.5,3.44,3.31,3.61,3.09,3.62,0.98
"PESTICIDES AND INSECTICIDES","MALATHION",4.3,6.3,3.38,1.67,3.05,2.54,0.67
"PESTICIDES AND INSECTICIDES","PARATHION (METHYL)",0.0,0.0,0.0,0.0,0.0,0.0," 0.00"
"PESTICIDES AND INSECTICIDES","DIMETHOATE",1.0,0.89,0.57,0.98,1.17,0.73,0.32
