-----
{
 "description": "This spread sheet describes the location of Baryte deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and morphogenesis.", 
 "file_name": "Baryte_1.xls", 
 "title": "Location of Baryte deposits in India and its salient features ", 
 "url": "http://data.gov.in/sites/default/files/Baryte_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"ARAVALLI BELT","RELPATALIYA","RAJASTHAN","45 H","24 24N","73 51E","Baryte","GNEISSES FLANKED BY METABASICS","MASSIVE BAND,VEINS","ARAVALLI"
"CUDDAPAH BASIN","CHIMALAPENTA","ANDHRA PRADESH","57 J","14 25N","78 35E","Baryte","SHEARS WITHIN DOLOMITE,LIMESTONE,TRAP","LENSE ALONG SHEAR","NALLAMALAI Gp(CUDDAPAH Sgp.)"
"CUDDAPAH BASIN","MANGAMPETA","ANDHRA PRADESH","57 N","14 00N","79 19E","Baryte","CARBONACEOUS HORIZON OF PULLAMPET TUFF","STRATIFORM-BEDDED","CUMBUM(CUDDAPAH)"
"CUDDAPAH BASIN","VEMULA","ANDHRA PRADESH","57 J","14 20N","78 15E","Baryte","FRACTURED TRAP ROCK","VEIN TYPE DEPOSIT","CHITRAVATI Gp."
"DELHI FOLD BELT","JAMRAULI","RAJASTHAN","54 A","27 05N","76 40E","Baryte","QUARTZITE","FISSURE,VEINS","ALWAR Gp."
"GHATTIHOSAHALLI BELT","GHATTIHOSAHALLI","KARNATAKA","57 C","13 59N","76 17E","Baryte","FUCHSITE QUARTZITE,AMPHIBOLITE","BEDDED","BABABUDAN(DHARWAR)."
"MAHAKOSHAL BELT","SUKWARI","MADHYA PRADESH","63 H","24 20N","81 50E","Baryte","TALC-CHLORITE SCHIST,METADOLERITE","VEINS,FRACTURE FILLING","MAHAKOSHAL Gp."
"NELLORE TECTONIC BELT","VINJAMUR-KODANDARMA","ANDHRA PRADESH","57 N","14 45N","79 35E","Baryte","VOLCANICS,CARBONATITE,TUFF","MASSIVE BANDS,BEDDED","NELLORE Gp."
