"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton","Jute","Mesta","Tea","Coffee","Natural Rubber"," Banana","Sugar cane","Tobacco"," Potato","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2009-10",89093.0,6698.1,6505.6,16719.8,1888.9,381.7,80803.6,1354.6,203446.3,7476.3,2465.4,4722.0,14661.7,218108.0,5429.1,588.1,6607.5,153.9,1009.4,24881.7,24021.5,11230.4,587.1,991.0,290.0,831.0,26469.5,292301.4,"693NAP",36577.3,50.25,1202.77,384.98,10824.0,792.74
" Andhra Pradesh",10538.0,437.0,53.0,2762.0,53.0,13.0,10.0,"NA",13866.0,846.0,203.0,380.0,1429.0,15295.0,1006.0,20.0,2.0,"NA",64.0,1500.0,3227.0,"NA",192.0,"NA","NA","NA",2819.6,11708.0,"NA","NA","NA",701.4,9.14,667.0,420.44
" Arunachal Pradesh",215.8,"NA","NA",60.0,"NA",18.4,4.8,"NA",299.0,"NA",0.5,9.2,9.7,308.9,"NA",0.7,23.8,"NA","NA",28.3,"NA","NA","NA",4.0,"NA","NA","NA",27.1,".","NA","NA",2.7,38.64,"NA",2.0
" Assam",4335.8,"NA","NA",14.1,"NA",3.1,63.5,"NA",4416.5,0.9,4.4,59.3,64.6,4481.1,"NA",7.2,128.6,3.8,0.5,144.7,0.8,715.3,20.2,498.0,"NA","NA",805.2,1059.0,"NA",589.7,"NA",9.87,"NA",101.0,8.68
" Bihar",3599.3,1.8,3.3,1478.7,8.4,3.0,4570.8,12.9,9678.2,58.4,42.2,371.8,472.4,10150.6,0.7,1.8,89.4,20.6,"NA",144.6,"NA",1118.4,159.3,1.0,"NA","NA",1435.3,5032.6,"NA",5387.2,"NA",3.0,0.84,"NA",3.0
"Chhattisgarh",4110.4,5.9,"NA",143.3,2.2,28.0,121.9,2.4,4414.1,221.9,30.6,236.2,488.7,4902.8,39.1,9.0,25.0,12.0,"NA",200.4,"NA","NA",2.5,"NA","NA","NA","NA",29.2,"NA","NA","NA",1.7,1.35,"NA",0.6
" Goa",100.6,"NA","NA",0.6,"NA","NA","NA","NA",101.2,"NA","NA",8.5,8.5,109.7,8.1,"NA","NA","NA","NA",8.1,"NA","NA","NA","NA","NA","NA","NA",52.3,"NA","NA","NA","NA","NA",88.0,"NA"
" Gujarat",1292.0,171.0,828.0,533.0,11.0,57.0,2352.0,"NA",5244.0,125.0,241.0,151.0,517.0,5761.0,1757.0,80.0,341.0,"NA",831.0,3097.0,7986.3,"NA","NA","NA","NA","NA",3779.8,12400.0,"NA",1657.0,"NA",5.7,4.0,108.0,14.1
" Haryana",3625.0,36.0,932.0,27.0,"NA","NA",10500.0,137.0,15257.0,62.0,23.0,15.0,100.0,15357.0,2.0,1.0,849.0,"NA",0.5,877.5,1926.0,"NA","NA","NA","NA","NA","NA",5335.0,"NA",494.8,"NA",0.6,1.21,"NA",4.6
" Himachal Pradesh",105.9,"NA","NA",543.2,2.2,1.8,327.1,16.2,996.4,"NA","NA",20.7,20.7,1017.1,"NA",0.3,2.5,"NA","NA",3.8,"NA","NA","NA",1.0,"NA","NA","NA",45.6,"NA","NA","NA","NA",16.76,"NA",0.1
" Jammu & Kashmir",497.4,2.5,10.9,487.0,"NA",5.0,289.9,7.9,1300.6,"NA","NA",13.6,13.6,1314.2,"NA",2.0,47.6,"NA","NA",49.7,"NA","NA","NA","NA","NA","NA","NA",0.0,"NA","NA","NA",0.6,"NA","NA","NA"
"Jharkhand",1538.4,"NA","NA",190.7,5.7,11.9,173.2,8.5,1928.4,57.6,53.3,112.8,223.7,2152.1,10.7,1.3,55.7,8.5,0.7,79.6,"NA",0.8,4.0,"NA","NA","NA","NA",447.0,"NA",573.1,"NA","NA","NA","NA","NA"
" Karnataka",3691.0,1406.0,153.0,3013.0,1312.0,11.0,251.0,"NA",9837.0,574.0,282.0,262.0,1118.0,10955.0,512.0,31.0,2.0,4.0,12.0,1005.0,868.2,"NA",1.0,6.0,"NA","NA",2132.3,30443.0,"NA",460.3,3.62,137.78,19.17,1497.0,57.64
" Kerala",598.3,1.9,"NA","NA","NA","NA","NA","NA",600.2,"NA",4.0,6.3,10.3,610.5,1.0,"NA","NA","NA","NA",1.2,1.3,"NA","NA",72.0,"NA","NA",406.2,285.0,"NA","NA",45.57,1.55,32.37,3992.0,6.9
" Madhya Pradesh",1260.6,564.9,248.0,1045.2,"NA",73.5,8410.0,110.0,11713.2,3304.1,308.0,692.5,4304.6,16017.8,217.9,86.6,848.9,51.4,"NA",7636.2,855.3,"NA",1.4,"NA","NA","NA",1459.8,2535.0,"NA",608.4,"NA",32.8,6.35,"NA","NA"
" Maharashtra",2183.0,3566.0,766.0,1828.0,109.0,23.0,1740.0,1.3,10216.3,1114.0,919.0,337.0,2370.0,12586.3,359.0,15.0,2.0,9.0,2.0,2814.0,5859.3,"NA",26.0,"NA","NA","NA",5200.0,64159.0,"NA","NA","NA",45.6,1.04,120.0,8.43
" Manipur",319.9,"NA","NA",11.7,"NA","NA","NA","NA",331.6,"NA","NA",7.2,7.2,338.8,"NA",0.5,"NA","NA","NA",0.7,"NA","NA","NA","NA","NA","NA","NA",21.3,"NA","NA","NA",3.9,3.84,"NA","NA"
" Meghalaya",206.7,"NA","NA",26.3,"NA",1.9,0.7,"NA",235.6,"NA",0.6,2.9,3.5,239.1,"NA",0.9,4.9,"NA","NA",7.0,5.5,34.7,18.4,"NA","NA","NA","NA","NA","NA","NA","NA",1.41,51.96,"NA",9.96
" Mizoram",44.4,"NA","NA",11.5,"NA","NA","NA","NA",55.9,"NA","NA",6.5,6.5,62.4,"NA",0.7,"NA","NA","NA",3.0,0.8,"NA","NA","NA","NA","NA","NA",12.4,"NA","NA","NA",0.8,34.3,"NA",39.86
" Nagaland",240.3,"NA","NA",73.2,"NA",3.5,2.4,"NA",319.4,"NA",2.1,32.6,34.7,354.1,0.6,1.5,46.9,8.8,"NA",84.6,"NA",2.0,"NA","NA","NA","NA","NA",152.9,"NA","NA","NA",1.0,35.44,"NA",0.5
" Orissa ",6917.5,5.8,1.7,175.1,37.7,10.1,5.8,"NA",7153.7,33.7,111.8,253.9,399.4,7553.1,89.2,10.5,2.7,11.9,10.0,172.1,147.2,30.4,81.6,"NA","NA","NA","NA",489.9,"NA","NA","NA",63.9,30.8,190.0,59.4
