-----
{
 "description": "This data provides total value of export merchandise to various maritime blocks of India from 2000-01 to 2009-10.", 
 "file_name": "COASTING_TRADE_TOTAL_VALUE_OF_EXPORT_MERCHANDISE_FROM_VARIOUS_MARITIME_BLOCKS_OF_INDIA.xls", 
 "title": "Coasting Trade - Total Value Of Export Merchandise From Various Maritime Blocks Of India From 2000-01 To 2009-10 ", 
 "url": "http://data.gov.in/sites/default/files/COASTING_TRADE_TOTAL_VALUE_OF_EXPORT_MERCHANDISE_FROM_VARIOUS_MARITIME_BLOCKS_OF_INDIA.xls"
}
-----
"Maritime block","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08 ","2008-09 ","2009-10"
"Andhra Pradesh",3214818.0,3103986.0,732276.0,17067100.0,15854300.0,28073900.0,13824200.0,8709716.0,5422400.0,15532600.0
"Gujarat",17313019.0,45393901.0,28709387.0,69991800.0,95939200.0,88630700.0,46760400.0,28135006.0,49111900.0,138140700.0
"Karnataka",5173316.0,16061364.0,20610412.0,12516000.0,19907600.0,17360600.0,22719300.0,23474185.0,18734500.0,24333800.0
"Kerala",3283578.0,5434955.0,3367483.0,13291600.0,19450700.0,39003100.0,44466500.0,62618945.0,51826500.0,22246100.0
"Maharashtra",15875548.0,11578813.0,12901760.0,76841200.0,94307400.0,92871400.0,107498000.0,123262102.0,130265800.0,102983900.0
"Orissa",3022669.0,1710951.0,2202376.0,32229000.0,14604100.0,23975800.0,5331000.0,10116716.0,11479400.0,14144800.0
"Tamil Nadu",4347032.0,2059530.0,4154609.0,13136300.0,28586500.0,50373300.0,23533000.0,7863111.0,10720100.0,7699200.0
"West Bengal",7285361.0,6052414.0,7086929.0,10936800.0,22188900.0,21761000.0,29468800.0,28686207.0,31003400.0,21570000.0
"Andaman & Nicobar Islands",1641531.0,2108121.0,1729811.0,1951100.0,5625500.0,938300.0,360600.0,757740.0,10518700.0,1748600.0
"Goa",75592.0,280046.0,185182.0,90000.0,376300.0,23200.0,628500.0,861258.0,372600.0,2025700.0
"Lakshadweep",63897.0,304520.0,200610.0,1300.0,7600.0,200.0,"NA","NA","NA","NA"
"Pondicherry",378779.0,331432.0,"NA","NA",13900.0,500.0,"NA","NA","NA",43600.0
"Total",61675141.0,94420033.0,81880835.0,248052300.0,316862000.0,363012100.0,294590300.0,294484986.0,310015400.0,350469000.0
