-----
{
 "description": "This data provides state-wise percentage of distribution of rural and urban households having electricity for 2001 and 2011.", 
 "file_name": "DISTRIBUTION_OF_HOUSEHOLDS_HAVING_ELECTRICITY.XLS", 
 "title": "State-wise Percentage Of Distribution Of Rural And Urban Households Having Electricity ", 
 "url": "http://data.gov.in/sites/default/files/DISTRIBUTION_OF_HOUSEHOLDS_HAVING_ELECTRICITY.XLS"
}
-----
"All-India/State/Union Territory","Total","Rural-2001","Urban-2001","Total","Rural-2011","Urban-2011","Rural- NSS 60th Round- (Jan. 2004 - June.2004)","Urban- NSS 60th Round- (Jan. 2004 - June.2004)","Rural- NSS 61st Round (July 2004-June 2005)","Urban- NSS 61st Round (July 2004-June 2005)","Rural- NSS 62nd Round (July 2005-June 2006)","Urban- NSS 62nd Round (July 2005-June 2006)","Rural- NSS 63rd Round (July 2006 - June 2007)","Urban- NSS 63rd Round (July 2006 - June 2007)","Rural- NSS 64th Round (July 2007 - June 2008)","Urban- NSS 64th Round (July 2007 - June 2008)","Rural- NSS 65th Round- (July 2008 - June 2009)","Urban- NSS 65th Round- (July 2008 - June 2009)"
"All-India (*)",55.85,43.53,87.58,67.2,55.3,92.7,53.5,92.2,54.9,92.3,56.3,92.0,56.1,92.7,60.2,93.8,66.0,96.1
"Andhra Pradesh",67.17,59.65,89.99,92.2,89.7,97.3,75.4,93.5,84.0,94.9,83.1,97.2,84.2,96.4,88.5,97.1,93.2,97.5
"Arunachal Pradesh",54.69,44.53,89.42,65.7,55.5,96.0,50.8,"NA","NA","NA",48.2,"NA",50.9,"NA",49.1,"NA",77.9,98.5
"Assam",24.9,16.54,74.29,37.0,28.4,84.1,25.8,95.9,30.3,86.2,32.0,89.8,32.4,90.9,37.0,84.3,40.2,94.6
"Bihar",10.25,5.13,59.28,16.4,10.4,66.7,6.3,68.9,10.1,73.8,10.3,67.7,11.3,66.5,13.8,71.1,24.5,79.4
"Chattisgarh ",53.1,46.11,82.85,75.3,70.0,93.7,55.6,83.2,61.9,93.2,59.1,91.6,76.0,91.9,76.0,97.6,81.1,96.7
"Goa",93.57,92.43,94.73,96.9,95.6,97.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",99.5,97.3
"Gujarat",80.4,72.12,93.39,90.4,85.0,97.2,77.8,95.8,80.2,95.8,82.5,95.9,82.9,96.2,86.7,95.9,89.7,99.0
"Haryana",82.89,78.5,92.94,90.5,87.2,96.2,88.2,95.9,89.7,95.5,86.4,92.3,90.9,95.6,88.9,98.2,93.4,98.3
"Himachal Pradesh",94.81,94.48,97.38,96.8,96.6,98.1,93.6,"NA","NA","NA",97.9,98.9,96.6,99.5,96.0,"NA",98.6,99.4
"Jammu and Kashmir",80.0,74.77,97.94,85.1,80.7,98.0,97.1,99.1,"NA","NA",92.2,96.2,96.4,97.3,94.4,96.1,95.9,97.5
"Jharkhand",24.3,9.99,75.61,45.8,32.3,88.0,23.3,87.0,26.0,87.1,25.6,87.5,36.5,88.0,33.9,93.7,43.0,93.9
