"Programme/Scheme","Type","Actual-Plan (2011-12)","Actual-N-Plan (2011-12)","Actual-Total (2011-12)","Budget Estimates-Plan (2012-13)","Budget Estimates-N-Plan (2012-13)","Budget Estimates-Total (2012-13)","Revised Estimate-Plan (2012-13)","Revised Estimate-N-Plan (2012-13)","Revised Estimate-Total (2012-13)"
"Electronic Governance","e-Government",254.34,0.0,254.34,975.0,0.0,975.0,450.0,0.0,450.0
"National Informatics Centre","e-Government",730.58,0.0,730.58,754.0,0.0,754.0,754.0,0.0,754.0
"National Knowledge Network (NKN)","e-Learning",412.0,0.0,412.0,360.0,0.0,360.0,152.19,0.0,152.19
"Manpower Development (incl. Skill Development in IT)","e-Learning",40.92,0.0,40.92,127.69,0.0,127.69,103.98,0.0,103.98
"NIELIT","e-Learning",10.24,1.7,11.94,10.75,1.7,12.45,8.83,1.7,10.53
"Education & Research Network (ERNET)","e-Learning",0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0
"Technology Development for Indian Languages (TDIL)","e-Learning",31.95,0.0,31.95,35.0,0.0,35.0,23.0,0.0,23.0
"Facilitation of setting up of Integrated Townships","e-Learning",0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
"Cyber Security (including CERT-In, IT Act)","e-Security",39.95,0.0,39.95,45.2,0.0,45.2,36.06,0.0,36.06
"Controller of Certifying Authorities (CCA)","e-Security",3.14,0.0,3.14,6.0,0.0,6.0,3.0,0.0,3.0
"Promotion of Electronics/IT Hardware Manufacturing","e-Industry (Electronic Hardware)",0.61,0.0,0.61,5.0,0.0,5.0,5.0,0.0,5.0
"Standardisation Testing and Quality Certification (STQC)","e-Industry (Electronic Hardware)",59.73,5.72,65.45,120.0,7.0,127.0,80.0,7.0,87.0
"Software Technology Parks of India (STPI) and EHTP","e-Industry (IT-ITeS)",0.0,0.0,0.0,2.5,0.0,2.5,2.33,0.0,2.33
"Centre for Development of Advanced Computing (C-DAC)","e-Innovation/R&D",159.19,3.0,162.19,203.4,3.0,206.4,121.06,3.0,124.06
"Technology Development Council Projects (Including ITRA)","e-Innovation/R&D",52.32,0.0,52.32,79.0,0.0,79.0,48.05,0.0,48.05
"Micro-Electronics and Nano-Technology Development Programme","e-Innovation/R&D",92.27,0.0,92.27,100.0,0.0,100.0,60.0,0.0,60.0
"Society for Applied Microwave Electronics Engineering & Research (SAMEER)","e-Innovation/R&D",40.94,3.0,43.94,42.94,3.0,45.94,42.94,3.0,45.94
"Convergence, Communication and Strategic Electronics","e-Innovation/R&D",24.89,0.0,24.89,25.0,0.0,25.0,25.0,0.0,25.0
"Media Lab Asia","e-Innovation/R&D",8.3,0.0,8.3,11.3,0.0,11.3,3.73,0.0,3.73
"Component & Material  Development Programme","e-Innovation/R&D",22.87,0.6,23.47,25.0,0.6,25.6,25.0,0.2,25.2
"Electronics in Health & Telemedicine","e-Innovation/R&D",9.53,0.0,9.53,11.5,0.0,11.5,5.1,0.0,5.1
"IT for Masses","e-Inclusion",5.45,0.0,5.45,16.94,0.0,16.94,7.06,0.0,7.06
"Secretariat - Economic Services","Others",31.88,25.85,57.73,43.67,31.3,74.97,43.67,30.13,73.8
"Secretariat - Economic Services - Exhibition in Electronics","Others",0.0,0.09,0.09,0.0,0.8,0.8,0.0,0.72,0.72
"Secretariat - Economic Services - Foreign Trade","Others",0.0,3.1,3.1,0.0,3.1,3.1,0.0,2.0,2.0
"Secretariat - Economic Services - Other Scheme","Others",0.0,0.43,0.43,0.0,0.5,0.5,0.0,0.2,0.2
"TOTAL ","",2031.1,43.49,2074.59,3000.0,51.0,3051.0,2000.0,47.95,2047.95
"Deduct Recoveries","",10.15,0.0,10.15,0.0,0.0,0.0,0.0,0.0,0.0
"GRAND TOTAL","",2020.95,43.49,2064.44,3000.0,51.0,3051.0,2000.0,47.95,2047.95
