"Year/States","Ayurveda 2010","Ayurveda 2011","Unani 2010","Unani 2011","Siddha 2010","Siddha 2011","Yoga 2010","Yoga 2011","Naturopathy 2010","Naturopathy 2011","Homoeopathy 2010","Homoeopathy 2011","Sowa-Rigpa (Amchi) 2010","Sowa-Rigpa (Amchi) 2011","Total 2010","Total 2011"
"GRAND TOTAL",15353.0,15017.0,1146.0,1021.0,541.0,821.0,59.0,140.0,97.0,97.0,6958.0,7049.0,135.0,135.0,24289.0,24146.0
"Andhra Pradesh",1003.0,1003.0,269.0,269.0,"NA","NA","NA","NA",47.0,47.0,518.0,518.0,1.0,1.0,1838.0,1837.0
"Arunachal Pradesh",2.0,2.0,"NA","NA","NA","NA","NA","NA","NA","NA",55.0,55.0,6.0,6.0,63.0,57.0
"Assam",380.0,380.0,1.0,1.0,"NA","NA","NA","NA","NA","NA",75.0,75.0,"NA","NA",456.0,456.0
"Bihar",311.0,311.0,144.0,144.0,"NA","NA","NA","NA","NA","NA",179.0,179.0,"NA","NA",634.0,634.0
"Chhattisgarh",1272.0,1272.0,26.0,26.0,"NA","NA","NA","NA","NA","NA",172.0,172.0,1.0,1.0,1471.0,1470.0
"Delhi",158.0,156.0,30.0,35.0,"NA","NA","NA","NA","NA","NA",127.0,128.0,3.0,3.0,318.0,319.0
"Goa",11.0,9.0,"NA",1.0,"NA","NA","NA","NA","NA","NA",5.0,10.0,"NA","NA",16.0,20.0
"Gujarat",542.0,523.0,"NA","NA","NA","NA","NA","NA","NA","NA",216.0,216.0,1.0,1.0,759.0,739.0
"Haryana",493.0,493.0,7.0,7.0,"NA","NA","NA","NA","NA","NA",22.0,22.0,"NA","NA",522.0,522.0
"Himachal Pradesh",1105.0,1105.0,3.0,3.0,"NA","NA","NA","NA","NA","NA",14.0,14.0,14.0,14.0,1136.0,1122.0
"Jammu & Kashmir",273.0,240.0,235.0,177.0,"NA","NA","NA","NA","NA","NA","NA","NA",82.0,82.0,590.0,417.0
"Jharkhand",122.0,220.0,30.0,54.0,"NA","NA","NA","NA","NA","NA",54.0,92.0,"NA","NA",206.0,366.0
"Karnataka",561.0,561.0,50.0,50.0,"NA","NA","NA","NA",5.0,5.0,43.0,5.0,7.0,7.0,666.0,621.0
"Kerala",898.0,898.0,12.0,12.0,5.0,5.0,"NA",5.0,"NA","NA",526.0,551.0,"NA","NA",1441.0,1471.0
"Madhya Pradesh",1427.0,1427.0,50.0,50.0,"NA","NA","NA","NA","NA","NA",146.0,146.0,"NA","NA",1623.0,1623.0
"Maharashtra",469.0,469.0,25.0,25.0,"NA","NA","NA","NA","NA","NA","NA","NA",3.0,3.0,497.0,494.0
"Manipur",30.0,32.0,13.0,14.0,"NA","NA",12.0,14.0,9.0,13.0,178.0,194.0,"NA","NA",242.0,267.0
"Meghalaya",14.0,4.0,"NA","NA","NA","NA",1.0,1.0,"NA","NA",35.0,5.0,1.0,1.0,51.0,10.0
"Mizoram",2.0,1.0,"NA","NA","NA","NA","NA","NA"," "," ",11.0,13.0,"NA","NA",13.0,14.0
"Nagaland",109.0,109.0,"NA","NA","NA","NA","NA","NA",1.0,1.0,93.0,93.0,"NA","NA",203.0,203.0
"Orissa",624.0,624.0,9.0,9.0,"NA","NA",35.0,35.0,30.0,30.0,637.0,637.0,2.0,2.0,1337.0,1335.0
"Punjab",507.0,"NA",35.0,"NA","NA","NA",1.0,1.0,"NA","NA",107.0,111.0,"NA","NA",650.0,112.0
"Rajasthan",3568.0,3577.0,110.0,"NA","NA","NA","NA",3.0,3.0,"NA",180.0,180.0,"NA","NA",3861.0,3760.0
"Sikkim",1.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,"NA",3.0,3.0,5.0,0.0
"Tamil Nadu",45.0,97.0,23.0,63.0,502.0,780.0,4.0,74.0,1.0,"NA",48.0,105.0,1.0,1.0,624.0,1119.0
"Tripura",54.0,54.0,"NA","NA","NA","NA","NA","NA","NA","NA",80.0,77.0,"NA","NA",134.0,131.0
"Uttar Pradesh",340.0,389.0,49.0,49.0,"NA","NA","NA","NA","NA","NA",1575.0,1575.0,1.0,1.0,1965.0,2013.0
"Uttarakhand",467.0,467.0,3.0,3.0,"NA","NA","NA","NA","NA","NA",60.0,60.0,3.0,3.0,533.0,530.0
"West Bengal",295.0,295.0,3.0,3.0,"NA","NA","NA","NA","NA","NA",1534.0,1534.0,5.0,5.0,1837.0,1832.0
"A & N Islands",8.0,8.0,"NA","NA","NA","NA",2.0,1.0,"NA","NA",17.0,17.0,"NA","NA",27.0,26.0
"Chandigarh",8.0,8.0,"NA","NA","NA","NA","NA","NA","NA","NA",7.0,7.0,"NA","NA",15.0,15.0
"D & N Haveli",3.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,"NA","NA","NA",4.0,0.0
"Daman & Diu",6.0,6.0,"NA","NA","NA","NA","NA","NA","NA","NA",5.0,6.0,"NA","NA",11.0,12.0
"Lakshadweep",2.0,8.0,"NA","NA","NA","NA","NA","NA","NA","NA",1.0,5.0,"NA","NA",3.0,13.0
"Puducherry",21.0,21.0,"NA","NA",23.0,23.0,"NA",2.0,"NA","NA",10.0,10.0,"NA","NA",54.0,56.0
"Total",15131.0,14769.0,1127.0,995.0,530.0,808.0,55.0,136.0,96.0,96.0,6732.0,6812.0,134.0,134.0,23805.0,23616.0
"CGHS & Central Government organizations",222.0,248.0,19.0,26.0,11.0,13.0,4.0,4.0,1.0,1.0,226.0,237.0,1.0,1.0,484.0,530.0
