-----
{
 "description": "The table provide annual survey of industries (Factory Sector) on All India (from 2000-01 to 2009-10) and State-wise (2008-09 and 2009-10) basis. ", 
 "file_name": "ANNUAL_SURVEY_OF_INDUSTRIES_(FACTORY_SECTOR)_I_0_1.xls", 
 "title": "All India and State-Wise - Annual Survey Of Industries (Factory Sector) ", 
 "url": "http://data.gov.in/sites/default/files/ANNUAL_SURVEY_OF_INDUSTRIES_(FACTORY_SECTOR)_I_0_1.xls"
}
-----
"State/Union Territory","Number of  Factories 2008-09 ","Number of  Factories 2009-10 "," Fixed Capital 2008-09 "," Fixed Capital 2009-10 ","Working Capital 2008-09 ","Working Capital 2009-10 "," Productive Capital 2008-09 "," Productive Capital 2009-10 "," Invested Capital 2008-09 "," Invested Capital 2009-10 "," Number of Workers 2008-09 "," Number of Workers 2009-10 ","Total PersonsEngaged 2008-09 ","Total PersonsEngaged 2009-10 ","Wages toWorkers 2008-09 ","Wages toWorkers 2009-10 ","TotalEmoluments 2008-09 ","TotalEmoluments 2009-10 "," FuelsConsumed 2008-09 "," FuelsConsumed 2009-10 ","Materials Consumed 2008-09 ","Materials Consumed 2009-10 ","TotalInputs 2008-09 ","TotalInputs 2009-10 "," Products and By-products 2008-09 "," Products and By-products 2009-10 ","TotalOutput 2008-09 ","TotalOutput 2009-10 "," Depreciation 2008-09 "," Depreciation 2009-10 "," Net Value Added 2008-09 "," Net Value Added 2009-10 "," Rent PaidFor FixedAssets 2008-09 "," Rent PaidFor FixedAssets 2009-10 ","InterestPaid 2008-09 ","InterestPaid 2009-10 ","Gross Fixed Capital Formation 2008-09 ","Gross Fixed Capital Formation 2009-10 ","Value of Addition In StockTotal 2008-09 ","Value of Addition In StockTotal 2009-10 ","Value of Addition In Stock Materials,Fuels 2008-09 ","Value of Addition In Stock Materials,Fuels 2009-10 ","Value of Addition In StockSemi Finished  2008-09 ","Value of Addition In StockSemi Finished  2009-10 ","Value of Addition In Stock Finished Goods 2008-09 ","Value of Addition In Stock Finished Goods 2009-10 "
"Andhra Pradesh",16903.0,17153.0,74399.52,130281.0,22638.4,28345.0,97037.92,158626.0,109606.97,174149.0,909828.0,941565.0,1093554.0,1131149.0,4874.49,5744.0,8894.05,10758.0,10299.23,12367.0,139695.89,143881.0,171651.09,184695.0,191615.81,205427.0,212402.71,234462.0,5280.78,10557.0,35470.84,39210.0,669.82,1273.0,5009.99,5554.0,18453.34,26469.0,4246.26,3150.0,2439.49,359.0,386.73,1579.0,1420.04,1212.0
"Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam",2211.0,2247.0,9404.27,9801.0,3359.54,5196.0,12763.81,14997.0,13619.28,14668.0,126338.0,125759.0,149256.0,148731.0,544.4,620.0,970.08,1146.0,1569.88,1805.0,23696.65,25049.0,32977.86,30901.0,32448.5,33300.0,36767.9,36672.0,776.14,708.0,3013.89,5062.0,40.35,45.0,463.48,397.0,933.58,1347.0,320.28,706.0,115.32,-382.0,79.65,203.0,125.31,884.0
"Bihar",1775.0,1918.0,3032.54,4452.0,1470.72,951.0,4503.26,5404.0,5848.84,7557.0,62864.0,73443.0,73659.0,86620.0,290.38,318.0,444.72,535.0,1599.58,1649.0,23279.47,21243.0,26058.31,25577.0,26997.5,25853.0,29539.67,28255.0,297.62,356.0,3183.74,2321.0,22.78,39.0,129.71,193.0,247.77,946.0,199.57,750.0,152.89,443.0,27.43,125.0,19.25,182.0
"Chhattisgarh",1919.0,1976.0,28189.14,33721.0,30836.45,32773.0,59025.59,66494.0,38017.82,44121.0,126890.0,116294.0,172044.0,154518.0,910.71,965.0,3092.0,2345.0,6730.14,5808.0,42166.83,36738.0,57690.44,52298.0,68391.94,58622.0,76405.48,67781.0,2101.38,2203.0,16613.67,13281.0,390.87,270.0,1532.94,1351.0,7256.81,7289.0,1700.4,867.0,660.75,788.0,145.69,13.0,893.96,66.0
"Goa",519.0,520.0,5264.96,6564.0,2384.03,7919.0,7648.99,14483.0,9493.45,13212.0,40545.0,38891.0,53107.0,51697.0,365.31,493.0,771.0,1083.0,1404.14,873.0,15866.91,18015.0,22098.06,23225.0,23157.03,26487.0,27525.79,29435.0,526.09,569.0,4901.64,5640.0,134.0,128.0,325.08,316.0,1075.06,1091.0,839.66,184.0,412.51,190.0,165.48,67.0,261.67,-73.0
"Gujarat",14863.0,15576.0,172366.98,240381.0,56686.57,58956.0,229053.55,299337.0,246911.31,342810.0,871459.0,890600.0,1125543.0,1159239.0,5933.8,6797.0,13038.85,15589.0,24304.14,22909.0,358270.4,456040.0,433324.2,534388.0,461182.05,590109.0,508087.87,642658.0,14346.45,18242.0,60417.22,90028.0,803.07,882.0,7420.2,9561.0,31351.04,38580.0,9002.31,25683.0,6212.52,14340.0,1472.36,7738.0,1317.43,3605.0
"Haryana",4450.0,4640.0,37064.57,40224.0,8703.95,12988.0,45768.52,53213.0,61334.23,64727.0,377322.0,463570.0,607527.0,584762.0,2737.49,4188.0,6311.86,8723.0,4563.45,5171.0,96741.39,112893.0,120171.93,144726.0,129248.34,152967.0,144335.96,177107.0,3810.16,4406.0,20353.86,27975.0,801.22,763.0,3241.07,3148.0,8669.19,8178.0,2181.33,3015.0,1913.96,2284.0,39.03,178.0,228.34,553.0
"Himachal Pradesh",1294.0,1545.0,21891.56,26714.0,7879.94,8695.0,29771.5,35409.0,28742.52,33599.0,84497.0,99513.0,110242.0,128665.0,512.02,649.0,1338.52,1613.0,1883.79,2257.0,22840.97,28312.0,27631.68,34533.0,41384.91,48233.0,42279.48,50071.0,1315.43,1782.0,13332.37,13755.0,80.88,122.0,918.53,912.0,1799.4,2589.0,1536.5,1233.0,838.55,988.0,310.14,237.0,387.81,9.0
"Jammu & Kashmir",649.0,626.0,2436.69,2861.0,2167.79,1967.0,4604.48,4828.0,3989.11,4660.0,45033.0,44242.0,54581.0,53023.0,215.0,255.0,422.03,434.0,359.76,460.0,8746.15,8686.0,10099.09,10336.0,12621.04,12359.0,13493.75,13221.0,187.07,254.0,3207.59,2631.0,12.0,28.0,246.34,264.0,513.11,809.0,38.38,201.0,23.07,189.0,-0.86,-67.0,16.17,80.0
