-----
{
 "description": "Data provide all India (2000-01 to 2011-12) details on income and expenditure of corporations during 2000-01 to 2011-12.", 
 "file_name": "INCOME_AND_EXPENDITURE_OF_CORPORATIONS_DURING_2000-01_TO_2011-12.xls", 
 "title": "Income And Expenditure of Corporations During 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/INCOME_AND_EXPENDITURE_OF_CORPORATIONS_DURING_2000-01_TO_2011-12.xls"
}
-----
"Local Body","State","Type","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Guntur ","Andhra Pradesh","Income",543742.0,582030.0,657902.0,610269.0,640071.0,668966.0,"NA","NA",979539.0,"NA","NA","NA"
"Guntur ","Andhra Pradesh","Expenditure *",346546.0,406658.0,422339.0,490884.0,"NA","NA","NA","NA",916656.0,"NA","NA","NA"
"Greater Hyderadad","Andhra Pradesh","Income",2571390.0,2882483.0,3524651.0,4084853.0,3996215.0,4460620.0,5047298.0,7810844.0,13920858.0,"NA","NA","NA"
"Greater Hyderadad","Andhra Pradesh","Expenditure",1955177.0,2081478.0,2401918.0,2363227.0,2622164.0,3076422.0,3721239.0,6165931.0,9156566.0,"NA","NA","NA"
"Vishakhapatnam","Andhra Pradesh","Income",903954.0,1278400.0,1466249.0,1669387.0,1971192.0,2332064.0,2936997.0,5939805.0,6855396.0,3352216.0,8158091.0,17326917.0
"Vishakhapatnam","Andhra Pradesh","Expenditure",790414.0,1232281.0,880068.0,1754861.0,2144597.0,2589650.0,2981009.0,4512461.0,7373639.0,2214460.0,8617385.0,17764451.0
"Gaya","Bihar","Income",36847.0,33751.0,34437.0,29439.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"Gaya","Bihar","Expenditure *",31078.0,23063.0,21058.0,13234.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"MCD","Delhi","Income",13728454.0,15706554.0,16594975.0,16828426.0,22584781.0,21341188.0,28077548.0,32859239.0,31659682.0,"NA","NA","NA"
"MCD","Delhi","Expenditure *",13728015.0,15706458.0,16240712.0,16777259.0,19504687.0,21364339.0,22483945.0,28299171.0,36414314.0,"NA","NA","NA"
"NDMC","Delhi","Income",7495143.0,7708849.0,8834005.0,8633497.0,10789726.0,10507978.0,"NA",13597414.0,14134103.0,"16924308(RE)","20474951(A)","21499657(RE)"
"NDMC","Delhi","Expenditure *",7472291.0,7436737.0,8032975.0,8014811.0,9664890.0,9709138.0,"NA",13594623.0,17524044.0,"20578796(RE)","23417589(A)","23761683(RE)"
"Ahmedabad","Gujarat","Income",5625844.0,5618453.0,6156415.0,6906754.0,8070853.0,9023788.0,"NA","NA","NA","NA","NA","NA"
"Ahmedabad","Gujarat","Expenditure *",5611992.0,5595416.0,5819011.0,5626450.0,6055794.0,6286026.0,"NA","NA","NA","NA","NA","NA"
"Baroda","Gujarat","Income",2126252.0,2025765.0,2206045.0,2263608.0,2709793.0,2846017.0,3397083.0,4301758.0,4960374.0,5619531.0,"NA","NA"
"Baroda","Gujarat","Expenditure *",2027872.0,2050225.0,2124039.0,2185346.0,2270457.0,2345044.0,2436848.0,2870088.0,2960672.0,4098123.0,"NA","NA"
"Bhavnagar","Gujarat","Income",450252.0,378898.0,405388.0,435874.0,532283.0,609067.0,584341.0,468715.0,636043.0,"NA","NA","NA"
"Bhavnagar","Gujarat","Expenditure *",277050.0,290787.0,284622.0,334896.0,329626.0,283622.0,324727.0,429400.0,455000.0,"NA","NA","NA"
"Rajkot","Gujarat","Income",962338.0,944524.0,1247976.0,1157936.0,1334022.0,"NA","NA","NA","NA","NA","NA","NA"
"Rajkot","Gujarat","Expenditure *",633948.0,690950.0,798008.0,892921.0,1045663.0,"NA","NA","NA","NA","NA","NA","NA"
"Surat","Gujarat","Income",4003614.0,4154221.0,4940301.0,5297651.0,6204162.0,6733657.0,8024463.0,8965799.0,"b ",10003296.0,"NA","NA"
"Surat","Gujarat","Expenditure *",229189.0,2802516.0,3251628.0,3000367.0,3902614.0,4320085.0,5166626.0,5783540.0,6140395.0,9145862.0,"NA","NA"
"Ambala","Haryana","Income","NA","NA","NA","NA","NA","NA","NA",82995.073,111504.011,139638.0,350100.0,"NA"
"Ambala","Haryana","Expenditure *","NA","NA","NA","NA","NA","NA","NA",41836.304,59891.652,93434.0,"NA","NA"
"Bangalore","Karnataka","Income",5471522.0,4553362.0,"NA","NA","NA","NA","NA",19064020.0,28416740.0,"NA","NA","NA"
"Bangalore","Karnataka","Expenditure *",1181990.0,2500358.0,"NA","NA","NA","NA","NA",18170945.0,24306967.0,"NA","NA","NA"
"Belgaum","Karnataka","Income",280166.148,258228.0,290023.0,239728.11,232056.0,284147.0,721392.0,804560.622,1206303.0,785186.0,"NA","NA"
"Belgaum","Karnataka","Expenditure *",282028.866,263417.0,291253.0,256428.516,251267.0,267749.0,716692.0,785698.0,1622474.0,768013.0,"NA","NA"
"Hubli Dharwad","Karnataka","Income",616894.966,412816.847,374818.59,411231.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"Hubli Dharwad","Karnataka","Expenditure *",403002.137,219153.918,164704.988,234724.616,"NA","NA","NA","NA","NA","NA","NA","NA"
"Mysore","Karnataka","Income",661957.0,692479.0,694858.0,759646.0,816384.0,834087.0,1232751.0,1479663.0,1194132.0,1792355.0,"NA","NA"
"Mysore","Karnataka","Expenditure *",497644.0,524298.0,508738.0,721885.0,811151.0,780400.0,1131417.0,732632.0,853442.0,1689034.0,"NA","NA"
"Cochin","Kerala","Income","NA","NA","NA",1100536.0,"NA","NA","NA","NA","NA","NA","NA","NA"
