-----
{
 "description": "The Central Statistical Organisation (CSO) introduced the quarterly estimates of Gross Domestic Product (GDP), on 30.6.1999, with effect from, the estimates for the fourth quarter-Q4 (January-March) of 1999, both at constant (1993-94) and current prices. The Quarterly Gross Domestic Product (QGDP)...", 
 "file_name": "Quarterly_Estimates_of_GDP_at_Constant_2004-05_Prices.xls", 
 "title": "Quarterly Estimates of GDP at Constant (2004-05) Prices ", 
 "url": "http://data.gov.in/sites/default/files/Quarterly_Estimates_of_GDP_at_Constant_2004-05_Prices.xls"
}
-----
"Indicator","2004-05 Q1","2004-05 Q2","2004-05 Q3","2004-05 Q4","2005-06 Q1","2005-06 Q2","2005-06 Q3","2005-06 Q4","2006-07 Q1","2006-07 Q2","2006-07 Q3","2006-07 Q4","2007-08 Q1","2007-08 Q2","2007-08 Q3","2007-08 Q4","2008-09 Q1","2008-09 Q2","2008-09 Q3","2008-09 Q4","2009-10 Q1","2009-10 Q2","2009-10 Q3","2009-10 Q4","2010-11 Q1","2010-11 Q2","2010-11 Q3","2010-11 Q4","2011-12 Q1","2011-12 Q2","2011-12 Q3","2011-12 Q4"
"1. Agriculture, Forestry & Fishing","","","","",2.69552041087,3.80637224088,7.74315084547,5.3288198503,3.86297887794,3.47163935794,4.01541688252,5.07666772643,4.52142925752,4.67855464257,9.54426486711,3.30735926993,2.9063414508,1.11187456505,-3.704010595,1.58375702725,0.645962329362,2.21739333418,-0.959984539391,2.91622304699,3.10928046403,4.8556449991,10.9935229501,7.54637220709,3.67149803082,3.1194458538,2.81851935147,1.66588202858
"2. Mining & Quarrying","","","","",4.12109637833,-2.08170213535,0.00696499516251,3.0247134273,5.10102841782,6.36895220124,8.56532923893,9.50273769332,0.916472690507,4.47917092652,4.28748467872,4.89431735543,3.04449638772,2.25142658617,3.44422179227,0.134851355821,6.69184128392,6.03104908591,4.37537579526,7.9646012124,6.85615625192,7.2730973174,6.08648084183,0.574716987776,-0.202832243855,-5.43880662091,-2.82580212612,4.33210722607
"3. Manufacturing","","","","",12.4574339217,9.0925018878,9.02683299555,10.0342921363,12.6032547055,14.0416156915,13.9731620257,16.367262789,12.6912477077,10.5487971552,9.8901352637,8.35800588644,12.0941850799,8.88006495781,2.93047850333,-5.22615231372,0.527591382294,6.58478179516,10.9293712121,20.9909433319,9.14487406238,6.09425873714,7.76752492443,7.34488444111,7.25848985748,2.92598303356,0.552238646315,-0.250162162595
"4. Electricity, Gas & Water Supply","","","","",9.13664728453,4.52589217658,6.81324635202,7.94975862417,7.63312200886,9.8875803487,10.9057098593,8.78000494886,9.88566477676,8.87035661337,6.79954660311,7.59334295376,3.90317019664,4.92257208921,4.67365933669,4.73134840372,6.24990310476,7.38922763511,4.36043221609,7.11640804279,2.91568878802,0.295454796617,3.804254483,5.10382806059,7.95221588582,9.81572137406,9.02914403724,4.87986036239
"5. Construction","","","","",11.053768255,10.0677119327,15.1216434107,14.6057052625,11.300713224,10.3395271449,9.18240436922,10.5909045668,11.6122022631,13.9348256688,10.3825272252,7.66817053711,9.25903744762,6.61673444575,0.611202655984,5.16847690531,4.48200226821,5.83796237607,9.23562954017,8.52952209204,8.40687450452,5.99746468124,8.67202501504,8.85385863959,3.51175012667,6.29102416319,6.64196313821,4.84311822301
"6. Trade, Hotels, Transport & Communication","","","","",13.3732887986,11.8400885244,11.1831583049,11.9383460583,10.2702358603,12.1147561774,12.3475381769,11.6224985072,12.5899489702,9.97997967653,10.3262335296,10.9225185137,13.5413346916,11.3490139753,5.42476125795,0.995070775086,4.92189054066,8.63657869083,10.8180719396,16.5743467355,12.6399338095,10.6487908278,9.67245999092,11.604283616,13.7774397251,9.52612445726,9.99108875593,6.97621083089
"7. Financing, Insurance, Real Estate and Business Services","","","","",11.2709855457,12.9244388537,11.6530934481,14.5071967967,13.3945629227,13.7615512802,14.6305797103,14.0123076828,12.7004178163,12.5692803644,12.0442355435,10.6389105305,11.3707599121,10.9492845764,11.8348091903,13.7792539263,11.6670073755,11.0964971875,8.74450977434,6.53243893426,10.0234286741,10.399334498,11.2413803178,9.96664219335,9.37716784027,9.90467329912,9.12813070968,10.0306237367
"8. Community, Social & Personal Services","","","","",6.45155808409,7.14647996627,7.66890263401,6.96521018911,6.37065557638,3.28666765867,1.38681501919,0.858082275445,4.23996279121,7.16381647488,5.438320145,9.99614099453,8.86985942678,9.8355019302,23.7557003284,8.39189600338,13.1627227801,19.4590240232,7.92497892673,8.63902105574,4.4343336886,4.5287301126,-0.787017636037,9.54588613573,3.18075350416,6.05580562867,6.44552703173,7.08159912312
"9. Gross Domestic Product (GDP) at Factor Cost","","","","",9.36383047921,8.90258966518,9.61320719253,9.93607147657,9.31434698436,9.77780800644,9.35577947343,9.81713147887,9.71590136383,9.52929776051,9.56820736552,8.57169006107,9.80078120263,8.52051265051,5.76856905393,3.45604271929,5.66388343381,9.03686744397,7.5105706964,11.1877508234,8.48763923175,7.60723985988,8.21749503675,9.17184069013,7.95958459362,6.70780359541,6.13031076908,5.32953145834
