-----
{
 "description": "This table gives state-wise and source-wise installed capacity of Grid Interactive Renewable Power (in MW) from 31-3-2010 to 30-3-2011.", 
 "file_name": "Statewise_and_Sourcewise_Installed_Capacity_of_Grid_Interactive_Renewable_Power.xls", 
 "title": "State-wise and Source-wise Installed Capacity of Grid Interactive Renewable Power ", 
 "url": "http://data.gov.in/sites/default/files/Statewise_and_Sourcewise_Installed_Capacity_of_Grid_Interactive_Renewable_Power.xls"
}
-----
"States/ Uts","Biomass Power 31.3.2010","Biomass Power 30.3.2011","Waste to Energy 31.3.2010","Waste to Energy 30.3.2011","Wind Power 31.3.2010","Wind Power 30.3.2011","Small Hydro Power 31.3.2010","Small Hydro Power 30.3.2011","Solar Power 31.3.2010","Solar Power 30.3.2011","Total 31.3.2010","Total 30.3.2011"
"Andhra Pradesh",363.25,363.25,35.66,43.16,122.5,191.5,186.83,191.43,0.1,2.1,791.44,9.63
"Arunachal Pradesh","NA","NA","NA","NA",136.1,"NA",73.42,78.84,0.03,0.03,78.87,7.39
"Assam","NA","NA","NA","NA","NA","NA",27.11,27.11,"NA","NA",27.11,0.0
"Bihar","NA",9.5,"NA","NA","NA","NA",54.6,59.8,"NA","NA",69.3,26.92
"Chhattisgarh",199.9,231.9,"NA","NA","NA","NA",19.05,19.05,"NA","NA",250.95,14.62
"Goa","NA","NA","NA","NA","NA","NA",0.05,0.05,"NA","NA",0.05,0.0
"Gujarat",0.5,0.5,"NA","NA",1863.63,2176.43,12.6,15.6,"NA",5.0,2197.53,17.09
"Haryana",7.8,35.8,"NA","NA","NA","NA",70.1,70.1,"NA","NA",105.9,35.94
"Himachal Pradesh","NA","NA","NA","NA","NA","NA",330.32,393.47,"NA","NA",393.47,19.12
"Jammu & Kashmir","NA","NA","NA","NA","NA","NA",129.33,129.33,"NA","NA",129.33,0.0
"Jharkhand","NA","NA","NA","NA","NA","NA",4.05,4.05,"NA","NA",4.05,0.0
"Karnataka",336.18,365.18,1.0,1.0,1472.8,1726.85,640.45,783.35,6.0,6.0,2882.38,17.34
"Kerala","NA","NA","NA","NA",27.75,35.0,133.87,136.87,0.03,0.03,171.9,6.34
"Madhya Pradesh",1.0,1.0,2.7,2.7,229.4,275.9,71.16,86.16,0.1,0.1,365.86,20.21
"Maharashtra",218.5,403.0,5.7,5.72,2077.75,2316.75,245.33,275.13,"NA",4.0,3004.6,17.95
"Manipur","NA","NA","NA","NA","NA","NA",5.45,5.45,"NA","NA",5.45,0.0
"Meghalaya","NA","NA","NA","NA","NA","NA",31.03,31.03,"NA","NA",31.03,0.0
"Mizoram","NA","NA","NA","NA","NA","NA",36.47,36.74,"NA","NA",36.47,0.0
"Nagaland","NA","NA","NA","NA","NA","NA",28.67,28.67,"NA","NA",28.67,0.0
"Orissa","NA","NA","NA","NA","NA","NA",64.3,64.3,"NA","NA",64.3,0.0
"Punjab",62.5,74.5,9.25,9.25,"NA","NA",132.55,154.5,1.33,2.33,240.58,17.0
"Rajasthan",31.3,73.3,"NA","NA",1088.3,1525.0,23.85,23.85,0.15,5.15,1627.3,42.3
"Sikkim","NA","NA","NA","NA","NA","NA",47.11,52.11,"NA","NA",52.11,10.61
"Tamil Nadu",395.7,488.2,5.65,5.65,4906.72,5904.12,90.05,96.55,0.05,5.05,6499.57,20.4
"Tripura","NA","NA","NA","NA","NA","NA",16.01,16.01,"NA","NA",16.01,0.0
"Uttar Pradesh",567.0,592.5,5.0,5.0,"NA","NA",25.1,25.1,0.38,0.38,622.98,4.27
"Uttarakhand","NA",10.0,"NA","NA","NA","NA",132.92,134.62,0.05,0.05,144.67,8.8
"West Bengal",16.0,16.0,"NA","NA",4.3,4.3,98.4,98.4,1.15,1.15,119.85,0.0
"Andaman & Nicobar","NA","NA","NA","NA","NA","NA",5.25,5.25,0.1,0.1,5.35,0.0
"Delhi","      NA","      NA","      NA","      NA","      NA","      NA","      NA","      NA",0.05,2.14,2.14,4180.0
"Lakshadweep","      NA","      NA","      NA","      NA","      NA","      NA","      NA","      NA",0.75,0.75,0.75,0.0
"Puducherry","      NA","      NA","      NA","      NA","      NA","      NA","      NA","      NA",0.03,0.79,0.79,3060.0
"All India Total",2199.63,2664.63,64.96,72.48,11929.25,14155.85,2735.43,3042.92,10.28,35.15,16817.04,19970.76
