-----
{
 "description": "This data provides year-wise district level achievements as on 18th April 2013 under Nirmal Bharat Abhiyan (NBA) Programme of Ministry of Drinking Water and Sanitation.", 
 "file_name": "NBA-YearwiseCountryLevelAcheivement_1.xls", 
 "title": "Nirmal Bharat Abhiyan - Year-wise District Level Achievements As On 18th April 2013 ", 
 "url": "http://data.gov.in/sites/default/files/NBA-YearwiseCountryLevelAcheivement_1.xls"
}
-----
"State Name","District Name","Financial Year","IHHL_BPL","IHHL_APL","Total IHHL(APL+BPL)","IHHL_BPL_SC","IHHL_BPL_ST","Sanitary_Complex","School_Toilets","Anganwadi_Toilets"
"ANDHRA PRADESH","ADILABAD","1999-2000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ADILABAD","2000-2001",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ADILABAD","2001-2002",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ADILABAD","2002-2003",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ADILABAD","2003-2004",44026.0,0.0,44026.0,6604.0,2642.0,0.0,423.0,0.0
"ANDHRA PRADESH","ADILABAD","2004-2005",22360.0,0.0,22360.0,3354.0,1341.0,0.0,33.0,0.0
"ANDHRA PRADESH","ADILABAD","2005-2006",20122.0,0.0,20122.0,3018.0,1207.0,0.0,7.0,0.0
"ANDHRA PRADESH","ADILABAD","2006-2007",3991.0,39389.0,43380.0,0.0,0.0,0.0,708.0,93.0
"ANDHRA PRADESH","ADILABAD","2007-2008",2288.0,28.0,2316.0,107.0,25.0,0.0,1289.0,33.0
"ANDHRA PRADESH","ADILABAD","2008-2009",366.0,4.0,370.0,52.0,20.0,0.0,1217.0,0.0
"ANDHRA PRADESH","ADILABAD","2009-2010",36866.0,0.0,36866.0,6368.0,2566.0,0.0,141.0,13.0
"ANDHRA PRADESH","ADILABAD","2010-2011",24233.0,13010.0,37243.0,3635.0,1454.0,0.0,27.0,5.0
"ANDHRA PRADESH","ADILABAD","2011-2012",10021.0,0.0,10021.0,1503.0,601.0,0.0,617.0,3.0
"ANDHRA PRADESH","ADILABAD","2012-2013",12027.0,0.0,12027.0,1804.0,1663.0,0.0,0.0,280.0
"ANDHRA PRADESH","ANANTAPUR","1999-2000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ANANTAPUR","2000-2001",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ANANTAPUR","2001-2002",242.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0
"ANDHRA PRADESH","ANANTAPUR","2002-2003",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
