-----
{
 "description": "This data provides state-wise percentage of distribution of  rural and urban households having safe drinking water facilities for 1991 and 2001.", 
 "file_name": "DISTRIBUTION_OF_HOUSEHOLDS_HAVING_SAFE_DRINKING_WATER_FACILITIES.XLS", 
 "title": "State-wise Percentage Of Distribution Of Rural And Urban Households Having Safe Drinking Water Facilities ", 
 "url": "http://data.gov.in/sites/default/files/DISTRIBUTION_OF_HOUSEHOLDS_HAVING_SAFE_DRINKING_WATER_FACILITIES.XLS"
}
-----
"All-India/State/Union Territory","Total","Rural-1991","Urban-1991","Total-1991","Rural-2001","Urban-2001","Total-2011","Rural-2011","Urban-2011"
"All-India (*)",62.3,55.54,81.38,77.9,73.2,90.0,"NA","NA","NA"
"Andhra Pradesh",55.08,48.98,73.82,80.1,76.9,90.2,"NA","NA","NA"
"Arunachal Pradesh",70.02,66.87,88.2,77.5,73.7,90.7,"NA","NA","NA"
"Assam",45.86,43.28,64.07,58.8,56.8,70.4,"NA","NA","NA"
"Bihar",58.76,56.5,73.39,86.6,86.1,91.2,"NA","NA","NA"
"Chattisgarh**","NA","NA","NA",70.5,66.2,88.8,"NA","NA","NA"
"Goa",43.41,30.54,61.71,70.1,58.3,82.1,"NA","NA","NA"
"Gujarat",69.78,60.04,87.23,84.1,76.9,95.4,"NA","NA","NA"
"Haryana",74.32,67.14,93.18,86.1,81.1,97.3,"NA","NA","NA"
"Himachal Pradesh",77.34,75.51,91.93,88.6,87.5,97.0,"NA","NA","NA"
"Jammu and Kashmir","NA","NA","NA",65.2,54.9,95.7,"NA","NA","NA"
"Jharkhand**","NA","NA","NA",42.6,35.5,68.2,"NA","NA","NA"
"Karnataka",71.68,67.31,81.38,84.6,80.5,92.1,"NA","NA","NA"
"Kerala",18.89,12.22,38.68,23.4,16.9,42.8,"NA","NA","NA"
"Madhya Pradesh",53.41,45.56,79.4,68.4,61.5,88.6,"NA","NA","NA"
"Maharashtra",68.49,54.02,90.5,79.8,68.4,95.4,"NA","NA","NA"
"Manipur",38.72,33.72,52.1,37.0,29.3,59.4,"NA","NA","NA"
"Meghalaya",36.16,26.82,75.42,39.0,29.5,73.5,"NA","NA","NA"
"Mizoram",16.21,12.89,19.88,36.0,23.8,47.8,"NA","NA","NA"
"Nagaland",53.37,55.6,45.47,46.5,47.5,42.3,"NA","NA","NA"
"Odisha",39.07,35.32,62.83,64.2,62.9,72.3,"NA","NA","NA"
"Punjab",92.74,92.09,94.24,97.6,96.9,98.9,"NA","NA","NA"
"Rajasthan",58.96,50.62,86.51,68.2,60.4,93.5,"NA","NA","NA"
"Sikkim",73.05,70.84,92.85,70.7,67.0,97.1,"NA","NA","NA"
"Tamil Nadu",67.42,64.28,74.17,85.6,85.3,85.9,"NA","NA","NA"
"Tripura",37.18,30.6,71.12,52.5,45.0,85.8,"NA","NA","NA"
"Uttar Pradesh",62.24,56.62,85.78,87.8,85.5,97.2,"NA","NA","NA"
"Uttarakhand**","NA","NA","NA",86.7,83.0,97.8,"NA","NA","NA"
"West Bengal",81.98,80.26,86.23,88.5,87.0,92.3,"NA","NA","NA"
"A. & N. Islands",67.87,59.43,90.91,76.7,66.8,97.8,"NA","NA","NA"
"Chandigarh",97.73,98.11,97.68,99.8,99.9,99.8,"NA","NA","NA"
"D. & N. Haveli",45.57,41.17,90.97,77.0,70.5,96.1,"NA","NA","NA"
"Daman and Diu",71.42,56.87,86.76,96.3,94.9,98.9,"NA","NA","NA"
"Delhi",95.78,91.01,96.24,97.2,90.1,97.7,"NA","NA","NA"
"Lakshadweep",11.9,3.41,18.79,4.6,4.6,4.6,"NA","NA","NA"
"Puducherry",88.75,92.86,86.05,95.9,96.6,95.5,"NA","NA","NA"
