-----
{
 "description": "This table shows number of accidents and number of persons receiving injuries in mines. The data are collected under the mines act. Accidents have been classified into fatal, and serious during 2000 to 2010.", 
 "file_name": "INDUSTRIAL_INJURIES_IN_MINES_1.XLS", 
 "title": "Industrial Injuries In Mines ", 
 "url": "http://data.gov.in/sites/default/files/INDUSTRIAL_INJURIES_IN_MINES_1.XLS"
}
-----
"Mineral"," No. of accidents Fatal 2008"," No. of accidents Fatal 2009"," No. of accidents Fatal 2010"," No. of accidents Serious 2008"," No. of accidents Serious 2009"," No. of accidents Serious 2010"," No. of Injuries Fatal 2008"," No. of Injuries Fatal 2009"," No. of Injuries Fatal 2010"," No. of Injuries Serious 2008"," No. of Injuries Serious 2009"," No. of Injuries Serious 2010","  Rate of Injuries per 1000 persons employed Fatal 2008","  Rate of Injuries per 1000 persons employed Fatal 2009","  Rate of Injuries per 1000 persons employed Fatal 2010","  Rate of Injuries per 1000 persons employed Serious 2008","  Rate of Injuries per 1000 persons employed Serious 2009","  Rate of Injuries per 1000 persons employed Serious 2010"
"Apatite","NA",1.0,1.0,"NA",0.0,1.0,"NA",1.0,1.0,"NA",0.0,1.0,"NA",0.51,0.51,"NA",0.0,0.51
"Asbestos","NA",0.0,0.0,"NA",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.83,0.0,0.0,4.83,0.0,0.0
"Barites","NA",0.0,0.0,"NA",0.0,0.0,"NA",0.0,0.0,"NA",0.0,0.0,"NA",0.0,0.0,"NA",0.0,0.0
"Bauxite","NA",0.0,0.0,"NA",1.0,0.0,"NA",0.0,0.0,"NA",1.0,0.0,"NA",0.0,0.0,"NA",0.18,0.0
"Marble",5.0,5.0,12.0,"NA",0.0,0.0,7.0,6.0,22.0,1.0,0.0,1.0,3.25,2.79,10.22,0.46,0.0,0.46
"Chromite",1.0,0.0,2.0,"NA",0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.12,0.0,0.25,0.12,0.0,0.0
"Coal",80.0,86.0,97.0,686.0,636.0,478.0,93.0,96.0,117.0,709.0,660.0,509.0,0.25,0.26,0.32,1.92,1.79,1.38
"Copper",1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,0.0,5.0,8.0,3.0,0.38,0.38,0.0,1.91,3.06,1.15
"Diamond"," NA",0.0," NA","NA",0.0,1.0,"NA",0.0,"NA","NA",0.0,1.0,"NA",0.0,"NA","NA",0.0,8.33
"Dolomite","NA",0.0,1.0,"NA",1.0,1.0,"NA",0.0,1.0,"NA",1.0,1.0,"NA",0.0,0.37,"NA",0.37,0.37
"Felspar","NA",0.0,0.0,"NA",0.0,0.0,"NA",0.0,2.0,"NA",0.0,0.0,"NA",0.0,34.19,"NA",0.0,0.0
"Galena",2.0,1.0,1.0,21.0,24.0,7.0,4.0,1.0,1.0,23.0,28.0,7.0,1.22,0.0,0.31,7.03,8.56,2.14
"Gold","NA",1.0,0.0,9.0,15.0,11.0,"NA",1.0,0.0,9.0,15.0,11.0,"NA",0.33,0.0,2.94,4.9,3.59
"Granite",6.0,3.0,9.0,1.0,0.0,4.0,8.0,3.0,22.0,5.0,0.0,5.0,0.98,0.37,2.69,0.61,0.0,0.61
"Iron",11.0,8.0,10.0,19.0,20.0,10.0,11.0,8.0,12.0,21.0,20.0,10.0,0.25,0.18,0.27,0.47,0.45,0.22
"Lime stone",9.0,3.0,6.0,3.0,4.0,3.0,9.0,3.0,7.0,3.0,4.0,4.0,0.32,0.11,0.25,0.11,0.14,0.14
"Magnesite"," NA",0.0,0.0,"NA",1.0,0.0," NA",0.0,0.0,"NA",1.0,0.0," NA",0.0,0.0,"NA",0.42,0.0
"Manganese",3.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.3,0.0,0.15,0.15,0.15,0.0
"Oil",5.0,4.0,4.0,20.0,18.0,16.0,6.0,4.0,4.0,22.0,20.0,17.0,0.25,0.17,0.17,0.93,0.85,0.72
"Silica","NA",0.0,0.0,1.0,0.0,0.0,"NA",0.0,0.0,1.0,0.0,0.0,"NA",0.0,0.0,0.34,0.0,0.0
"Sillimanite",1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.27,0.0,0.27,0.55,0.0,0.55
"Steatite",4.0,2.0,1.0,"NA",0.0,0.0,5.0,3.0,8.0,3.0,0.0,0.0,1.03,0.62,1.65,0.62,0.0,0.0
"Stone",5.0,8.0,4.0,"NA",0.0,0.0,15.0,16.0,4.0,20.0,6.0,2.0,2.14,2.28,0.57,2.85,0.86,0.29
"China Clay","NA",0.0,1.0,"NA",0.0,0.0,"NA",0.0,1.0,"NA",0.0,0.0,"NA",0.0,0.33,"NA",0.0,0.0
"Fluorite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mica","NA",0.0,2.0,"NA",0.0,0.0,"NA",0.0,2.0,"NA",0.0,0.0,"NA",0.0,0.15,"NA",0.0,0.0
"Quartz","NA",2.0,0.0,"NA",0.0,0.0,"NA",2.0,0.0,"NA",0.0,0.0,"NA",2.02,0.0,"NA",0.0,0.0
"Atomic mineral *","NA","NULL","NA",2.0,3.0,3.0,"NA","NA","NA",2.0,3.0,4.0,"NA","NA","NA","NA","NA","NA"
