-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on all India and state-wise number of persons arrested under different Indian Penal Code (IPC) crimes by sex.", 
 "file_name": "NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls", 
 "title": "All India And State-wise details on Number of Persons Arrested Under Different IPC Crimes By Sex ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_PERSONS_ARRESTED_UNDER_DIFFERENT_IPC_CRIMES_BY_SEX.xls"
}
-----
"Year","Total Cognizable Crimes - Male","Total Cognizable Crimes - Female","Murder - Male","Murder - Female","Culpable Homocide not amounting to murder - Male","Culpable Homocide not amounting to murder - Female","Rape - Male","Rape - Female","Kidnapping and Abduction - Male","Kidnapping and Abduction - Female","Dacoity - Male","Dacoity - Female","Robbery - Male","Robbery - Female","Burglary - Male","Burglary - Female","Theft - Male","Theft - Female","Riots - Male","Riots - Female","Criminal Breach of Trust - Male","Criminal Breach of Trust - Female","Cheating - Male","Cheating - Female","Counterfeiting - Male","Counterfeiting - Female"
2001.0,2526932.0,144608.0,71888.0,3434.0,6472.0,123.0,19951.0,495.0,29379.0,1506.0,24396.0,107.0,29395.0,128.0,65857.0,1039.0,157964.0,4250.0,377540.0,20826.0,15229.0,422.0,41303.0,1484.0,1939.0,41.0
2002.0,2550235.0,146308.0,71438.0,3589.0,6925.0,142.0,20780.0,456.0,28975.0,1753.0,23303.0,174.0,27437.0,140.0,63478.0,1200.0,158924.0,4991.0,355577.0,19422.0,15033.0,478.0,43890.0,1786.0,2197.0,69.0
2003.0,2359217.0,151309.0,62495.0,3501.0,7546.0,162.0,19499.0,495.0,25091.0,1450.0,18740.0,102.0,26152.0,184.0,60307.0,1090.0,154238.0,5280.0,306120.0,17884.0,14651.0,504.0,42799.0,2074.0,2283.0,43.0
2004.0,2506941.0,153969.0,62740.0,3475.0,7071.0,159.0,21964.0,525.0,29419.0,1685.0,19905.0,146.0,27530.0,160.0,63484.0,971.0,181236.0,4769.0,318771.0,15768.0,15080.0,478.0,46152.0,2351.0,2361.0,80.0
2005.0,2470238.0,151309.0,61958.0,3543.0,6675.0,151.0,22640.0,572.0,30033.0,1757.0,19414.0,202.0,27834.0,156.0,65642.0,1380.0,202560.0,6110.0,304991.0,15882.0,15278.0,534.0,47415.0,2445.0,2553.0,54.0
2006.0,2499048.0,154635.0,59630.0,3439.0,6497.0,182.0,23203.0,589.0,30493.0,1846.0,17544.0,157.0,28587.0,168.0,65923.0,1200.0,193754.0,5474.0,286417.0,16457.0,14597.0,580.0,51058.0,2867.0,2880.0,34.0
2007.0,2615384.0,165175.0,59457.0,3812.0,6652.0,150.0,24811.0,552.0,33307.0,2255.0,17811.0,306.0,29527.0,293.0,65715.0,1345.0,188850.0,5332.0,296667.0,18279.0,17898.0,559.0,59633.0,2752.0,2540.0,63.0
2008.0,2713971.0,168315.0,57674.0,3781.0,6563.0,121.0,24361.0,675.0,36159.0,2022.0,17588.0,222.0,31452.0,232.0,66534.0,1302.0,202165.0,6146.0,313837.0,19097.0,19179.0,716.0,62224.0,2856.0,2573.0,103.0
2009.0,2669731.0,179294.0,58658.0,4007.0,6366.0,113.0,25096.0,749.0,39722.0,2031.0,17217.0,289.0,33008.0,251.0,67186.0,1269.0,187357.0,6991.0,286458.0,17144.0,18972.0,623.0,64587.0,3249.0,2948.0,59.0
2010.0,2765423.0,181699.0,58668.0,3798.0,6983.0,196.0,26357.0,717.0,43149.0,2349.0,17096.0,225.0,34827.0,301.0,66831.0,1461.0,187873.0,6193.0,301727.0,17188.0,19754.0,684.0,73918.0,3844.0,2189.0,43.0
2011.0,2919240.0,193555.0,66150.0,4443.0,6928.0,160.0,28112.0,766.0,54956.0,2527.0,16758.0,250.0,35252.0,294.0,66819.0,1549.0,197401.0,6806.0,334525.0,19461.0,23284.0,760.0,88147.0,4717.0,2063.0,67.0
