"Products","Product Name","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*"
"Light Distillates","LPG",10245.0,10456.0,10849.0,12165.0,12344.0,13135.0,14331.0,15358.0
"Light Distillates","Motor Spirit",8251.0,8647.0,9285.0,10332.0,11258.0,12818.0,14194.0,14992.0
"Light Distillates","Naphtha+NGL",13993.0,12194.0,13886.0,13294.0,13911.0,10134.0,10676.0,11105.0
"Light Distillates","Others",2715.0,2365.0,3055.0,2766.0,2365.0,2908.0,2242.0,2202.0
"Middle Distillates","SKO",9395.0,9541.0,9505.0,9365.0,9303.0,9304.0,8928.0,8229.0
"Middle Distillates","ATF",2811.0,3296.0,3983.0,4543.0,4423.0,4627.0,5078.0,5536.0
"Middle Distillates","HSDO",39651.0,40191.0,42896.0,47669.0,51710.0,56242.0,60071.0,64742.0
"Middle Distillates","LDO",1476.0,883.0,720.0,667.0,552.0,457.0,455.0,415.0
"Middle Distillates","Others",573.0,512.0,491.0,579.0,390.0,490.0,497.0,485.0
"Heavy Ends","Furnace Oil ",9136.0,8921.0,9257.0,9469.0,9419.0,9145.0,8807.0,7473.0
"Heavy Ends","LSHS",4404.0,3907.0,3361.0,3248.0,3169.0,2484.0,1982.0,1759.0
"Heavy Ends","Lubes/Greases",1347.0,2081.0,1900.0,2290.0,2000.0,2539.0,2429.0,2745.0
"Heavy Ends","Bitumen",3337.0,3508.0,3833.0,4506.0,4747.0,4934.0,4536.0,4628.0
"Heavy Ends","Petroleum Coke",3129.0,4928.0,5441.0,5950.0,6166.0,6586.0,4982.0,6145.0
"Heavy Ends","Paraffin Wax",60.0,268.0,303.0,241.0,203.0,211.0,198.0,194.0
"Heavy Ends","Other Waxes",20.0,105.0,64.0,65.0,65.0,78.0,56.0,56.0
"Heavy Ends","Others",1090.0,1411.0,1919.0,1799.0,1574.0,1716.0,1578.0,1931.0
"Refinery Boiler Fuel","Refinery Boiler Fuel",8537.0,9141.0,10920.0,11751.0,11912.0,14577.241,15871.814,15421.529
"Grand Total","",120170.0,122355.0,131668.0,140699.0,145511.0,152385.241,156911.814,163416.529
