-----
{
 "description": "This table consists of product wise and year wise export of major petrochemicals products, both in quantity and value, during 2006-07 to 2011-12 in India.", 
 "file_name": "Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls", 
 "title": "Export of Major Petrochemicals - Product wise / Group wise from 2006-07 to 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/Export_of_Major_Petrochemicals_ProductWise_or_GroupWise_2006-07_to_2011-12.xls"
}
-----
"GROUP","PRODUCT","2006-2007 QTY","2006-2007 VAL","2007-2008 QTY","2007-2008 VAL","2008-2009 QTY","2008-2009 VAL","2009-2010 QTY","2009-2010 VAL","2010-2011 QTY","2010-2011 VAL","2011-2012 QTY","2011-2012 VAL"
"OLEFINS","ETHYLENE",189.0,153.0,12897.0,4615.0,11.0,3.0,14.0,35.0,44.0,31.0,7.0,6.0
"OLEFINS","PROPYLENE",49.0,79.0,7006.0,2695.0,3.0,5.0,23560.0,11582.0,24372.0,10526.0,9072.0,4510.0
"AROMATICS","BENZENE",441894.0,184827.0,323755.0,134665.0,409757.0,148391.0,399836.0,173123.0,567717.0,225586.0,501894.0,279998.0
"AROMATICS","MIXED XYLENE",31029.0,11064.0,194298.0,71181.0,110056.0,47770.0,59158.0,20126.0,72334.0,29652.0,148512.0,87950.0
"AROMATICS","ORTHO-XYLENE",234841.0,108858.0,133635.0,55609.0,104360.0,46791.0,181348.0,78509.0,341918.0,160600.0,187083.0,121039.0
"AROMATICS","TOLUENE",1006.0,476.0,1961.0,788.0,2026.0,1171.0,1993.0,834.0,4119.0,2209.0,5465.0,3535.0
"AROMATICS","PARAXYLENE",543920.0,286389.0,740509.0,347683.0,491533.0,230101.0,462283.0,239379.0,365701.0,194882.0,602358.0,492494.0
"OTHER PETRO-BASED CHEMICALS","ETHYLENE DICHLORIDE",18.0,11.0,681.0,1107.0,531.0,1109.0,17.0,5.0,0.0,0.0,0.0,3.0
"OTHER PETRO-BASED CHEMICALS","BUTANOL",1941.0,1457.0,1700.0,1615.0,2640.0,2443.0,3358.0,2402.0,5454.0,4463.0,3591.0,4458.0
"OTHER PETRO-BASED CHEMICALS","OXO ALCOHOL",127.0,286.0,510.0,470.0,448.0,663.0,396.0,925.0,339.0,1415.0,383.0,740.0
