-----
{
 "description": "This data provides All India (2001 to 2011) and State-wise (2008 to 2011) details on surfaced length of National Highways and surfaced length of State Highways as on 31st March for below standard single lane, standard single lane, standard double lane and standard multi lane.", 
 "file_name": "LENGTH_OF_NATIONAL_AND_STATE_HIGHWAYS_BY_WIDTH_1.XLS", 
 "title": "All India And State-wise Length Of National And State Highways - By Width As On 31st March 2011 ", 
 "url": "http://data.gov.in/sites/default/files/LENGTH_OF_NATIONAL_AND_STATE_HIGHWAYS_BY_WIDTH_1.XLS"
}
-----
"State/Union Territory","Group Name","Below standard single lane - 2008","Below standard single lane - 2009","Below standard single lane - 2010","Below standard single lane - 2011","Standard single lane - 2008","Standard single lane - 2009","Standard single lane - 2010","Standard single lane - 2011","Standard double lane - 2008","Standard double lane - 2009","Standard double lane - 2010","Standard double lane - 2011","Standard multi lane - 2008","Standard multi lane - 2009","Standard multi lane - 2010","Standard multi lane - 2011","Total - 2008","Total - 2009","Total - 2010","Total - 2011"
"Andhra Pradesh","Surfaced Length of National Highways","NA","NA","NA","NA",336.0,265.0,249.0,249.0,2765.0,2566.0,2289.0,2184.0,1371.0,1706.0,1999.0,2104.0,4472.0,4537.0,4537.0,4537.0
"Arunachal Pradesh","Surfaced Length of National Highways","NA","NA","NA","NA",340.0,1940.0,1940.0,1908.0,52.0,52.0,52.0,84.0,"NA","NA","NA","NA",392.0,1992.0,1992.0,1992.0
"Assam","Surfaced Length of National Highways","NA","NA","NA","NA",779.0,775.0,742.0,735.0,2038.0,2032.0,1933.0,1779.0,19.0,29.0,161.0,322.0,2836.0,2836.0,2836.0,2836.0
"Bihar  ","Surfaced Length of National Highways","NA","NA","NA","NA",1924.0,1845.0,1756.0,1679.0,1449.0,1395.0,1354.0,1327.0,269.0,402.0,532.0,636.0,3642.0,3642.0,3642.0,3642.0
"Chattisgarh","Surfaced Length of National Highways","NA","NA","NA","NA",643.0,593.0,425.0,368.0,1487.0,1537.0,1643.0,1657.0,54.0,54.0,116.0,159.0,2184.0,2184.0,2184.0,2184.0
"Goa ***","Surfaced Length of National Highways","NA","NA","NA","NA",118.0,118.0,118.0,118.0,125.0,125.0,125.0,125.0,26.0,26.0,26.0,26.0,269.0,269.0,269.0,269.0
"Gujarat ***","Surfaced Length of National Highways","NA","NA","NA","NA",232.0,171.0,163.0,163.0,1690.0,1517.0,1464.0,1371.0,1323.0,1557.0,1618.0,1711.0,3245.0,3245.0,3245.0,3245.0
"Haryana","Surfaced Length of National Highways","NA","NA","NA","NA",187.0,169.0,34.0,13.0,900.0,869.0,993.0,905.0,425.0,474.0,491.0,600.0,1512.0,1512.0,1518.0,1518.0
"Himachal Pradesh","Surfaced Length of National Highways","NA","NA","NA","NA",841.0,1038.0,816.0,801.0,367.0,371.0,592.0,602.0,"NA","NA",1.0,6.0,1208.0,1409.0,1409.0,1409.0
"Jammu & Kashmir * ","Surfaced Length of National Highways","NA","NA","NA","NA",625.0,586.0,381.0,265.0,602.0,631.0,769.0,869.0,18.0,28.0,95.0,111.0,1245.0,1245.0,1245.0,1245.0
"Jharkhand **","Surfaced Length of National Highways","NA","NA","NA","NA",706.0,688.0,606.0,527.0,914.0,929.0,1008.0,1068.0,185.0,188.0,191.0,210.0,1805.0,1805.0,1805.0,1805.0
"Karnataka","Surfaced Length of National Highways","NA","NA","NA","NA",603.0,947.0,875.0,809.0,2609.0,2689.0,2568.0,2508.0,631.0,760.0,953.0,1079.0,3843.0,4396.0,4396.0,4396.0
"Kerala","Surfaced Length of National Highways","NA","NA","NA","NA",268.0,267.0,266.0,266.0,1135.0,1110.0,1091.0,1071.0,54.0,80.0,100.0,120.0,1457.0,1457.0,1457.0,1457.0
