-----
{
 "description": "Data provides details on the receipts and charges of the post offices from 2000-01 to 2011-12.", 
 "file_name": "RECEIPTS_AND_CHARGES_OF_THE_POST_OFFICES.xls", 
 "title": "Receipts And Charges of The Post Offices From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/RECEIPTS_AND_CHARGES_OF_THE_POST_OFFICES.xls"
}
-----
"Head of receipt and charge","Name","2000-01","2001-02","2002-03"," 2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"","","","","","","","","","","","","",""
"Postage(stamps and cash)","Receipts",15042474.0,16815554.0,19201764.0,21067393.0,20864219.0,22070806.0,23108708.0,21067450.0,26422059.0,26612765.0,28704412.0,28797749.0
"Service postage stamps","Receipts",1423260.0,1370310.0,782176.0,199963.0,93493.0,214707.0,410498.0,4248860.0,526975.0,538165.0,590490.0,598757.0
"Money order receipts","Receipts",2619695.0,2844627.0,3011034.0,3181336.0,3268944.0,3341013.0,3538756.0,3747928.0,3295343.0,3398424.0,4005447.0,4907794.0
"Other receipts","Receipts",14091100.0,16198315.0,17319237.0,18501308.0,20502242.0,25223944.0,26815936.0,26478015.0,29802641.0,33019724.0,37334655.0,46221098.0
"Net payments to other  postal administration","Deduct",198448.0,257743.0,217746.0,380712.0,410424.0,615593.0,649510.0,593291.0,1423760.0,902071.0,1011687.0,1531924.0
"Telegraph deptt. share of stamps","Deduct","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total-Receipts","Deduct",32978081.0,36971063.0,40096465.0,42569288.0,44318474.0,50234877.0,53224388.0,54948962.0,58623258.0,62667007.0,69623317.0,78993474.0
"Working expenses including contributions/appropriations to renewals reserve fund","Deduct",49072852.0,51945986.0,54761498.0,57360613.0,59645370.0,64291502.0,67791200.0,72726631.0,97562305.0,133469414.0,137936694.0,141639095.0
"Deduct credit to working expenses","Deduct",597244.0,859812.0,1021065.0,1039089.0,1508448.0,1957818.0,2071562.0,2663234.0,3008162.0,4389357.0,4857213.0,4586403.0
"Working expenses(Net)","Deduct",48475608.0,51086174.0,53740433.0,56321524.0,58136922.0,62333684.0,65719638.0,70063397.0,94554143.0,129080057.0,133079481.0,137052692.0
"Net receipts","Deduct",-15497527.0,-14115111.0,-13643968.0,-13752236.0,-13818448.0,-12098807.0,-12495250.0,-15114435.0,-35930885.0,-66413050.0,-63456164.0,-58059218.0
"Interest/dividend to general revenues","Deduct","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Net revenue(+)/ Net expenditure(-)","Deduct",-15497527.0,-14115111.0,-13643968.0,-13752236.0,-13818448.0,-12098807.0,-12495250.0,-15114435.0,-35930885.0,-66413050.0,-63456164.0,-58059218.0
