-----
{
 "description": "List of Copyrights obtained by various entities for software developed under R&D funding of the Department of Electronics and Information Technology (DeitY), M/o C&IT, GoI", 
 "file_name": "Copyrights_for_Softwares.csv", 
 "title": "Copyrights for Softwares Developed under DeitY Funding ", 
 "url": "http://data.gov.in/sites/default/files/Copyrights_for_Softwares.csv"
}
-----
Organization,Name of Software,Copy Right Date,Diary number,
CDAC Pune.,LILA-HINDI,7/24/2000,180/2000/-co(sw),
"CDAC, Pune.",LILA-PRABODH PACKAGE,6/9/2000,209/2000-co(sw),
IIT Kanpur,ANGLABHATI Translation System,2/4/2002,22/02-co(sw),
"ETDC, Chennai.",ThermoCal 2000,6/11/2002,218/02-co(sw),
CDAC Pune,Web Search Engine for Indian Languages,8/22/2001,358/01-co(sw),
CDAC Pune,ISCII2ISFOC Converter Utility,8/22/2001,359/01-co(sw),
CDAC Pune,Indian Language Spell checker utility,8/22/2001,360/01-co(sw),
CDAC Pune,Unicode font encoding engine utility,8/22/2001,361/01-co(sw),
CDAC Pune,Phonetic  keyboard Utility,8/22/2001,362/01-co(sw),
CDAC Pune,Rule Driven Copyright to code set convector utility,8/22/2001,363/01-co(sw),
CMC- Hyd,Copyright of ECMS-CMC- Hyd.,12/14/2001,469/01-co(sw),
Banasthali Vidyapith,Online English-Hindi Dictionary.,6/11/2002,217/02-co(sw),
"Anna University, CHENNAI",Copyright application from,7/11/2002,270/02-co(sw)   271/02-co(sw)   272/02-co(sw),
"Megasoft India, Haryana",Copyright application,7/11/2002,219/02-co(sw)   224/02-co(sw)    223/02-co(sw)    220/02-co(sw)    221/02-co(sw)       222/02-co(sw),
"CDAC, Pune.",SHAILI Vol. I Ver.1.1,4/18/2002,179/02-co(sw),
"CDAC, Pune",Copyright application for  Fortran 90 IDE,7/11/2002,249/02-co(sw),
Gujarat Informatics Limited.,Form Book Online Application,6/16/2003,207/03-co(sw),
"ER&DCI, Thiruvananthapuram.",HEV Network Driver -,12/5/2002,400/02-co(SW),
CDAC Pune,mITR-Market Intelligence Information Tracking,11/12/2002,376/02-co(sw),
Gujarat Informatics Limited,MahitiShakti,6/16/2003,206/03-co(sw),
"CEDTI, Mohali.",SAMPADAK- Punjabi Word processor with Spell Checker under MS-Windows -,12/5/2002,399/02-co(sw),
"CDAC, Pune",ISM 2000 Publisher,2/10/2003,23/03-co(sw),
"CDAC, Pune",nTRANS LIBRARY,2/10/2003,24/03-co(sw),
"CDAC, Pune",GIST SDK,2/10/2003,22/03-co(sw),
"CDAC, Pune",ISM 2000 Soft,2/10/2003,21/03-co(sw),
"CDAC, Pune",ISM 2000 Office,2/10/2003,19/03-co(sw),
"CDAC, Pune",nTrans,2/10/2003,20/03-co(sw),
"Thapar Institute, Patiala",Punjabi Spell Checker,3/28/2003,46/03-co(sw),
"Thapar Institute, Patiala",Punjabi Word Processor,3/28/2003,45/03-co(sw),
"Thapar Institute, Patiala",Gurmukhi OCR,3/28/2003,44/03-co(sw),
"CDAC, Pune",LIPS PRO,3/10/2003,52/03-co(sw),
"CDAC, Pune",CHITRANKAN,3/10/2003,55/03-co(sw),
"CDAC, Pune",LIPS PRO DVD,3/10/2003,51/03-co(sw),
"CDAC, Pune",iPLUGIN,3/10/2003,54/03-co(sw),
"CDAC, Pune",ISM LINUX,3/10/2003,53/03-cosw,
"CDAC, Pune",MOVE CG 2001,3/10/2003,59/03-co(sw),
"CDAC, Pune",MANAS,3/10/2003,58/03-cosw,
"CDAC, Pune",MULTI PROMPTER PRO,3/10/2003,56/03-cosw,
"CDAC, Pune",ISM 2000 Soft NET,10/1/2003,50/03-cosw,
"CDAC, Pune",ISM 2000 Office NET,3/10/2003,49/03-cosw,
"CDAC, Pune",P-COMS Version 1.1.3,3/28/2003,96//03-co(sw),
"Electronics Engineering Department Indian School of Mines, Dhanbad.",EDFAsim,4/4/2003,127/03-co(sw),
Gujarat Informatics Limited,eSeva (City Civic Center System),6/16/2003,208/03-co(sw),
"Microelectronics Process Technology Division, DeitY",LEO – A Tcl/Tk based Graphical User Interface,7/1/2003,215/03-co(sw),
"CDAC, Pune",Assett Analytics,6/16/2003,205/03-co(sw),
"CDAC, Pune",ISM 3.0 OFFICE,6/16/2003,202/03-co(sw),
"CDAC, Pune",ISM 3.0 SOFT,6/16/2003,204/03-co(sw),
"CDAC, Pune",ISM 3.0 PUBLISHER,6/16/2003,203/03-co(sw),
"Mascom Global Ltd., New Delhi",Exome Version 1.3,7/1/2003,216/03-co(sw),
CDAC,Bourse Analyxer – CDAC,7/1/2003,213/03-co(sw),
"IIIT, Allahabad.","Ex Cite Ver 1.0 for Students Affairs Management,",7/1/2003,217/03-co(sw),
"CDAC, Pune.",Adaptive Testing Software,11/19/2003,434/03-co(sw),
"CDAC, Pune.",ACTS ONLINE,11/19/2003,433/03-co(sw),
"CDAC, Pune.","Web-based Registration and Exam - CDAC, Pune.",11/19/2003,432/03-co(sw),
"Utkal University Bhubaneshwar, ORISSA",E-BARNABODH,7/20/2004,246/04-co(sw),
Coilnet Bhu Center Varanasi,Fasal Salahkar,3/22/2004,310/04-co(sw),
Coilnet Bhu Center Varanasi,UPCHAR,3/22/2004,305/04-co(sw),
Coilnet Bhu Center Varanasi,Niti-Satcum,3/22/2004,309/04-co(sw),
